ID,NOMBRE_EMPRESA,ENTIDAD,DIRECCIÓN,MUNICIPIO,Corregimiento,pais,Departamento,ubicación,TELÉFONO,CORREO ELECTRÓNICO,FECHA DE VISITA,CONCEPTO,CLASIFICACIÓN,ADDRESS_KML,LATITUD,LONGITUD,ALTITUD,ESTADO_COORDENADA,FUENTE_COORDENADA,ESTADO_MAPA,ANIO_VISITA
1,EXTINPLAGAS DEL VALLE,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Carrera 7A # 5-39,San Pedro,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,San Pedro,Carrera 7A # 5-39",3186835145,extinplagasdelvalle@gmail.com,4/3/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,San Pedro,Carrera 7A # 5-39",3.9965803,-76.23002509999999,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
2,EMPRESA DE SERVICIOS DE SALUD OCUPACIONAL-SANEAMIENTO INDUSTRIAL,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Carrera 4 # 23-89,Andalucía,Ricaurte,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Andalucía,Carrera 4 # 23-89",3177091500,saneamiento_industrial@hotmail.com,4/8/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,Andalucía,Carrera 4 # 23-89",4.178879999999999,-76.161767,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
3,STANDARD SAFETY PESTS CONTROL S.A.S,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Calle 6B # 1 -11,Andalucía,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Andalucía,Calle 6B # 1 -11",3122104686/3102839614,standardsafetypestcontrol@gmail.com,25/04/2025,Favorable con Requerimientos,Terrestre,"Colombia,Valle del Cauca,Andalucía,Calle 6B # 1 -11",4.16307441296611,-76.1679049232959,,SIN COORDENADA,COORDENADA_DISPONIBLE_EN_ARCHIVO,CON COORDENADA,2025
4,FUMIGACIONES EL TREBOL´S,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Calle 8 # 7-05,Caicedonia,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Caicedonia,Calle 8 # 7-05",3117602108,lucesduque8@hotmail.com,28/03/2025,Favorable con Requerimientos,Terrestre,"Colombia,Valle del Cauca,Caicedonia,Calle 8 # 7-05",4.3324356,-75.82294519999999,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
5,ING MEGASERVICIOS 2   S.A.S,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Finca El Oasis Vereda Tierra Blanca,Roldanillo,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Roldanillo,Finca El Oasis Vereda Tierra Blanca","3162855286
3156247916",ing-megaservicios@gmail.com,12/19/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,Roldanillo,Finca El Oasis Vereda Tierra Blanca",3.4461963,-76.36013299999999,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
6,EMPRESA DE SERVICIOS DE SANEAMIENTO AMBIENTAL SERVISAM E.A.T,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Calle 53 # 50-57,Sevilla,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Sevilla,Calle 53 # 50-57",3154934270/3113618406,servisameat@yahoo.com,08/05/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,Sevilla,Calle 53 # 50-57",4.2664484,-75.9344089,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
7,UNIDAD TÉCNICA EN SANEAMIENTO,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Carrera 3 # 4-80,Guacarí,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Guacarí,Carrera 3 # 4-80",3147319578,utesafumigaciones@hotmail.com,4/9/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,Guacarí,Carrera 3 # 4-80",3.7630793,-76.32908669999999,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
8,FUMIBUGA S.A.S,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Parcelación Calima Canaguaros BL 12 Ap 3,Calima El Darién,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,Calima El Darién,Parcelación Calima Canaguaros BL 12 Ap 3",3154834030,gerfra587@yahoo.es,26/03/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,Calima El Darién,Parcelación Calima Canaguaros BL 12 Ap 3",3.8853485,-76.53263059999999,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
9,FUMIORGANICOS FL,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Calle 1 # 10-08,El Cerrito,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,El Cerrito,Calle 1 # 10-08",2571620/3154734951,fumiorganicos.fl@gmail.com,5/9/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,El Cerrito,Calle 1 # 10-08",3.681089,-76.311381,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
10,TERRACONTROL CIP S.A.S,Secretaría Departamental de Salud del Valle del Cauca-UESVALLE,Calle 6 # 14-59 Local 1,El Cerrito,,Colombia,Valle del Cauca,"Colombia,Valle del Cauca,El Cerrito,Calle 6 # 14-59 Local 1",3175015525,gerencia@terracontrol.com.co,5/9/2025,Favorable,Terrestre,"Colombia,Valle del Cauca,El Cerrito,Calle 6 # 14-59 Local 1",3.6832507,-76.3153562,0,CON COORDENADA,GEOMETRIA_POINT_KML,CON COORDENADA,2025
