No,ARO,Municipio,Ubicación,No. filtros ,Poblacion,Objeto,Tipo de filtro, Comunidad,Enfoque Diferencial,Lugar de entrega,COD. SISA,Fecha de entrega ,Año,Equipo,Responsable 
16,TULUA,CALIMA ,El Mirador,1,73,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,I.E. Pablo Sexto sede principal,59612,6/02/2024,2024,UES,Cristian Amaris - Principal
17,CALI,PRADERA,Arenillo,1,66,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,I.E. Mercedes Abrego sede Simbad Arturo Bueno,,9/02/2024,2024,UES,Cristian Amaris - Principal
18,CALI,DAGUA , Cauchal,43,207,Viviendas,EKOFIL,Consejo comunitario ,Consejo comunitario ,Casa Comunal ,,13/02/2024,2024,FGA,Adriana Mosquera - Celsia
19,CALI,DAGUA ,Danubio ,23,104,Viviendas,EKOFIL,Consejo comunitario ,Consejo comunitario ,Escuela ,,13/02/2024,2024,FGA,Adriana Mosquera - Celsia
20,CALI,FLORIDA,El Llanito,1,78,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede principal,,16/02/2024,2024,UES,Cristian Amaris - Principal
21,CALI,BUENAVENTURA,Barrio San Francisco,1,47,Institucion Educativa ,LIFESTRAW,Estudiantes  - Comunidad Afro,Desplazados por violencia (Interna),I.E. Francisco y Clara de Asis ,,24/02/2024,2024,UES,Cristian Amaris - Principal
22,CALI,PRADERA,Arenillo,57,243,Viviendas,EKOFIL,Desplazados Por Violencia ,Desplazados por violencia ,Casa Comunal,,5/03/2024,2024,UES,Cristian Amaris - Principal
23,CALI,FLORIDA,La Union ,1,10,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede Cartagena de Indias,,21/03/2024,2024,UES,Cristian Amaris - Principal
24,CALI,FLORIDA,Tamboral,1,22,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede Tamboral,,21/03/2024,2024,UES,Cristian Amaris - Principal
25,CALI,FLORIDA,Puerto Nuevo ,1,20,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede Maria Auxiliadora,,21/03/2024,2024,UES,Cristian Amaris - Principal
26,CALI,FLORIDA,San Joaquin ,1,25,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede San Joaquin ,,21/03/2024,2024,UES,Cristian Amaris - Principal
27,CALI,FLORIDA,Cañadas Arriba,1,10,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede Camilo Torres ,,21/03/2024,2024,UES,Cristian Amaris - Principal
28,CALI,GUACARI,Alto Magladalena ,1,14,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. General Santander sede Hebert Marino Saavedra,,22/03/2024,2024,UES,Javier Grueso - Principal 
29,CALI,GUACARI,Alto Magladalena ,1,12,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. General Santander sede Virgen de Fatima,,22/03/2024,2024,UES,Javier Grueso - Principal 
30,CALI,GUACARI,Chafalote,1,24,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. General Santander sede San Roque ,,22/03/2024,2024,UES,Javier Grueso - Principal 
31,CALI,BUENAVENTURA,Resguardo indigena Wounan Nonan,56,257,Viviendas,EKOFIL,Cabildo Indigena ,Cabildo indigena ,Resguardo Wounan Nonan,,4/04/2024,2024,FGA,Vanessa Santamaria - Celsia
32,CALI,BUENAVENTURA,San Cipriano,22,110,Viviendas,EKOFIL,Consejo Comunitario - Comunidad Afro,Consejo comunitario ,Casa Comunal JAC ,,30/05/2024,2024,FGA,Diana Valencia - Celsia 
33,CALI,BUENAVENTURA,Barrio Miramar,40,163,Viviendas,EKOFIL,Junta De Accion Comunal - Comunidad Afro,Consejo comunitario ,Casa Comunal JAC,,31/05/2024,2024,FGA,Diana Valencia - Celsia 
34,CALI,LA CUMBRE,La Guaira,32,111,Viviendas,EKOFIL,Campesinos ,NA,Escuela ,,19/06/2024,2024,FGA,Gabriela Rojas - Celsia
35,TULUA,RIOFRIO,El Carmen,33,124,Viviendas,EKOFIL,Campesinos ,NA,Caseta,,26/06/2024,2024,FGA,Oscar Montoya - Celsia
36,TULUA,RIOFRIO,Salonica,17,71,Viviendas,EKOFIL,Campesinos,NA,Alcaldia municipal,,26/06/2024,2024,FGA,Oscar Montoya - Celsia
37,TULUA,RIOFRIO,Corozal - El Rubi,19,79,Viviendas,EKOFIL,Campesinos,NA,Caseta Comunal,,26/06/2024,2024,FGA,Oscar Montoya - Celsia
38,TULUA,RIOFRIO,Puerto Fenicia ,8,29,Viviendas,EKOFIL,Campesinos ,NA,Alcaldia municipal,,26/06/2024,2024,FGA,Oscar Montoya - Celsia
39,TULUA,RIOFRIO,Volcanes,15,61,Viviendas,EKOFIL,Camoesinos ,NA,Parque principal,,26/06/2024,2024,FGA,Oscar Montoya - Celsia
40,CARTAGO,OBANDO,Villarodas,2,127,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Maris Analia Ortiz,,4/07/2024,2024,UES,Cristian Amaris - Principal
41,CARTAGO,OBANDO,Villarodas,70,214,Viviendas,EKOFIL,Campesinos,NA,I.E. Maris Analia Ortiz,,4/07/2024,2024,UES,Cristian Amaris - Principal
42,CALI,VIJES,Charco Oscuro,64,177,Viviendas,EKOFIL,Na,NA,Parque principal,,11/07/2024,2024,UES,Cristian Amaris - Principal
43,TULUA,ANDALUCIA,Union Cascajeros,61,205,Viviendas,EKOFIL,Campesinos,NA,I.E. Agricola Campo Alegre sede Santa Matilde ,,17/07/2024,2024,UES,Cristian Amaris - Principal
44,TULUA,ANDALUCIA,Union Cascajeros,1,14,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Agricola Campo Alegre sede Santa Matilde ,,17/07/2024,2024,UES,Cristian Amaris - Principal
