No.;CODIGO_ANTERIOR;CODIGO_SISTEMA;Latitud_X;Longitud_Y;MUNICIPIO;TIPO;CODIGO IVC2;CODIGO MUESTREO;CODIGO_AT;ID_SSPD;TIPO_SISTEMA_TRATAMIENTO;ALGUN_TIPO_TRATAMIENTO;LOCALIDADES ABASTECIDAS;NUMERO_LOCALIDADES;ARO;Persona Prestadora;Forma_organizativa;Registrados_SSPD;SIVICAP_Registrados_SSPD;SUSCRIPTORES;POBLACION;IRCA_2020;Nivel de Riesgo_2020;Fecha ultimo IRCA_2020;IRCA_2021;Nivel de Riesgo_2021;Fecha ultimo IRCA_2021;IRCA_2022;Nivel de Riesgo_2022;Fecha ultimo IRCA_2022;IRCA_2023;Nivel de Riesgo_2023;FECHA_IRCA_2023;IRCA_2024;Nivel_de_Riesgo_2024;Fecha_IRCA_2024;IRCA_2025;Nivel_Riesgo_2025;Fecha_Ultimo_IRCA_2025;Punto_Toma_2025;IRCA_Promedio;Img_bocatoma
1;110201;77;4.695786;-75.833186;ALCALA;DISPERSA;110201;106132;110151;S/D;FD+Desinfeccion;Si;EL EDEN;1;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTORURAL VEREDA EL EDEN (ASOCOAGUAS);Autogestion;No;No;60;240;87.86;INVIABLE SANITARIAMENTE;8/07/2020;74.77;ALTO;5/04/2021;34.04;MEDIO;5/12/2022;24;MEDIO;6/02/2023;75.63;ALTO;16/10/2024;68.2;ALTO;20/11/2025;Grifo;52.06;
2;115502;78;4.67293056;-75.70800833;ALCALA;DISPERSA;115502;106105;115316;22372;Solo desinfeccion;No;CONGAL , MARAVELEZ PARTE ALTA;2;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #1);Empresa de Servicios Publicos;Si;Si;199;796;24.56;MEDIO;15/09/2020;0;SIN RIESGO;8/02/2021;35.5;ALTO;9/08/2022;17.14;MEDIO;6/02/2023;21.9;MEDIO;20/11/2024;25.5;MEDIO;20/11/2025;Grifo;17.79;
3;91940;171;4.66626389;-75.72290833;ALCALA;CENTRO POBLADO;91940;110589;113564;22372;Solo desinfeccion;No;CONGAL, MARAVELEZ PARTE BAJA, LA POLONIA , LA CAPILLA;4;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #2);Empresa de Servicios Publicos;Si;Si;103;412;17.54;MEDIO;15/09/2020;0;SIN RIESGO;8/02/2021;45.87;ALTO;9/08/2022;0;SIN RIESGO;21/03/2023;0;SIN RIESGO;16/10/2024;0;SIN RIESGO;20/10/2025;Grifo;9.06;
4;115517;79;4.69383611;-75.78505;ALCALA;CENTRO POBLADO;115517;110590;113561;22372;Filtracion Compacta;Si;(PARTE ALTA) BELGICA , LA FLORESTA , SAN FELIPE , LOS SAUCES , PLAYAS VERDES;5;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #3);Empresa de Servicios Publicos;Si;Si;482;1928;0;SIN RIESGO;15/09/2020;0;SIN RIESGO;8/02/2021;24.85;MEDIO;9/08/2022;57.55;ALTO;6/02/2023;30.66;MEDIO;20/11/2024;;;;;18.84;
5;109043;169;4.65918056;-75.73225556;ALCALA;DISPERSA;109043;107681;112319;22372;Solo desinfeccion;No;MARAVELEZ, EL CONGAL, SAN FELIPE, LA CAÑA, TRINCHERAS;5;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #4);Empresa de Servicios Publicos;Si;Si;119;476;0;SIN RIESGO;12/11/2020;0;SIN RIESGO;8/02/2021;0;SIN RIESGO;9/08/2022;17.54;MEDIO;21/03/2023;0;SIN RIESGO;16/10/2024;0;SIN RIESGO;20/10/2025;Grifo;2.51;
6;80803;2564;4.68786944;-75.81867222;ALCALA;DISPERSA;80803;110576;113563;22372;Solo desinfeccion;No;HIGUERON, LA UNION, SAN FELIPE , LA ESTRELLA , DINDE BAJO;5;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #5);Empresa de Servicios Publicos;Si;Si;263;1052;72.19;ALTO;12/11/2020;0;SIN RIESGO;8/02/2021;93.43;INVIABLE SANITARIAMENTE;9/11/2022;17.14;MEDIO;6/02/2023;30.66;MEDIO;20/11/2024;25.5;MEDIO;20/11/2025;Grifo;34.12;
7;111747;2563;4.71313611;-75.85354444;ALCALA;DISPERSA;111747;117835;111746;22372;Solo desinfeccion;No;EL DINDE (PARTE ALTA) FUENTE Q BUENAVISTA;4;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #6);Empresa de Servicios Publicos;Si;Si;54;216;26.63;MEDIO;12/11/2020;0;SIN RIESGO;5/04/2021;25.15;MEDIO;9/11/2022;24.56;MEDIO;21/03/2023;30.66;MEDIO;20/11/2024;0;SIN RIESGO;20/10/2025;Grifo;15.29;
8;87903;175;4.65634444;-75.71680556;ALCALA;DISPERSA;87903;110591;110925;22372;Solo desinfeccion;No;LA CUCHILLA PARTE ALTA;1;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #7);Empresa de Servicios Publicos;Si;Si;43;172;0;SIN RIESGO;12/11/2020;0;SIN RIESGO;5/04/2021;25.15;MEDIO;9/11/2022;35.09;MEDIO;21/03/2023;43.8;ALTO;20/11/2024;26.1;MEDIO;20/11/2025;Grifo;18.59;
9;110500;177;4.65798889;-75.72749167;ALCALA;DISPERSA;110500;110580;112333;22372;Solo desinfeccion;No;LA CUCHILLA PARTE BAJA;1;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #8);Empresa de Servicios Publicos;Si;Si;35;140;7.02;BAJO;10/03/2020;74.77;ALTO;5/04/2021;89.05;INVIABLE SANITARIAMENTE;9/11/2022;0;SIN RIESGO;21/03/2023;63.03;ALTO;16/10/2024;25.5;MEDIO;20/11/2025;Grifo;37.05;
10;80697;67;4.67250278;-75.77195278;ALCALA;URBANO;80697;89335;;443;Convencional;Si;URBANO;1;Norte Cartago;SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-ALCALA;Empresa de Servicios Publicos;Si;Si;2940;11760;0;SIN RIESGO;2/12/2020;0;SIN RIESGO;21/01/2021;0;SIN RIESGO;14/12/2022;0;SIN RIESGO;30/01/2023;0;SIN RIESGO;2/12/2024;0;SIN RIESGO;18/11/2025;Grifo;0;
