id,codigo,municipio,aro,longitud,latitud,tmax_daily_mean_c,tmax_abs_c
ELNINO_0001,77,ALCALA,Norte Cartago,-75.83319,4.695786,24.92,26.98
ELNINO_0002,78,ALCALA,Norte Cartago,-75.70801,4.672931,24.17,27.49
ELNINO_0003,171,ALCALA,Norte Cartago,-75.72291,4.666264,24.17,27.49
ELNINO_0004,79,ALCALA,Norte Cartago,-75.78505,4.693836,24.92,26.98
ELNINO_0005,169,ALCALA,Norte Cartago,-75.73226,4.659181,24.17,27.49
ELNINO_0006,2564,ALCALA,Norte Cartago,-75.81867,4.687869,24.67,27.64
ELNINO_0007,2563,ALCALA,Norte Cartago,-75.85354,4.713136,25.98,29.11
ELNINO_0008,175,ALCALA,Norte Cartago,-75.71681,4.656344,24.17,27.49
ELNINO_0009,177,ALCALA,Norte Cartago,-75.72749,4.657989,24.17,27.49
ELNINO_0010,67,ALCALA,Norte Cartago,-75.77195,4.672503,24.67,27.64
ELNINO_0011,1121,ANDALUCÍA,Centro Tuluá,-76.09142,4.105842,23.33,26.71
ELNINO_0288,910,ANDALUCÍA,Centro Tuluá,-75.96557,4.156269,23.56,26.6
ELNINO_0013,1122,ANDALUCÍA,Centro Tuluá,-76.08446,4.100567,23.33,26.71
ELNINO_0014,13246,ANDALUCÍA,Centro Tuluá,-76.08386,4.076389,23.33,26.71
ELNINO_0012,1119,ANDALUCÍA,Centro Tuluá,-75.96815,4.128169,23.56,26.6
ELNINO_0402,6494,ANDALUCÍA,Centro Tuluá,-76.14771,4.178069,23.94,27.25
ELNINO_0017,201,ANDALUCÍA,Centro Tuluá,-76.17447,4.176136,25.39,28.62
ELNINO_0018,527,ANSERMANUEVO,Norte Cartago,-76.08668,4.798836,23.92,26.03
ELNINO_0019,2161,ANSERMANUEVO,Norte Cartago,-76.00015,4.789765,25.88,28.53
ELNINO_0020,2158,ANSERMANUEVO,Norte Cartago,-76.0595,4.789756,25.88,28.53
ELNINO_0021,528,ANSERMANUEVO,Norte Cartago,-76.10079,4.831394,23.92,26.03
ELNINO_0022,2160,ANSERMANUEVO,Norte Cartago,-76.07967,4.763733,24.65,27.11
ELNINO_0023,2154,ANSERMANUEVO,Norte Cartago,-76.13472,4.846694,23.92,26.03
ELNINO_0024,3461,ANSERMANUEVO,Norte Cartago,-76.0595,4.824403,25.88,28.53
ELNINO_0025,9345,ANSERMANUEVO,Norte Cartago,-76.00722,4.865075,25.39,27.25
ELNINO_0026,19800,ANSERMANUEVO,Norte Cartago,-76.02364,4.828639,25.88,28.53
ELNINO_0027,530,ANSERMANUEVO,Norte Cartago,-76.11026,4.828097,23.92,26.03
ELNINO_0028,3457,ANSERMANUEVO,Norte Cartago,-76.10246,4.767839,24.65,27.11
ELNINO_0029,2149,ANSERMANUEVO,Norte Cartago,-76.07942,4.786725,23.92,26.03
ELNINO_0030,2147,ANSERMANUEVO,Norte Cartago,-76.08022,4.755024,24.65,27.11
ELNINO_0031,3459,ANSERMANUEVO,Norte Cartago,-76.13214,4.779389,23.92,26.03
ELNINO_0032,3460,ANSERMANUEVO,Norte Cartago,-76.1075,4.779169,23.92,26.03
ELNINO_0033,3458,ANSERMANUEVO,Norte Cartago,-76.12842,4.780883,23.92,26.03
ELNINO_0034,532,ANSERMANUEVO,Norte Cartago,-76.09104,4.819986,23.92,26.03
ELNINO_0036,60,ANSERMANUEVO,Norte Cartago,-75.99252,4.796672,25.88,28.53
ELNINO_0038,1027,ARGELIA,Norte Cartago,-76.12979,4.684519,25.57,28.31
ELNINO_0039,3511,ARGELIA,Norte Cartago,-76.15353,4.725194,24.65,27.11
ELNINO_0040,1029,ARGELIA,Norte Cartago,-76.13552,4.657419,25.57,28.31
ELNINO_0041,3508,ARGELIA,Norte Cartago,-76.13666,4.707275,24.65,27.11
ELNINO_0042,1016,ARGELIA,Norte Cartago,-76.14687,4.676778,25.57,28.31
ELNINO_0043,1068,ARGELIA,Norte Cartago,-76.12234,4.725106,24.65,27.11
ELNINO_0044,SD,ARGELIA,Norte Cartago,-76.06664,4.100292,21.61,24.95
ELNINO_0045,64,ARGELIA,Norte Cartago,-76.11389,4.729889,24.65,27.11
ELNINO_0046,235,BOLÍVAR,Centro Tuluá,-76.27541,4.328061,22.58,24.79
ELNINO_0047,260,BOLÍVAR,Centro Tuluá,-76.3064,4.284747,23.57,26.14
ELNINO_0048,1125,BOLÍVAR,Centro Tuluá,-76.22577,4.379042,23.64,26.21
ELNINO_0049,,BOLÍVAR,Centro Tuluá,-76.29456,4.476075,22.98,25.09
ELNINO_0050,11681,BOLÍVAR,Centro Tuluá,-76.15889,4.180136,23.94,27.25
ELNINO_0051,13850,BOLÍVAR,Centro Tuluá,-76.31556,4.356667,22.58,24.79
ELNINO_0052,,BOLÍVAR,Centro Tuluá,-76.36311,4.293503,21.69,23.28
ELNINO_0053,183,BOLÍVAR,Centro Tuluá,-76.20946,4.309453,24.23,27.05
ELNINO_0054,2168,BOLÍVAR,Centro Tuluá,-76.35307,4.356414,21.69,23.28
ELNINO_0055,1128,BOLÍVAR,Centro Tuluá,-76.25591,4.378178,22.25,24.35
