id_albergue,codigo_dane_fuente,municipio,aro_uesvalle,nombre_sitio,familias_cuantificadas,personas_cuantificadas,estado_cuantificacion,detalle_cuantificacion,fuente_principal,reporte_fuente
ALB-76020-01,76020,Alcalá,ARO Norte - Cartago,HOGAR DEL ABUELO ANAGEL MARIA YEPES,,0,CUANTIFICACIÓN EXPLÍCITA,cuenta con 0 personas alojadas,BQ,el HOGAR DEL ABUELO ANAGEL MARIA YEPES )y cuenta con 0 personas alojadas
ALB-76041-01,76041,Ansermanuevo,ARO Norte - Cartago,Parque recreacional,,10,CUANTIFICACIÓN EXPLÍCITA,cuenta con 10 personas alojadas,BQ,el Parque recreacional y cuenta con 10 personas alojadas
ALB-76054-01,76054,Argelia,ARO Norte - Cartago,hospital,,0,CUANTIFICACIÓN EXPLÍCITA,cuenta con 0 personas alojadas,BQ,el hospital y cuenta con 0 personas alojadas
ALB-76113-01,76113,Bugalagrande,ARO Centro - Tuluá,Centro de integración combiana,,,SIN CENSO DE PERSONAS,,BQ,el Centro de integración combiana. Por el momento no fue posible censar personas alojadas
ALB-76122-01,76122,Caicedonia,ARO Centro - Tuluá,Centro de Integración Ciudadana (CIC) B/Guyanay,,,SIN CENSO DE PERSONAS,,BQ,el Centro de Integración Ciudadana (CIC) B/Guyanay .Por el momento no fue posible censar personas alojadas
ALB-76126-01,76126,Calima (El Darién),ARO Centro - Tuluá,CENTRO DE INTEGRACION CIUDADANO,,37,CUANTIFICACIÓN EXPLÍCITA,cuenta con 37 personas alojadas,BQ,el CENTRO DE INTEGRACION CIUDADANO y cuenta con 37 personas alojadas
ALB-76130-01,76130,Candelaria,ARO Sur - Cali,CENTROS DE ACOPIO,,,SIN CENSO DE PERSONAS,,BQ,elCENTROS DE ACOPIO. Por el momento no fue posible censar personas alojadas
ALB-76147-01,76147,Cartago,ARO Norte - Cartago,COLISEO O CLUB DEL RIO,,,SIN CENSO DE PERSONAS,,BQ,el COLISEO O CLUB DEL RIO. Por el momento no fue posible censar personas alojadas
ALB-76243-01,76243,El Águila,ARO Norte - Cartago,"Antiguo colegio parroquial, iglesia",,6,CUANTIFICACIÓN EXPLÍCITA,cuenta con 6 personas alojadas,BQ,"el Antiguo colegio parroquial, iglesia y cuenta con 6 personas alojadas"
ALB-76250-01,76250,El Dovio,ARO Norte - Cartago,Coliseo cubierto ciudad del futuro,,,SIN CENSO DE PERSONAS,,BQ,el Coliseo cubierto ciudad del futuro. Por el momento no fue posible censar personas alojadas
ALB-76400-01,76400,La Unión,ARO Norte - Cartago,ANGELINO GARZON,,40,CUANTIFICACIÓN EXPLÍCITA,cuenta con 40 personas alojadas,BQ,el ANGELINO GARZON y cuenta con 40 personas alojadas
ALB-76403-01,76403,La Victoria,ARO Norte - Cartago,COLISEO EL CIC,,16,CUANTIFICACIÓN EXPLÍCITA,cuenta con 16 personas alojadas,BQ,el COLISEO EL CIC y cuenta con 16 personas alojadas y
ALB-76497-01,76497,Obando,ARO Norte - Cartago,caseta comunal,,,SIN CUANTIFICACIÓN EXPLÍCITA,,JV,"en Puerto molina sirve e albergue la caseta comunal. Llegará desde Acuavalle Carrotanque grande para abastecer la comunida desde el parque principal.

Iglesia cruzada cristiana fuego de Dios Cristianismo Daniel Fernando Motoa Zapata 3217324612 Calle 3- #4-23 barrio el centro 3217324612 danielmotoaf@gmail.com Obando SI"
ALB-76606-01,76606,Restrepo,ARO Centro - Tuluá,ANTIGUO CENTRO GERIATRICO,,13,CUANTIFICACIÓN EXPLÍCITA,cuenta con 13 personas alojadas,BQ,el ANTIGUO CENTRO GERIATRICO y cuenta con 13 personas alojadas
ALB-76616-01,76616,Riofrío,ARO Centro - Tuluá,SEDE LA GRAN COLOMBIA VEREDA PALMAS,,15,CUANTIFICACIÓN EXPLÍCITA,cuenta con 15 personas alojadas,BQ,elSEDE LA GRAN COLOMBIA VEREDA PALMASy cuenta con 15 personas alojadas y
ALB-76616-02,76616,Riofrío,ARO Centro - Tuluá,I.E NEMESIO RODRÍGUEZ ESCOBAR FENICIA,,26,CUANTIFICACIÓN EXPLÍCITA,cuenta con 26 personas alojadas,BQ,la I.E NEMESIO RODRÍGUEZ ESCOBAR FENICIA y cuenta con 26 personas alojadas
ALB-76622-01,76622,Roldanillo,ARO Norte - Cartago,Coliseo Ivan Muñoz villa,,46,CUANTIFICACIÓN EXPLÍCITA,cuenta con 46 personas alojadas,BQ,elColiseo Ivan Muñoz villa y cuenta con 46 personas alojadas
ALB-76736-01,76736,Sevilla,ARO Centro - Tuluá,Coliceo Óscar Jaramillo Zuluaga,,9,CUANTIFICACIÓN EXPLÍCITA,cuenta con 9 personas alojadas,BQ,el Coliceo Óscar Jaramillo Zuluaga y cuenta con 9 personas alojadas
ALB-76828-01,76828,Trujillo,ARO Centro - Tuluá,CARRETA 19 CALLE 15 # 14-19,,5,CUANTIFICACIÓN EXPLÍCITA,cuenta con 5 personas alojadas,BQ,elCARRETA 19 CALLE 15 # 14-19 y cuenta con 5 personas alojadas
ALB-76834-01,76834,Tuluá,ARO Centro - Tuluá,Mercado Campesino,,,SIN CENSO DE PERSONAS,,BQ,el Mercado Campesino. Por el momento no fue posible censar personas alojadas
ALB-76845-01,76845,Ulloa,ARO Norte - Cartago,CASETA COMUNAL EMISORA,,,CUANTIFICACIÓN DESCRIPTIVA / REVISAR,2 adultos y bebe,BQ,elCASETA COMUNAL EMISORA y cuenta con 2 adultos y bebe personas alojadas
ALB-76863-01,76863,Versalles,ARO Norte - Cartago,SALÓN COMUNAL,,1,CUANTIFICACIÓN EXPLÍCITA,cuenta con 1 personas alojadas,BQ,el SALÓN COMUNAL y cuenta con 1 personas alojadas y
ALB-76863-02,76863,Versalles,ARO Norte - Cartago,"MARIA ISABEL CRUZ, COLISEO PRINCIPAL",,7,CUANTIFICACIÓN EXPLÍCITA,cuenta con 7 personas alojadas,BQ,"el MARIA ISABEL CRUZ, COLISEO PRINCIPAL y cuenta con 7 personas alojadas"
ALB-76890-01,76890,Yotoco,ARO Centro - Tuluá,CR 4 # 4-49 CRUZADA CRISTIANA,,25,CUANTIFICACIÓN EXPLÍCITA,cuenta con 25 personas alojadas,BQ,la CR 4 # 4-49 CRUZADA CRISTIANA y cuenta con 25 personas alojadas
ALB-76892-01,76892,Yumbo,ARO Sur - Cali,Coliseo Carlos Alberto Bejarano Castillo,,20,CUANTIFICACIÓN EXPLÍCITA PARCIAL,,JV,Albergue Actual Coliseo Carlos Alberto Bejarano Castillo 20 personas
ALB-76895-01,76895,Zarzal,ARO Centro - Tuluá,DIRECCIÓN LOCAL DE SALUD,,15,CUANTIFICACIÓN EXPLÍCITA,cuenta con 15 personas alojadas,BQ,el DIRECCIÓN LOCAL DE SALUD y cuenta con 15 personas alojadas
