codigo_dane_fuente,municipio,aro_uesvalle,sitios_identificados,familias_cuantificadas,personas_cuantificadas,agua_condicion,energia_condicion,saneamiento_condicion,detalle_reportado,necesidades_relevantes,estado_cuantificacion,fuentes_usadas
76020,Alcalá,ARO Norte - Cartago,1,,0,SIN DATO ESPECÍFICO,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,el HOGAR DEL ABUELO ANAGEL MARIA YEPES )y cuenta con 0 personas alojadas,,CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76041,Ansermanuevo,ARO Norte - Cartago,1,,10,AFECTACIÓN MUNICIPAL REPORTADA,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,el Parque recreacional y cuenta con 10 personas alojadas,"Vivienda: 1. Víveres
2. Colchonetas 
3. Carpas",CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76054,Argelia,ARO Norte - Cartago,1,,0,SIN DATO ESPECÍFICO,AFECTACIÓN MUNICIPAL REPORTADA,SIN DATO / EN VERIFICACIÓN,el hospital y cuenta con 0 personas alojadas,"Vivienda: 1. Carpas 
2. ⁠Colchonetas para el albergue 
3. ⁠Articulos aseo personal. 
4. ⁠Enlatados
5. ⁠Menaje ( Ollas, Platos, cubiertos)

Apoyo técnico de profesionales que deterimen qué viviendas deben demolerse",CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76113,Bugalagrande,ARO Centro - Tuluá,1,,0,AFECTACIÓN MUNICIPAL REPORTADA,AFECTACIÓN MUNICIPAL REPORTADA,SIN DATO / EN VERIFICACIÓN,el Centro de integración combiana. Por el momento no fue posible censar personas alojadas,Prioridad general: Carpas y alimentos para los albergues temporales,SIN CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76122,Caicedonia,ARO Centro - Tuluá,1,,0,AFECTACIÓN MUNICIPAL REPORTADA,AFECTADA / SIN SERVICIO,SIN DATO / EN VERIFICACIÓN,el Centro de Integración Ciudadana (CIC) B/Guyanay .Por el momento no fue posible censar personas alojadas,"Servicios públicos: Restablecer de manera prioritaria la energía eléctrica para abastecer en el municipio. | Industria, comercio y turismo: Reestablecer el servicio de energía eléctrica para reactivar el comercio en el municipio  | Prioridad general: Apoyo con ayudas humanitarias, maquinaria. Múltiples afectaciones a edificaciones, derrumbes en zonas rurales
sin servicio de energía eléctrica, algunos cortes de gas.
Afectaciones: viviendas edificios estructurales vías y derrumbes.

Por Solicitud de la Alcaldesa Necesidades:
- Plantas eléctricas 
- ⁠tejas de zinc
- ⁠cuartones
- ⁠guadua 
- ⁠brazadas
- ⁠víveres",SIN CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76126,Calima (El Darién),ARO Centro - Tuluá,1,6,37,DISPONIBLE REPORTADA,AFECTADA / SIN SERVICIO,SIN DATO / EN VERIFICACIÓN,el CENTRO DE INTEGRACION CIUDADANO y cuenta con 37 personas alojadas,"Prioridad general: Maquinaria , carpas , frazadas , mercados maquinaria , restablecer energía , plantas eléctricas , estufas para los albergues ",CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76130,Candelaria,ARO Sur - Cali,1,,0,AFECTACIÓN MUNICIPAL REPORTADA,AFECTACIÓN MUNICIPAL REPORTADA,SIN DATO / EN VERIFICACIÓN,elCENTROS DE ACOPIO. Por el momento no fue posible censar personas alojadas,,SIN CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76147,Cartago,ARO Norte - Cartago,1,,0,SIN DATO ESPECÍFICO,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,el COLISEO O CLUB DEL RIO. Por el momento no fue posible censar personas alojadas,"Vivienda: 
Mercados
Kits de aseo e higiene personal
Agua potable
Colchonetas
Cobijas | Telecomunicaciones: En proceso de consolidacion",SIN CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76233,Dagua,ARO Sur - Cali,0,,,AFECTACIÓN MUNICIPAL REPORTADA,AFECTADA / SIN SERVICIO,SIN DATO / EN VERIFICACIÓN,"Reporte de la Dra Francia: 20;00. Hay varias Casas en el Queremal afectadas, evidencio incendio en el sector de San Fernando rumbo del Queremal al KM30. esta diligenciando la ficha EDAN. evidencio derrumbes por el sector Tocota  y en el sector las piñas del 44 es muy grande y no hay maquinaria amarilla. se requeire motobomba para suministro de agua y estan sin servicio de energia. Sin servicios moviles de comunicaciones.  | Sin servicio de energía ni agua
Sin señal de telefonía celular.  
Hospital y Bomberos al momento con planta eléctrica
(Verificar si a la fecha ya cuentan con suministro de agua y energia)","Edificaciones públicas: Reporte de la Dra Francia: 20;00. Hay varias Casas en el Queremal afectadas, evidencio incendio en el sector de San Fernando rumbo del Queremal al KM30. esta diligenciando la ficha EDAN. evidencio derrumbes por el sector Tocota  y en el sector las piñas del 44 es muy grande y no hay maquinaria amarilla. se requeire motobomba para suministro de agua y estan sin servicio de energia. Sin servicios moviles de comunicaciones.  | Prioridad general: Sin servicio de energía ni agua
Sin señal de telefonía celular.  
Hospital y Bomberos al momento con planta eléctrica
(Verificar si a la fecha ya cuentan con suministro de agua y energia)",SIN CUANTIFICACIÓN EXPLÍCITA,JV / necesidades / servicios esenciales
76243,El Águila,ARO Norte - Cartago,1,,6,AFECTACIÓN MUNICIPAL REPORTADA,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,"el Antiguo colegio parroquial, iglesia y cuenta con 6 personas alojadas","Prioridad general: Carpas, frazadas, comida, colchonetas, elementos de aseo / Municipio sin luz, sin internet ni gas. (verificar si ya se cuenta con este suministro) / 70 % de las viviendas afectadas en el casco urbano del municipio. ",CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
