codigo_dane_fuente,municipio,aro_uesvalle,reporte_animales,perros_cuantificados,gatos_cuantificados,total_animales_cuantificados,requiere_alimento,requiere_medicamentos,fila_fuente,columna_fuente
76001,Santiago de Cali,ARO Sur - Cali,"LEONELA MAZUERA 12 GATOS 2 PERROS NECESITA ALIMENTO PERROS Y GATOS. FUNDACION POR AMOR A ELLOS, NECESITAN ALIMENTO PARA PERROS Y GATOS CEMENTO, BOZALES, COLLARES, REPARACION DE GRIETAS  NECESITAN RESINAS EPOXICAS, MORTERO DE REPARACION ESTRUCTURAL DE ALTA RESISTENCIA, SELLADORES ELASTICOS DE POLIURETANO, MALLA O CINTA DE FIBRA DE VIDRIOY ADICTIVOS ACRILICOS O PUENTES DE ADHERENCIA PARA ASEGURAR LA UNION CON EL CONCRETO VIEJO. FUNDACION ANGELES TERRENALES: NECESITA ALIMENTO PARA GATOS. HOGAR DE PASO SILOE LEIDY ORDO{EZ: NECESITA ALIMENTO. GUARDERIA LOLANDA: ALIMENTO. FUNDACION ANIMALISTAS POR NATURALEZA, NECESITAM PRODUCTOS DE ASEO Y ALIMENTO. FUNDACION INTEGRAL Y MISIONERA BANDERA BLANCA, NECESITA ALIMENTO. REFUGIO AMOR VERDADERO: NECESITA ALIMENTO PERROS Y GATOS Y ARENA. FUNDACION MARIA GILMA  LNECESITAN ALIMENTO PERROS Y GATOS, ARENA Y MEDICINAS.  HOGAR PEQUITAS: ALIMENTO PERROS Y GATOS, ARENA Y COMIDA PARA AVES. FUNDACION GRANJA LA COQUETA: NECESITAN ALIMENTO PERROS Y GATO Y ARENA. REFUGIO SAN BOSCO NECESITA ALIMENTO PERROS Y GATOS Y ARENA. REFUGIO FUSAPEL NECESITA ALIMENTO PERROS Y GATOS Y ARENA. FUNDACION RIOS DE FELICIDAD NECESITAN ALIMENTO PERROS CHUNKY POLLO, GATOS, ARENA. FUNDACION CATCAN LOVE NECESITAN ALIMENTO PERROS Y GATOS Y ARENA. FUNDACION KILAMARA: 239 PERROS Y GATOS ALIMENTO PARA PERROS Y GATOS, DESPARASITANTES, VITAMINAS, ARENA PARA GATOS, TEJAS, LADRILLOS Y CEMENTO.",241,12,253,1,1,5,JW
76020,Alcalá,ARO Norte - Cartago,"CAROLINA MORA: CAIDA DE TECHO Y AFECTACION DE ESTRUCTURA. NECESITAN ALIMENTO PARA PERROS Y GATOS, GUACALES, MEDICAMENTO, JERINGAS Y GUANTES.  HOGAR MARTIN: NECESITAN ALIMENTO PARA PERROS Y GATOS Y MATERIALES PARA ENCIERRO DE LOS CANINOS. HOGAR SAN MARTON: 130 PERROS NECESITA ALIMENTO URGENTE, GUADUAS, TUBOS, CEMENTO Y SUPER BOARD. ",130,0,130,1,1,6,JW
76036,Andalucía,ARO Centro - Tuluá,"FUNDACION ALIANZA ANIMAL, NECESITAN ALIMENTO PARA PERROS Y GATOS, DESPARASITANTE Y ANTIBIOTICOS. EDILMA GARCIA: 13 PERROS 4 GATOS ALIMENTO, DESPARASITANTES, MEDICAMENTO PARA TRANQUILIZAR, CEMENTO, TEJAS DE ZINC, LADRILLOS, ARENA, LISTONES, INODORO",13,4,17,1,1,7,JW
76100,Bolívar,ARO Centro - Tuluá,"REFUGIO: HUELLITAS EN BUSCA DE HOGAR, NECESITAN ALIMENTO PARA GATOS, CEMENTO, LADRILLOS Y ARENA",0,0,0,1,0,10,JW
76109,Buenaventura,ARO Sur - Cali,"SALVANDO VIDAS: 12 GATOS NECESITAN ALIMENTO PURINA CAT CHOW SABOR A CARNE. HOGAR DE PASO RITA GUANGA, NECESITAN ALIMENTO PARA PERROS Y GATOS, COLCHONETAS, MEDICAMENTOS, MELOXICAM, DESPARASITANTES, ANTIBIOTICO, COMPLETO BAXIDIN, MADERA, CARTONES, TEJAS DE ZINC, VIGAS, CEMENTO. REFUGIO SOMOS SU VOZ: 100 PERROS Y 20 GATOS, NECESITAN ALIMENTO PARAQ PERROS Y GATOS, TEJAS DE ZINC, VIGAS, CEMENTO, ARENA Y LADRILLOS, PUERTA, CLAVOS, BISAGRAS COMPLEJO B, DESPARASITANTE,, CEFALEXINA, DOXICICLINA, COMIDA PARA ELLA, ARROZ, LENTE JAS, ETC. REFUGIO PASOS DE AMOR 100 PERROS, NECESITAN ALIMENTO PARA PERROS, CEMENTO, LADRILLOS, MALLA ESLABONADA PARA ENCERRAMIENTO, MEDICAMENTO PARA OTITIS AGUDA Y CRONICA, MEDICAMENTO PARA PROBLEMAS DE PIEL (SARNA, HONGOS Y ACAROS)Y COLCHONETAS. REFUGIO THE CRAZY CATS 50 GATOS FERALES ANCIANOS, NECESITAN ALIMENTO PARA GATOS, COMIDA HUMEDA, ARENA SANITARIA, ELEMENTOS DE ASEO, DESPARACITANTES, VITAMINAS, ANTIDIARREICOS, MALLA, CEMENTO Y LADRILLOS. FUNDACION SALVANDO HUELLITAS NECESITA ALIMETNO PARA PERROS Y GATOS, MEDICAMENTO, MUCHAS LAMINAS DE ZINC PARA 2 TECHOS, TABLAS, MALLA ESLABONADA DE HUECO PEQUEÑO, CEMENTO, GUACALES, LADRILLOS, CAMAS PARA PERROS Y GATOS.",200,82,282,1,1,11,JW
76111,Guadalajara de Buga,ARO Centro - Tuluá,"HOGAR DE PASO SIMONA: 21 PERROS 8 GATOS. NECESITAN LADRILLOS, CEMENTO, HIERRO. CBA:  TIENEN GRIETAS EN PISOS Y PAREDES, CUARTEAMIENTO DE ESTACIONES, DESAJUSTE DE LOS PATIOS, POSTES DE NERGIA QUE CEDIERON. HOGAR DE PASO RINKA: NECESITA ALIMENTO",21,8,29,1,0,12,JW
76147,Cartago,ARO Norte - Cartago,"REFUGIO AMIGOS DEFENSORES DE LOS ANIMALES: ALIMENTO RINGO CROQUETAS ADULTO, MIEL, MOGOLA Y SALVADO PARA EQUINOS, MEDICAMENTOS VACUNA QUINTUPLE FELINA, DICICLIN, CANATOX, PREGABALINA,GASAS, DEXAMATASONA, GUANTES, MEDICAMENTOS DE TARRO PLASTICO EL SHE X, HEMOLITAN, VACUNAS, CEMENTO, ARENA, HIERRO, VARILLAS, CHIPAS, PUNTILLAS, PERFILERIA, MALLA, BALASTRO, BRONCOSIL IMPERMEABILIZANTE, SOLDADURA Y DISCOS DE CORTE. CAMBIEMOS SU MUNDO: ALIMENTO NUTRISS Y DONKAT, MALLAS PLASTICAS PARA HACER SEPARACIONES, DESPARASITANTE ESTARCAN, CREMA ESPETILIZANTE OCULAR, ANTIPULGAS Y CHAMPU CON CLOREXIDINA (MICLORPRO).",0,0,0,1,1,17,JW
76250,El Dovio,ARO Norte - Cartago,FUNDACION ANGELES SINTIENTES: ALIMENTO 20 PERROS,20,0,20,1,0,22,JW
76275,Florida,ARO Sur - Cali,"FUNDACION PERROS CALLEJEROS:NECESITAN ALIMENTO PARA PERROS Y GATOS Y MEDICAMENTO CEFALEXINA, GASA, AGUA OXIGENADA, GUANTES, MELOXIPET GOTAS O MELOXICAM, JERINGAS. FUNDACION T Y G POR SIEMPRE MANOS PELUDAS PAPATOS, NECESITAN ALIMENTO Y ESTAN DESHIDRATADOS",0,0,0,1,1,23,JW
76318,Guacarí,ARO Sur - Cali,DIANA MEJIA: 30 PERROS ALIMENTO,30,0,30,1,0,25,JW
