municipio,fila_fuente,columna_fuente,tipo_inconsistencia,detalle,nivel,accion_recomendada,clasificacion_accion,estado,impacta_indicador
Alcalá,6,M,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Familias afectadas: Sin informacion,MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
Guadalajara de Buga,12,M,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Familias afectadas: Sin información,MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
Guadalajara de Buga,12,N,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Personas afectadas: Sin información,MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
Bugalagrande,13,N,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Personas afectadas: Sin información,MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
El Cairo,20,L,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Desaparecidos: Sin información,MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
El Cairo,20,M,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Familias afectadas: Sin información,MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
El Cairo,20,N,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Personas afectadas: Sin información,MEDIO,Mantener como dato no disponible; no convertir a cero. Solicitar actualización cuando exista información validada.,ACTUALIZACIÓN DE FUENTE,PENDIENTE / SIN DATO,"SÍ, SI SE USA EL INDICADOR"
El Cerrito,21,M,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Familias afectadas: 50 AL MOMENTO SE CONTINUA EVALUACIONES A VIVIENDA,MEDIO,Conservar texto como observación y validar cifra antes de agregar.,VALIDACIÓN HUMANA,PENDIENTE,SÍ
San Pedro,36,M,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Familias afectadas: hasta la fecha y hora van 250 familias censadas,MEDIO,Conservar texto como observación y validar cifra antes de agregar.,VALIDACIÓN HUMANA,PENDIENTE,SÍ
Sevilla,37,M,VALOR NO NUMÉRICO EN CAMPO DE CONTEO,Familias afectadas: viviendas colapsadas 200,MEDIO,Conservar texto como observación y validar cifra antes de agregar.,VALIDACIÓN HUMANA,PENDIENTE,SÍ
