codigo_dane_fuente,municipio,aro_uesvalle,agua_afectada,energia_afectada,salud_afectada,albergue_reportado,accesibilidad_afectada,residuos_afectados,bienestar_animal_reportado,alerta_agua_salud,alerta_agua_albergue,alerta_agua_energia,alerta_agua_acceso,alerta_albergue_energia,numero_alertas_cruzadas,fila_fuente
76001,Santiago de Cali,ARO Sur - Cali,0,0,0,0,1,0,1,0,0,0,0,0,0,5
76020,Alcalá,ARO Norte - Cartago,0,0,1,1,0,0,1,0,0,0,0,0,0,6
76036,Andalucía,ARO Centro - Tuluá,0,0,1,0,0,0,1,0,0,0,0,0,0,7
76041,Ansermanuevo,ARO Norte - Cartago,1,0,1,1,0,0,0,1,1,0,0,0,2,8
76054,Argelia,ARO Norte - Cartago,0,1,1,1,0,0,0,0,0,0,0,1,1,9
76100,Bolívar,ARO Centro - Tuluá,1,1,1,0,1,0,1,1,0,1,1,0,3,10
76109,Buenaventura,ARO Sur - Cali,1,1,1,0,1,0,1,1,0,1,1,0,3,11
76111,Guadalajara de Buga,ARO Centro - Tuluá,0,0,1,0,1,0,1,0,0,0,0,0,0,12
76113,Bugalagrande,ARO Centro - Tuluá,1,1,1,1,0,0,0,1,1,1,0,1,4,13
76122,Caicedonia,ARO Centro - Tuluá,1,1,1,1,0,1,0,1,1,1,0,1,4,14
76126,Calima (El Darién),ARO Centro - Tuluá,0,1,1,1,1,0,0,0,0,0,0,1,1,15
76130,Candelaria,ARO Sur - Cali,1,1,1,1,1,0,0,1,1,1,1,1,5,16
76147,Cartago,ARO Norte - Cartago,0,0,1,1,1,0,1,0,0,0,0,0,0,17
76233,Dagua,ARO Sur - Cali,1,0,1,1,1,1,0,1,1,0,1,0,3,18
76243,El Águila,ARO Norte - Cartago,1,0,1,1,1,0,0,1,1,0,1,0,3,19
76246,El Cairo,ARO Norte - Cartago,1,1,1,0,1,0,0,1,0,1,1,0,3,20
76248,El Cerrito,ARO Sur - Cali,0,1,1,0,1,0,0,0,0,0,0,0,0,21
76250,El Dovio,ARO Norte - Cartago,0,0,1,1,0,0,1,0,0,0,0,0,0,22
76275,Florida,ARO Sur - Cali,0,0,1,0,0,0,1,0,0,0,0,0,0,23
76306,Ginebra,ARO Sur - Cali,0,0,0,0,0,0,0,0,0,0,0,0,0,24
76318,Guacarí,ARO Sur - Cali,0,0,0,0,0,0,1,0,0,0,0,0,0,25
76364,Jamundí,ARO Sur - Cali,0,1,1,0,0,0,0,0,0,0,0,0,0,26
76377,La Cumbre,ARO Sur - Cali,0,1,1,0,1,0,0,0,0,0,0,0,0,27
76400,La Unión,ARO Norte - Cartago,1,0,0,1,0,0,0,0,1,0,0,0,1,28
76403,La Victoria,ARO Norte - Cartago,1,0,1,1,0,0,0,1,1,0,0,0,2,29
76497,Obando,ARO Norte - Cartago,1,0,1,1,0,0,1,1,1,0,0,0,2,30
76520,Palmira,ARO Sur - Cali,0,0,1,0,1,0,1,0,0,0,0,0,0,31
76563,Pradera,ARO Sur - Cali,0,0,1,0,0,0,1,0,0,0,0,0,0,32
76606,Restrepo,ARO Centro - Tuluá,1,0,1,1,0,0,1,1,1,0,0,0,2,33
76616,Riofrío,ARO Centro - Tuluá,1,1,1,1,1,0,1,1,1,1,1,1,5,34
76622,Roldanillo,ARO Norte - Cartago,1,1,1,1,1,1,0,1,1,1,1,1,5,35
76670,San Pedro,ARO Centro - Tuluá,0,0,1,0,0,0,0,0,0,0,0,0,0,36
76736,Sevilla,ARO Centro - Tuluá,0,0,1,1,0,0,1,0,0,0,0,0,0,37
76823,Toro,ARO Norte - Cartago,0,0,1,0,0,0,0,0,0,0,0,0,0,38
76828,Trujillo,ARO Centro - Tuluá,0,1,1,1,1,0,1,0,0,0,0,1,1,39
76834,Tuluá,ARO Centro - Tuluá,0,0,1,1,0,0,1,0,0,0,0,0,0,40
76845,Ulloa,ARO Norte - Cartago,0,1,1,1,1,0,0,0,0,0,0,1,1,41
76863,Versalles,ARO Norte - Cartago,0,0,1,1,0,0,0,0,0,0,0,0,0,42
76869,Vijes,ARO Sur - Cali,0,1,1,0,0,0,0,0,0,0,0,0,0,43
76890,Yotoco,ARO Centro - Tuluá,0,0,1,1,1,0,1,0,0,0,0,0,0,44
76892,Yumbo,ARO Sur - Cali,1,0,0,1,0,0,1,0,1,0,0,0,1,45
76895,Zarzal,ARO Centro - Tuluá,1,0,1,1,0,0,1,1,1,0,0,0,2,46
