codigo_dane_fuente,municipio,aro_uesvalle,tipo_fuente,componente,clasificacion,texto_publico,estado_publicacion,contiene_datos_personales,fila_fuente,columna_fuente
76020,Alcalá,ARO Norte - Cartago,DESCRIPCIÓN DE LA AFECTACIÓN,Acueducto,PENDIENTE / SIN INFORMACIÓN,"Se realiza contacto, no se tiene información hasta el momento",PUBLICABLE,NO,6,FQ-FX
76020,Alcalá,ARO Norte - Cartago,PERSPECTIVA DE RECUPERACIÓN,Acueducto,PENDIENTE / SIN INFORMACIÓN,"Se realiza contacto, no se tiene información hasta el momento",PUBLICABLE,NO,6,FQ-FX
76020,Alcalá,ARO Norte - Cartago,DESCRIPCIÓN DE LA AFECTACIÓN,Alcantarillado,PENDIENTE / SIN INFORMACIÓN,"Se realiza contacto, no se tiene información hasta el momento",PUBLICABLE,NO,6,FY-GF
76020,Alcalá,ARO Norte - Cartago,PERSPECTIVA DE RECUPERACIÓN,Alcantarillado,PENDIENTE / SIN INFORMACIÓN,"Se realiza contacto, no se tiene información hasta el momento",PUBLICABLE,NO,6,FY-GF
76020,Alcalá,ARO Norte - Cartago,DESCRIPCIÓN DE LA AFECTACIÓN,Saneamiento básico,INFORMACIÓN PARCIAL / REVISAR,"Pmirs No funcional, los escombros son llevados a lotes Baldíos o usados como relleno de vías",PUBLICABLE,NO,6,GG-GN
76020,Alcalá,ARO Norte - Cartago,PERSPECTIVA DE RECUPERACIÓN,Saneamiento básico,PERSPECTIVA / SEGUIMIENTO,"Se evidencia una situación que requiere atención frente al manejo y disposición de residuos de construcción y demolición, debido a la falta de funcionalidad del PMIRS. Se recomienda fortalecer las acciones de recolección, transporte y disposición adecuada de los escombros, evitando su disposición en lotes baldíos o el uso no controlado como relleno de vías, con el fin de prevenir impactos ambientales y sanitarios.
",PUBLICABLE,NO,6,GG-GN
76020,Alcalá,ARO Norte - Cartago,DESCRIPCIÓN DE LA AFECTACIÓN,Recolección de basuras,MANEJO EXTRAORDINARIO DE RCD / RESIDUOS,"

PMIRS de Alcala no esta operativa, escombros llevados a lotes valdios",PUBLICABLE,NO,6,GO-GV
76020,Alcalá,ARO Norte - Cartago,PERSPECTIVA DE RECUPERACIÓN,Recolección de basuras,PENDIENTE / SIN INFORMACIÓN,"Se realiza contacto, no se tiene información hasta el momento",PUBLICABLE,NO,6,GO-GV
76020,Alcalá,ARO Norte - Cartago,DESCRIPCIÓN DE LA AFECTACIÓN,Energía eléctrica,PENDIENTE / SIN INFORMACIÓN,"Se realiza contacto, no se tiene información hasta el momento",PUBLICABLE,NO,6,GW-HD
76020,Alcalá,ARO Norte - Cartago,PERSPECTIVA DE RECUPERACIÓN,Energía eléctrica,PENDIENTE / SIN INFORMACIÓN,"Se realiza contacto, no se tiene información hasta el momento",PUBLICABLE,NO,6,GW-HD
