codigo_dane_fuente,municipio,aro_uesvalle,sector,necesidad,equipos_elementos,costo_estimado,estado_informacion,fila_fuente,columnas_fuente
76020,Alcalá,ARO Norte - Cartago,Salud,"Afectado en un 10%.
EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",,,REPORTADO,6,Y
76020,Alcalá,ARO Norte - Cartago,Edificaciones públicas,Sin informacion,Sin informacion,,SIN INFORMACIÓN / EN VERIFICACIÓN,6,BR-BS-BT
76020,Alcalá,ARO Norte - Cartago,Telecomunicaciones,Sin informacion,Sin informacion,,SIN INFORMACIÓN / EN VERIFICACIÓN,6,DR-DS-DT
76020,Alcalá,ARO Norte - Cartago,Transporte,Sin informacion,Sin informacion,,SIN INFORMACIÓN / EN VERIFICACIÓN,6,FN-FO-FP
76020,Alcalá,ARO Norte - Cartago,Servicios públicos,Sin informacion,Sin informacion,,SIN INFORMACIÓN / EN VERIFICACIÓN,6,HM-HN-HO
76020,Alcalá,ARO Norte - Cartago,Agropecuario,Sin informacion,Sin informacion,,SIN INFORMACIÓN / EN VERIFICACIÓN,6,IJ-IK-IL
76020,Alcalá,ARO Norte - Cartago,Prioridad general,APOYO A BOMBEROS - maquinaria amarilla  25 edificios por demoler. Municipio sin luz por sectores. Comunicaciones intermitentes.,,,REPORTADO,6,JR
76020,Alcalá,ARO Norte - Cartago,CRUE,EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,,,REPORTADO,6,JS
76036,Andalucía,ARO Centro - Tuluá,Salud,"Con afectación en un 50% mamposteria.
EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",,,REPORTADO,7,Y
76036,Andalucía,ARO Centro - Tuluá,Edificaciones públicas,"Se reportan afectaciones en 3 IE Urbanas y 3 IE rurales.


 las siguientes 
 instituciones educativas:
Urbanas 
1. Institución Educativa Eleazar Libreros, con afectaciones moderadas 
2. Sede Educativa Juan De Dios Rodríguez, con afectaciones moderadas 
3. ⁠Sede Antonia Santos con afectaciones leves

Instituciones educativas y sedes Rurales 
1. Institución educativa Agrícola de Campoalegre con afectaciones leves
2. ⁠dos sedes educativas rurales con afectaciones leves","Equipo técnico para valoracion de infraestructura de Instituciones Educativas, Alcaldía e iglesia",,REPORTADO,7,BR-BS-BT
76036,Andalucía,ARO Centro - Tuluá,Telecomunicaciones,Sin información,Sin información,,SIN INFORMACIÓN / EN VERIFICACIÓN,7,DR-DS-DT
76036,Andalucía,ARO Centro - Tuluá,Transporte,Sin información,Sin información,,SIN INFORMACIÓN / EN VERIFICACIÓN,7,FN-FO-FP
76036,Andalucía,ARO Centro - Tuluá,Servicios públicos,Sin información,Sin información,,SIN INFORMACIÓN / EN VERIFICACIÓN,7,HM-HN-HO
76036,Andalucía,ARO Centro - Tuluá,Agropecuario,Sin información,Sin información,,SIN INFORMACIÓN / EN VERIFICACIÓN,7,IJ-IK-IL
76036,Andalucía,ARO Centro - Tuluá,Prioridad general,"No hay energia, incendio forestal, bomberos colapsados",,,REPORTADO,7,JR
