codigo_dane_fuente,municipio,aro_uesvalle,observacion,categorias_saneamiento,relevancia_saneamiento,fila_fuente,columna_fuente
76020,Alcalá,ARO Norte - Cartago,En el municipio de Alcalá se reporta que el PMIRS no se encuentra funcional. Los residuos de construcción y demolición (escombros) están siendo dispuestos en lotes baldíos o utilizados como material de relleno para vías.,RESIDUOS,SÍ,6,JV
76036,Andalucía,ARO Centro - Tuluá,Daños leves donde funciona el centro vida. | Ocho (8) establecimientos de comercio con afectaciones moderadas y otras leves,SIN RELACIÓN DIRECTA,NO DIRECTA,7,JV
76041,Ansermanuevo,ARO Norte - Cartago,Se adecuará el parque recreacional como albergue temporal.,ALBERGUE,SÍ,8,JV
76054,Argelia,ARO Norte - Cartago,Albergue temporal en finca Altos del Carmen (entrada del pueblo).,ALBERGUE,SÍ,9,JV
76126,Calima (El Darién),ARO Centro - Tuluá,"Habilitado albergue en el CIC con 6 familias, con acceso al agua para consumo, pero sin energía.",AGUA; ALBERGUE; SERVICIO ESENCIAL,SÍ,15,JV
76130,Candelaria,ARO Sur - Cali,"LA INFORMACIÓN ES RECOLECTADA CON CORTE A 10 DE AGOSTO 7:00PM, PARA EL MUNICIPIO DE CANDELARIA, ACTUALMENTE SE ENCUENTRAN HACIENDO ESTUDIOS PREELIMINARES Y EVALUACIÓN DE DAÑOS Y NECESIDADES QUE SE CONSOLIDARÁN EN EL PUESTO DE MANDO UNIFICADO EL DÍA DE HOY 11 DE AGOSTO DE 2026 A PARTIR DE LAS 4:00PM // ESCENARIO DEPORTIVO LA POLVOROSA DEL CORREGIMIENTO EL CARMELO SE ENCUENTRA CON UNA PARED CAIDA // NO SE CUENTA CON NINGUN TIPO DE SERVICIO SATELITAL // SIN REPORTE SOBRE COMPUTADORES PARA EDUCAR",SIN RELACIÓN DIRECTA,NO DIRECTA,16,JV
76233,Dagua,ARO Sur - Cali,"-Reubicación de la estación de policía. | –Afectaciones en cementerio. Daño en fosa común, daño en los osario. Cementerio católico de la cabecera municipal",SIN RELACIÓN DIRECTA,NO DIRECTA,18,JV
76243,El Águila,ARO Norte - Cartago,Se están recolectando escombros y depositando sobre las vías. No hay servicio de Gas,RESIDUOS; SERVICIO ESENCIAL,SÍ,19,JV
76248,El Cerrito,ARO Sur - Cali,"Dos establecimientos comerciales ubicados en la carrera 12 entre calles 6 y 7 en el parque principal, denominados asadero de pollo el Brasero y Materiales El Parque, sufrieron daños en su infraestructura con grandes grietas. El personal técnico de la Secretaría realiza visitas y llamadas a diferentes asociaciones del Municipio (Agricultores, ganaderos, avicultoros. etc) los cuales argumentan no presentar afectaciones debido al terremoto",SIN RELACIÓN DIRECTA,NO DIRECTA,21,JV
76250,El Dovio,ARO Norte - Cartago,En el municipio de El Dovio se reporta que el PMIRS no se encuentra funcional. Los escombros generados están siendo recolectados directamente por la Administración Municipal.,RESIDUOS,SÍ,22,JV
76403,La Victoria,ARO Norte - Cartago,se solicita con urgencia apoyo con colchonetas carpas y productos no percderos,SIN RELACIÓN DIRECTA,NO DIRECTA,29,JV
76497,Obando,ARO Norte - Cartago,en Puerto molina sirve e albergue la caseta comunal. Llegará desde Acuavalle Carrotanque grande para abastecer la comunida desde el parque principal.,AGUA; ALBERGUE,SÍ,30,JV
76563,Pradera,ARO Sur - Cali,"Al corte, las afectaciones asociadas al sismo en el municipio de Pradera se concentran principalmente en viviendas y edificaciones institucionales, con presencia de fisuras y agrietamientos. Se reportan 60 viviendas averiadas y 300 personas afectadas, sin viviendas destruidas, personas fallecidas, heridas o desaparecidas. Los servicios esenciales permanecen operativos; durante el evento se presentó intermitencia temporal del suministro de energía eléctrica, posteriormente normalizada. Continúa la inspección técnica de las edificaciones reportadas para establecer condiciones de seguridad, habitabilidad y eventuales restricciones de uso.",SERVICIO ESENCIAL,SÍ,32,JV
76863,Versalles,ARO Norte - Cartago,En el municipio de Versalles se reporta que los residuos de construcción y demolición no están siendo dispuestos en el PMIRS.,RESIDUOS,SÍ,42,JV
76892,Yumbo,ARO Sur - Cali,Albergue Actual Coliseo Carlos Alberto Bejarano Castillo 20 personas,ALBERGUE,SÍ,45,JV
76895,Zarzal,ARO Centro - Tuluá,se solicita con urgencia apoyo con colchonetas carpas. maquinaria amarilla y productos no percderos,SIN RELACIÓN DIRECTA,NO DIRECTA,46,JV
