codigo_dane_fuente,municipio,aro_uesvalle,servicio,averiado_raw,averiado_estado,destruido_raw,destruido_estado,uso_restringido_raw,uso_restringido_estado,fuera_servicio_raw,fuera_servicio_estado,familias_sin_servicio,personas_sin_servicio,descripcion_afectacion,perspectiva_recuperacion,estado_informacion_afectacion,recuperacion_clasificada,afectacion_identificada,dependencia_energia,sara_brut,carrotanque,ptap,ptar,red_tuberia_aduccion,calidad_registro,fila_fuente,columnas_fuente
76001,Santiago de Cali,ARO Sur - Cali,Acueducto,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,5,FQ-FX
76001,Santiago de Cali,ARO Sur - Cali,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,5,FY-GF
76001,Santiago de Cali,ARO Sur - Cali,Saneamiento básico,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,5,GG-GN
76001,Santiago de Cali,ARO Sur - Cali,Recolección de basuras,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,5,GO-GV
76001,Santiago de Cali,ARO Sur - Cali,Energía eléctrica,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,5,GW-HD
76001,Santiago de Cali,ARO Sur - Cali,Gas,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,5,HE-HL
76020,Alcalá,ARO Norte - Cartago,Acueducto,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,0,0,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,6,FQ-FX
76020,Alcalá,ARO Norte - Cartago,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,6,FY-GF
76020,Alcalá,ARO Norte - Cartago,Saneamiento básico,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,Sin informacion,Sin informacion,SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,6,GG-GN
76020,Alcalá,ARO Norte - Cartago,Recolección de basuras,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,6,GO-GV
76020,Alcalá,ARO Norte - Cartago,Energía eléctrica,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,Sin informacion,Sin informacion,SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,6,GW-HD
76020,Alcalá,ARO Norte - Cartago,Gas,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,Sin informacion,Sin informacion,SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,6,HE-HL
76036,Andalucía,ARO Centro - Tuluá,Acueducto,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,0,0,"Se presentaron daños menores en algunas estructuras y se registró la interrupción del servicio de abastecimiento de agua en la zona urbana, debido a la falta de suministro de energía eléctrica.","Hoy 11/08/2026 el sistema se encuentra operando con normalidad, sin afectaciones en la infraestructura. ",REPORTADO,RESTABLECIDO / NORMAL,1,1,0,0,0,0,0,,7,FQ-FX
76036,Andalucía,ARO Centro - Tuluá,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,7,FY-GF
76036,Andalucía,ARO Centro - Tuluá,Saneamiento básico,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,Sin información,Sin información,SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,7,GG-GN
76036,Andalucía,ARO Centro - Tuluá,Recolección de basuras,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,7,GO-GV
76036,Andalucía,ARO Centro - Tuluá,Energía eléctrica,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,Sin información,Sin información,SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,7,GW-HD
76036,Andalucía,ARO Centro - Tuluá,Gas,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,Sin información,Sin información,SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,7,HE-HL
76041,Ansermanuevo,ARO Norte - Cartago,Acueducto,X,MARCADO,,SIN MARCA,,SIN MARCA,,SIN MARCA,0,0,"PTAP urbana, con daños significativos en edificacion que alberga a operarios, pero sin afectaciones al personal y al suministro del servicio de acueducto",Sin información,REPORTADO,SIN INFORMACIÓN / EN VERIFICACIÓN,1,0,0,0,1,0,0,,8,FQ-FX
76041,Ansermanuevo,ARO Norte - Cartago,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,8,FY-GF
76041,Ansermanuevo,ARO Norte - Cartago,Saneamiento básico,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"La PTAP de Acuavalle continúa prestando el servicio de acueducto sin afectaciones reportadas en el suministro. Se recomienda realizar seguimiento a los daños presentados en la infraestructura de la planta, especialmente en la edificación destinada a los operarios, con el fin de garantizar condiciones adecuadas de seguridad y operación.
",Sin informacion,SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,1,0,0,,8,GG-GN
76041,Ansermanuevo,ARO Norte - Cartago,Recolección de basuras,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,8,GO-GV
76041,Ansermanuevo,ARO Norte - Cartago,Energía eléctrica,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,Sin informacion,Sin informacion,SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,8,GW-HD
76041,Ansermanuevo,ARO Norte - Cartago,Gas,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,Sin informacion,Sin informacion,SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,8,HE-HL
76054,Argelia,ARO Norte - Cartago,Acueducto,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,0,0,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,9,FQ-FX
76054,Argelia,ARO Norte - Cartago,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,9,FY-GF
76054,Argelia,ARO Norte - Cartago,Saneamiento básico,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,9,GG-GN
76054,Argelia,ARO Norte - Cartago,Recolección de basuras,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,9,GO-GV
76054,Argelia,ARO Norte - Cartago,Energía eléctrica,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,9,GW-HD
76054,Argelia,ARO Norte - Cartago,Gas,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,9,HE-HL
76100,Bolívar,ARO Centro - Tuluá,Acueducto,,SIN MARCA,,SIN MARCA,X,MARCADO,,SIN MARCA,,,"Por daños en Sara BRUT a la planta solo ingresan 19 L/s dificultando el acceso al servicio, el cual de momento es intermiitente ",Se estima que mañana en la noche entre en normal funcionamiento,REPORTADO,OTRA / REVISAR,1,0,1,0,0,0,0,,10,FQ-FX
76100,Bolívar,ARO Centro - Tuluá,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,10,FY-GF
76100,Bolívar,ARO Centro - Tuluá,Saneamiento básico,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,Afectaciones en infraestructura habitacional. diicultades en prestación de servicios públicos. Ausencia o intermitencia del suministro de agua potable,,REPORTADO,SIN DATO,1,0,0,0,0,0,0,,10,GG-GN
76100,Bolívar,ARO Centro - Tuluá,Recolección de basuras,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,10,GO-GV
76100,Bolívar,ARO Centro - Tuluá,Energía eléctrica,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,10,GW-HD
76100,Bolívar,ARO Centro - Tuluá,Gas,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,10,HE-HL
76109,Buenaventura,ARO Sur - Cali,Acueducto,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,11,FQ-FX
76109,Buenaventura,ARO Sur - Cali,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,11,FY-GF
76109,Buenaventura,ARO Sur - Cali,Saneamiento básico,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,11,GG-GN
76109,Buenaventura,ARO Sur - Cali,Recolección de basuras,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,11,GO-GV
76109,Buenaventura,ARO Sur - Cali,Energía eléctrica,,SIN MARCA,,SIN MARCA,X,MARCADO,,SIN MARCA,,,,"Se reestableció 11 de agosto.
Algunos barrios persiste",REPORTADO,OTRA / REVISAR,1,0,0,0,0,0,0,,11,GW-HD
76109,Buenaventura,ARO Sur - Cali,Gas,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,Vehículo que envíe gas,REPORTADO,OTRA / REVISAR,1,0,0,0,0,0,0,,11,HE-HL
76111,Guadalajara de Buga,ARO Centro - Tuluá,Acueducto,X,MARCADO,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",REPORTADO,SIN INFORMACIÓN / EN VERIFICACIÓN,1,0,0,0,0,0,0,,12,FQ-FX
76111,Guadalajara de Buga,ARO Centro - Tuluá,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"EN ZONAS URBANAS:
* CANAL DE ADUCCIÓN GRIETAS EN DOS PUNTOS
* INESTABILIDAD TALUD VIADUCTO SUR
* DAÑO TECHO ALMACÉN SEDE TANQUES ANTIGUOS 
*  INESTABILIDAD TALUD VIADUCTO AGUA CRUDA 
(BRISAS)
* FISURAS EN TANQUES DE ALMACENAMIENTO DE AGUA 
POTABLE

ZONAS RURALES:
*TANQUE ALMACENAMIENTO CHAMBIMBAL (SAN 
ANTONIO) PENDIENTE VISITA SEC OBRAS
*  FISURA MURO DE CONTENCIÓN CANAL DE 
ADUCCIÓN (CERCA A VILLA DEL RÍO)",,REPORTADO,SIN DATO,1,0,0,0,0,0,1,,12,FY-GF
76111,Guadalajara de Buga,ARO Centro - Tuluá,Saneamiento básico,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,12,GG-GN
76111,Guadalajara de Buga,ARO Centro - Tuluá,Recolección de basuras,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,12,GO-GV
76111,Guadalajara de Buga,ARO Centro - Tuluá,Energía eléctrica,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,12,GW-HD
76111,Guadalajara de Buga,ARO Centro - Tuluá,Gas,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,12,HE-HL
76113,Bugalagrande,ARO Centro - Tuluá,Acueducto,X,MARCADO,,SIN MARCA,,SIN MARCA,,SIN MARCA,0,0,"URBANO: Se presentaron daños menores en algunas estructuras y se registró la interrupción del servicio de abastecimiento de agua en la zona urbana, debido a la falta de suministro de energía eléctrica. 

RURAL: 
Acueducto Ceilan, reporta operación normal. Sin afectación en infraestructura.
Acueductos El Guayabo y San Antonio, no reportan daños en infraestructura. Suspensión temporal por fluido eléctrico. 
Acueducto Mestizal. Se presentó afectación de la infraestructura de soporte del tanque. Por lo cual no hay servicio continuo. Al parecer las afectaciones comprometen la estabilidad de la estructura. ","URBANO: Hoy 11/08/2026 el sistema se encuentra operando con normalidad, sin afectaciones en la infraestructura.

RURAL: Hoy 11/08/2026 los acueductos de El Guayabo y San Antonio, se restableció el servicio.
En el acueducto Mestizal, se está prestando servicio durante 1 hora al día. Sin generar peso al tanque.",REPORTADO,RESTABLECIDO / NORMAL,1,1,0,0,0,0,0,,13,FQ-FX
76113,Bugalagrande,ARO Centro - Tuluá,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,13,FY-GF
76113,Bugalagrande,ARO Centro - Tuluá,Saneamiento básico,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,13,GG-GN
76113,Bugalagrande,ARO Centro - Tuluá,Recolección de basuras,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,13,GO-GV
76113,Bugalagrande,ARO Centro - Tuluá,Energía eléctrica,X,MARCADO,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,sin fluido electrico desde ayer en el barrio pablo sexto,,REPORTADO,SIN DATO,1,1,0,0,0,0,0,,13,GW-HD
76113,Bugalagrande,ARO Centro - Tuluá,Gas,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,13,HE-HL
76122,Caicedonia,ARO Centro - Tuluá,Acueducto,X,MARCADO,,SIN MARCA,,SIN MARCA,,SIN MARCA,0,0,FUNCIONAN INTERMITENTES POR QUE NO HAY FLUIDO ELECTRICO ,,REPORTADO,SIN DATO,1,1,0,0,0,0,0,,14,FQ-FX
76122,Caicedonia,ARO Centro - Tuluá,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,14,FY-GF
76122,Caicedonia,ARO Centro - Tuluá,Saneamiento básico,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,14,GG-GN
76122,Caicedonia,ARO Centro - Tuluá,Recolección de basuras,,SIN MARCA,,SIN MARCA,X,MARCADO,,SIN MARCA,,,"se está realizando la recolección de basuras pero la vía para la deposición  final ubicada en el departamento del Quindio está cerrada por daños en puente
",,REPORTADO,SIN DATO,1,0,0,0,0,0,0,,14,GO-GV
76122,Caicedonia,ARO Centro - Tuluá,Energía eléctrica,X,MARCADO,,SIN MARCA,,SIN MARCA,X,MARCADO,5000,29000,Afectaciones en postes y cableado eléctrico.,,REPORTADO,SIN DATO,1,1,0,0,0,0,0,,14,GW-HD
76122,Caicedonia,ARO Centro - Tuluá,Gas,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,SIN DATO,SIN DATO,0,0,0,0,0,0,0,,14,HE-HL
76126,Calima (El Darién),ARO Centro - Tuluá,Acueducto,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,0,0,funcionando,,REPORTADO,SIN DATO,1,0,0,0,0,0,0,,15,FQ-FX
76126,Calima (El Darién),ARO Centro - Tuluá,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,15,FY-GF
76126,Calima (El Darién),ARO Centro - Tuluá,Saneamiento básico,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,"El albergue cuenta con acceso a agua para consumo humano. Se reportan afectaciones en la PTAR del municipio, por lo que se requiere realizar seguimiento a su estado y funcionamiento, así como verificar las condiciones de manejo y disposición de aguas residuales. Se recomienda mantener vigilancia sobre las condiciones sanitarias del albergue y garantizar la continuidad del suministro de agua para las personas alojadas.

",,REPORTADO,SIN DATO,1,0,0,0,0,1,0,,15,GG-GN
76126,Calima (El Darién),ARO Centro - Tuluá,Recolección de basuras,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,funcionando,,REPORTADO,SIN DATO,1,0,0,0,0,0,0,,15,GO-GV
76126,Calima (El Darién),ARO Centro - Tuluá,Energía eléctrica,,SIN MARCA,,SIN MARCA,,SIN MARCA,X,MARCADO,,,,,REPORTADO,SIN DATO,1,0,0,0,0,0,0,,15,GW-HD
76126,Calima (El Darién),ARO Centro - Tuluá,Gas,X,MARCADO,,SIN MARCA,,SIN MARCA,,SIN MARCA,,,,,REPORTADO,SIN DATO,1,0,0,0,0,0,0,,15,HE-HL
76130,Candelaria,ARO Sur - Cali,Acueducto,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,0,0,,NO SE REPORTAN DAÑOS Y/O AFECTACIÓN,REPORTADO,OTRA / REVISAR,1,0,0,0,0,0,0,,16,FQ-FX
76130,Candelaria,ARO Sur - Cali,Alcantarillado,,SIN MARCA,,SIN MARCA,,SIN MARCA,,SIN MARCA,0,0,"Se realiza contacto, no se tiene información de afectaciones hasta el momento ","Se realiza contacto, no se tiene información de afectaciones hasta el momento ",SIN INFORMACIÓN / EN VERIFICACIÓN,SIN INFORMACIÓN / EN VERIFICACIÓN,0,0,0,0,0,0,0,,16,FY-GF
