alias_clave,municipio_clave,municipio_display
ALCALA,ALCALA,Alcalá
ANDALUCIA,ANDALUCIA,Andalucía
ANSERMANUEVO,ANSERMANUEVO,Ansermanuevo
ARGELIA,ARGELIA,Argelia
BOLIVAR,BOLIVAR,Bolívar
BUENAVENTURA,BUENAVENTURA,Buenaventura
BUGA,GUADALAJARA DE BUGA,Guadalajara de Buga
BUGALAGRANDE,BUGALAGRANDE,Bugalagrande
CAICEDONIA,CAICEDONIA,Caicedonia
CALI,CALI,Santiago de Cali
CALIMA,CALIMA EL DARIEN,Calima (El Darién)
CALIMA EL DARIEN,CALIMA EL DARIEN,Calima (El Darién)
CANDELARIA,CANDELARIA,Candelaria
CARTAGO,CARTAGO,Cartago
DAGUA,DAGUA,Dagua
EL AGUILA,EL AGUILA,El Águila
EL CAIRO,EL CAIRO,El Cairo
EL CERRITO,EL CERRITO,El Cerrito
EL DARIEN,CALIMA EL DARIEN,Calima (El Darién)
EL DOVIO,EL DOVIO,El Dovio
FLORIDA,FLORIDA,Florida
GINEBRA,GINEBRA,Ginebra
GUACARI,GUACARI,Guacarí
GUADALAJARA DE BUGA,GUADALAJARA DE BUGA,Guadalajara de Buga
JAMUNDI,JAMUNDI,Jamundí
LA CUMBRE,LA CUMBRE,La Cumbre
LA UNION,LA UNION,La Unión
LA VICTORIA,LA VICTORIA,La Victoria
OBANDO,OBANDO,Obando
PALMIRA,PALMIRA,Palmira
PRADERA,PRADERA,Pradera
RESTREPO,RESTREPO,Restrepo
RIOFRIO,RIOFRIO,Riofrío
ROLDANILLO,ROLDANILLO,Roldanillo
SAN PEDRO,SAN PEDRO,San Pedro
SANTIAGO DE CALI,CALI,Santiago de Cali
SEVILLA,SEVILLA,Sevilla
TORO,TORO,Toro
TRUJILLO,TRUJILLO,Trujillo
TULUA,TULUA,Tuluá
ULLOA,ULLOA,Ulloa
VERSALLES,VERSALLES,Versalles
VIJES,VIJES,Vijes
YOTOCO,YOTOCO,Yotoco
YUMBO,YUMBO,Yumbo
ZARZAL,ZARZAL,Zarzal
