id,aro,municipio,zona,sistema,localidad,estado_operativo,estado_actual,poblacion_atendida,poblacion_afectada,prioridad,afectacion,accion_requerida,inversion_cop,fotos,fuentes
DEP-ACU-ANDALUC-A-201,Centro Tuluá,Andalucía,Urbano,ACUAVALLE S.A (ESP),,NORMAL,SIN AFECTACION,24480,,BAJA,"REPORTE_URBANO [ACU-0002]: Vulnerabilidad sísmica y geológica al edificio de operaciones, fisuras en el tanque de sedimentación No 2 y desarenador principal.","REPORTE_URBANO [ACU-0002]: Realizar estudio de vulnerabilidad sismoresistente en el edifio de operaciones y estudio de suelos para evaluación de la capacidad del terreno, implementar los refuerzos para la reparación de las fisuras presentadas en la estructura",14000000,0,REPORTE_URBANO | UESVALLE
DEP-ACU-ANSERMANUEVO-60,Norte Cartago,Ansermanuevo,Urbano,ACUAVALLE S.A. E.S.P. SUCURSAL ANSERMANUEVO.,CENTRO,NORMAL,POR VALIDAR,13904,10500,BAJA,"REPORTE_URBANO [ACU-0003]: Afectación estructural en el segundo piso de la caseta de operación.derrumbe de material en zona adyacente al muro del Tanque No. 1.
Caída y acumulación de escombros en la caja del macromedidor No. 1.
Daños en el equipo SAP utilizado para la toma y registro de lecturas.","REPORTE_URBANO [ACU-0003]: Realizar estudios de vulnerabilidad sismorresistente en los tanques de almacenamiento y edificios de operación.
Implementar los refuerzos estructurales requeridos de acuerdo con los resultados de los estudios.
Reponer las tuberías afectadas en AC.
Construir un muro de contención en la zona adyacente al Tanque No. 1. Reponer Equipos de SAP",800000000,0,REPORTE_URBANO | UESVALLE
DEP-ACU-ANSERMANUEVO-2161,Norte Cartago,Ansermanuevo,Rural,ACUEDUCTO COMUNITARIO SALAZAR,CORREGIMIENTO  SAN AGUSTIN,PARCIAL,MAL ESTADO,1280,1420,ALTA,"UESVALLE [ACU-ANSERMANUEVO-2161]: VERIFICACIÓN: sufrieron daños en las conexiones de los filtros que les instaló Vallecaucana y tienen suspendida la desinfección
VALLECAUCANA [VAL-0003]:  DESTRUCCIÓN DE TUBERÍAS, AGRIETAMIENTO DE TANQUE DE ALMACENAMIENTO. DESTRUCCIÓN DEL FILTRO","VALLECAUCANA [VAL-0003]: Construcion tanque de almacenamiento de 40.000 lt, con sus respectivas instalaciones hidraulicas",937500000,6,UESVALLE | VALLECAUCANA
DEP-ACU-ANSERMANUEVO-9345,Norte Cartago,Ansermanuevo,Rural,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL VERGEL - ACUAVERGEL,CORREGIMIENTO EL VERGEL,PARCIAL,ARREGLO PARCIAL,840,610,MEDIA,VALLECAUCANA [VAL-0001]: AFECTACIONES EN LA BOCATOMA DE LA PALMASE LLEVO LA TUBERIA DE ADUCCION Y CONDUCION DE LA FUENTE D ELA SOLEDAD LLEGANDO A LA PLANTA DE TRATAMIENTO,VALLECAUCANA [VAL-0001]: REMPLAZAR 300 METROS DE TUBERIA / REPARACION DE BOCATOMA  COLAPSADA,325000000,3,UESVALLE | VALLECAUCANA
DEP-ACU-ARGELIA-64,Norte Cartago,Argelia,Urbano,ACUAVALLE S.A. E.S.P. SUCURSAL ARGELIA.,APARICIO,NORMAL,POR VALIDAR,3092,2200,BAJA,"REPORTE_URBANO [ACU-0004]: Afectación estructural en la caseta destinada al alojamiento de la planta eléctrica.Afectación estructural en la caseta de ooeracion.Daños en el sistema y equipos de cloración.Afectación de la planta eléctrica de emergencia, con posible compromiso de su operatividad.
Daños y afectaciones en las redes matrices y tuberías del sistema de acueducto, incluyendo posibles fisuras y roturas","REPORTE_URBANO [ACU-0004]: Realizar estudios de vulnerabilidad sismorresistente en los tanques de almacenamiento, casetas y edificios de operación.mplementar los refuerzos estructurales requeridos de acuerdo con los resultados de los estudios.
Reponer las tuberías afectadas en AC. Reparar y asegurar estructuralmente las casetas afectadas.
Garantizar la operatividad del sistema de cloración.
Verificar el funcionamiento de la planta eléctrica de emergencia.Inspeccionar y reparar daños en redes matrices y tuberías de acueducto.
Realizar pruebas de estanqueidad y presurización de las redes intervenidas.
Verificar la calidad del agua antes de restablecer el suministro.",650000000,5,REPORTE_URBANO | UESVALLE
DEP-ACU-ARGELIA-1027,Norte Cartago,Argelia,Rural,ADMINISTRACION COOPERATIVA SAN ROQUE SISTEMA #1- LA SOLEDAD LA PAZ - LA PRIMAVERA - TARRITOS,VEREDA LA SOLEDA,NORMAL,POR VALIDAR,800,,BAJA,"UESVALLE [ACU-ARGELIA-1027]: VERIFICACIÓN: tuberia reventada. algunas abrazaderas se soltaron, hubieron daños en algunos baños.",,0,0,UESVALLE
DEP-ACU-ARGELIA-1029,Norte Cartago,Argelia,Rural,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA CRISTALINA,VEREDA LA CRISTALINA,NORMAL,MAL ESTADO,72,80,MEDIA,"UESVALLE [ACU-ARGELIA-1029]: VERIFICACIÓN: terreno inestable, fracturas en el desarenador.
VALLECAUCANA [VAL-0004]: SE EVIDENCIÓ, DURANTE EL RECORRIDO REALIZADO, QUE, COMO CONSECUENCIA DEL PASADO TERREMOTO, SE PRESENTARON GRIETAS EN EL TERRENO DONDE SE ENCUENTRA UBICADO EL SISTEMA DE ACUEDUCTO. EN ESTA ZONA SE LOCALIZAN EL TANQUE PRINCIPAL, CON UNA CAPACIDAD DE ALMACENAMIENTO DE 30.000 LITROS, Y EL DESARENADOR, SITUACIÓN QUE GENERA INESTABILIDAD EN EL TERRENO Y PODRÍA AFECTAR LA ESTABILIDAD DE LAS ESTRUCTURAS.   ESTA SITUACIÓN GENERA MAYOR PREOCUPACIÓN DEBIDO A QUE, APROXIMADAMENTE A 100 METROS LINEALES EN LA PARTE INFERIOR DE LOS TANQUES, SE ENCUENTRAN UBICADAS DOS VIVIENDAS, EN LAS CUALES RESIDEN SUS RESPECTIVAS FAMILIAS.","VALLECAUCANA [VAL-0004]:  REUBICAR, CONSTRUIR DE NUEVO EL SISTEMA",1620000000,1,UESVALLE | VALLECAUCANA
DEP-ACU-ARGELIA-3508,Norte Cartago,Argelia,Rural,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA PALMA,VEREDA LA PALMA,PARCIAL,POR VALIDAR,368,,MEDIA,,,0,0,UESVALLE
DEP-ACU-ARGELIA-1016,Norte Cartago,Argelia,Rural,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO DE MARACAIBO,CORREGIMIENTO DE MARACAIBO,NORMAL,MAL ESTADO,340,340,MEDIA,"UESVALLE [ACU-ARGELIA-1016]: VERIFICACIÓN: tanque filtracion en la parte
VALLECAUCANA [VAL-0005]: EL TANQUE PRINCIPAL DE LA BOCATOMA DESPUÉS DEL TERREMOTO DEL 10 DE AGOSTO, SE FISURO EN LA PARTE DE ABAJO EN UNA DE LAS ESQUINAS EVIDENCIANDO UNA FUGA CONSIDERABLE DEL AGUA.","VALLECAUCANA [VAL-0005]: Construcion tanque de almacenamiento de 20.000 lt, con sus respectivas instalaciones hidraulicas",875000000,2,UESVALLE | VALLECAUCANA
DEP-ACU-ARGELIA-3511,Norte Cartago,Argelia,Rural,COOPERATIVA SAN ROQUE LAS BRISAS RAIZAL LA AURORA -SISTEMA # 2,VEREDA LA AURORA,NORMAL,MAL ESTADO,800,,MEDIA,"Validación telefónica 04/09/2026: presentó afectaciones en el tanque de almacenamiento y en el viaducto de la fuente alterna. El servicio opera normalmente, con bajo caudal.",,0,0,UESVALLE
DEP-ACU-BOL-VAR-166,Centro Tuluá,Bolívar,Urbano,ACUAVALLE S.A (ESP),GUABINERO,NORMAL,POR VALIDAR,8000,2059,BAJA,"REPORTE_URBANO [ACU-0005]: Vulnerabilidad por Fisuras en salida Tanque elevado y en Caseta de Cloración y Sustancias quimicas. Aplastamiento parcial de la tubería Ø20”de desagüe de la PTAP produjo reducción de capacidad hidraulica al conducto lo que está generando desbordamiento de aguas de lavado de las estructuras hacia predios contiguos al predio de la PTAP.Fisuras en muros del tanque de almacenamiento | daño en variadores de velocidad a causa de la desconexión espontáneas de redes eléctricas
REPORTE_URBANO [ACU-ALC-001]: Tuberia del emisor aplastada","REPORTE_URBANO [ACU-0005]: I.Reparación por fisuras en  Tanque elevado y reforzamiento confinado a Caseta de Cloración y Sustancias quimicas.Ejecutar reposición de 120 m de tuberia en Ø20"" con una cámara intermedia. Ejecutar reparación con productos epoxicos con tanque vacio | cambio de los dos variadores recuperando el 100% de la floculación
REPORTE_URBANO [ACU-ALC-001]: Reponer 400 m tuberia aplastada a PVC Ø24"". Calleón en tierra",1030000000,4,REPORTE_URBANO | UESVALLE
