id,mun,aro,amb,loc,prest,pob,q,precip_mm,temp_mean,precip_idx,temp_anom,precip_sev,temp_sev,clima_score,P_clima,clasif_fuente
ELNINO_0001,ALCALA,Norte Cartago,Rural,EL EDEN,ASOCIACION DE USUARIOS DEL ACUEDUCTORURAL VEREDA EL EDEN (ASOCOAGUAS),208,8.0,13.68,21.69,31.9,1.56,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0002,ALCALA,Norte Cartago,Rural,"CONGAL , MARAVELEZ PARTE ALTA",ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #1),796,29.0,13.28,19.49,32.2,1.25,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0003,ALCALA,Norte Cartago,Rural,"CONGAL, MARAVELEZ PARTE BAJA, LA POLONIA , LA CAPILLA",ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #2),412,13.0,13.28,19.49,32.2,1.25,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0004,ALCALA,Norte Cartago,Rural,"(PARTE ALTA) BELGICA , LA FLORESTA , SAN FELIPE , LOS SAUCES , PLAYAS VERDES",ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #3),1928,10.0,12.38,19.49,31.0,1.56,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0005,ALCALA,Norte Cartago,Rural,"MARAVELEZ, EL CONGAL, SAN FELIPE, LA CAÑA, TRINCHERAS",ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #4),476,5.0,13.28,19.49,32.2,1.25,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0006,ALCALA,Norte Cartago,Rural,"HIGUERON, LA UNION, SAN FELIPE , LA ESTRELLA , DINDE BAJO",ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #5),1052,9.0,13.68,21.69,31.9,1.56,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0007,ALCALA,Norte Cartago,Rural,EL DINDE (PARTE ALTA) FUENTE Q BUENAVISTA,ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #6),216,6.0,17.2,21.75,37.8,1.71,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0008,ALCALA,Norte Cartago,Rural,LA CUCHILLA PARTE ALTA,ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #7),172,3.0,13.28,19.49,32.2,1.25,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0009,ALCALA,Norte Cartago,Rural,LA CUCHILLA PARTE BAJA,ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #8),140,2.0,13.28,19.49,32.2,1.25,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0010,ALCALA,Norte Cartago,Urbano,URBANO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-ALCALÁ,11760,25.0,12.38,19.49,31.0,1.56,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0011,ANDALUCÍA,Centro Tuluá,Rural,POTRERILLO,ACUEDUCTO POTRERILLO,172,1.5,8.06,20.04,26.2,1.45,2,1,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
