code,name,P1_clima,P2_clima,P3_clima,SIN_DATO_clima
76001,CALI,0,0,0,0
76036,ANDALUCÍA,6,2,0,0
76041,ANSERMANUEVO,2,16,0,0
76054,ARGELIA,1,7,0,0
76111,GUADALAJARA DE BUGA,0,0,0,0
76113,BUGALAGRANDE,10,10,0,0
76122,CAICEDONIA,21,2,0,0
76126,CALIMA,8,19,1,0
76130,CANDELARIA,0,0,0,0
76147,CARTAGO,0,0,0,0
76243,EL ÁGUILA,0,0,0,0
76246,EL CAIRO,0,17,1,0
76248,EL CERRITO,4,5,6,0
76250,EL DOVIO,6,17,3,0
76275,FLORIDA,1,10,0,0
76306,GINEBRA,12,12,1,0
76318,GUACARÍ,4,4,0,0
76020,ALCALÁ,0,0,0,0
76497,OBANDO,10,0,0,0
76520,PALMIRA,0,0,0,0
76563,PRADERA,1,9,0,0
76606,RESTREPO,23,8,2,0
76616,RIOFRÍO,0,0,0,0
76622,ROLDANILLO,5,8,0,0
76670,SAN PEDRO,13,0,0,0
76736,SEVILLA,26,2,0,0
76823,TORO,1,9,0,0
76828,TRUJILLO,4,17,13,0
76834,TULUÁ,0,0,0,0
76845,ULLOA,3,4,0,0
76863,VERSALLES,0,8,4,0
76869,VIJES,25,0,0,0
76890,YOTOCO,10,9,12,0
76892,YUMBO,0,0,0,0
76895,ZARZAL,5,0,0,0
76403,LA VICTORIA,6,0,0,0
76400,LA UNIÓN,0,0,0,0
76377,LA CUMBRE,28,1,0,0
76364,JAMUNDÍ,0,0,0,0
76100,BOLÍVAR,7,18,0,0
76233,DAGUA,46,27,0,0
76109,BUENAVENTURA,0,0,0,0
