No.;CODIGO_ANTERIOR;CODIGO_SISTEMA;Latitud_X;Longitud_Y;MUNICIPIO;TIPO;CODIGO IVC2;CODIGO MUESTREO;CODIGO_AT;ID_SSPD;TIPO_SISTEMA_TRATAMIENTO;TIPO_SISTEMA_TRATAMIENTO_AGRUPADO;ALGUN_TIPO_TRATAMIENTO;LOCALIDADES ABASTECIDAS;NUMERO_LOCALIDADES;ARO;Persona Prestadora;Forma_organizativa;Registrados_SSPD;SIVICAP_Registrados_SSPD;SUSCRIPTORES;POBLACION;Ultimo_IRCA_reportado;Nivel_Riesgo_ultimo_IRCA;Fecha_Ultimo_IRCA_reportado;Punto_Toma_Ultimo_IRCA;IRCA_2020;Nivel_de_Riesgo_2020;Fecha_Ultimo_IRCA_2020;Punto_Muestreo_2020;IRCA_2021;Nivel_de_Riesgo_2021;Fecha_Ultimo_IRCA_2021;Punto_Muestreo_2021;IRCA_2022;Nivel_de_Riesgo_2022;Fecha_Ultimo_IRCA_2022;Punto_Muestreo_2022;IRCA_2023;Nivel_de_Riesgo_2023;Fecha_Ultimo_IRCA_2023;Punto_Muestreo_2023;IRCA_2024;Nivel_de_Riesgo_2024;Fecha_Ultimo_IRCA_2024;Punto_Muestreo_2024;IRCA_2025;Nivel_de_Riesgo_2025;Fecha_Ultimo_IRCA_2025;Punto_Muestreo_2025;IRCA_2026;Nivel_de_Riesgo_2026;Fecha_Ultimo_IRCA_2026;Punto_Toma_2026;IRCA_Promedio;Img_bocatoma;Nivel de Riesgo_2020;Fecha ultimo IRCA_2020;Nivel de Riesgo_2021;Fecha ultimo IRCA_2021;Nivel de Riesgo_2022;Fecha ultimo IRCA_2022;Nivel de Riesgo_2023;FECHA_IRCA_2023;Fecha_IRCA_2024;Nivel_Riesgo_2025;Punto_Toma_2025
2;115502;78;4.672931;-75.708008;ALCALA;DISPERSA;115502;106105;115316;22372;SOLO DESINFECCION;Solo desinfección;No;CONGAL , MARAVELEZ PARTE ALTA;2;NORTE CARTAGO;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #1);EMPRESA DE SERVICIOS PUPLICOS;;;199;796;62.02;;22/04/2026;Grifo;24.56;MEDIO;15/09/2020;Sin Dato;0.00;SIN RIESGO;08/02/2021;Sin Dato;35.50;ALTO;09/08/2022;Sin Dato;17.14;MEDIO;06/02/2023;Sin Dato;21.90;MEDIO;20/11/2024;Grifo;25.45;MEDIO;20/11/2025;Grifo;62.02;ALTO;22/04/2026;Grifo;26.65;;MEDIO;15/09/2020;SIN RIESGO;08/02/2021;ALTO;09/08/2022;MEDIO;06/02/2023;20/11/2024;MEDIO;Grifo
3;91940;171;4.666264;-75.722908;ALCALA;CENTRO POBLADO;91940;110589;113564;22372;SOLO DESINFECCION;Solo desinfección;No;CONGAL, MARAVELEZ PARTE BAJA, LA POLONIA , LA CAPILLA;4;NORTE CARTAGO;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #2);EMPRESA DE SERVICIOS PUPLICOS;;;103;412;18.87;;22/04/2026;Grifo;17.54;MEDIO;15/09/2020;Sin Dato;0.00;SIN RIESGO;08/02/2021;Sin Dato;45.87;ALTO;09/08/2022;Sin Dato;0.00;SIN RIESGO;21/03/2023;Sin Dato;0.00;SIN RIESGO;16/10/2024;Grifo;0.00;SIN RIESGO;20/10/2025;Grifo;18.87;MEDIO;22/04/2026;Grifo;11.75;;MEDIO;15/09/2020;SIN RIESGO;08/02/2021;ALTO;09/08/2022;SIN RIESGO;21/03/2023;16/10/2024;SIN RIESGO;Grifo
7;111747;2563;4.713136;-75.853544;ALCALA;DISPERSA;111747;117835;111746;22372;SOLO DESINFECCION;Solo desinfección;No;EL DINDE (PARTE ALTA) FUENTE Q BUENAVISTA;4;NORTE CARTAGO;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #6);EMPRESA DE SERVICIOS PUPLICOS;;;54;216;0.00;SIN RIESGO;10/02/2026;Grifo;26.63;MEDIO;12/11/2020;Sin Dato;0.00;SIN RIESGO;05/04/2021;Sin Dato;25.15;MEDIO;09/11/2022;Sin Dato;24.56;MEDIO;21/03/2023;Sin Dato;30.66;MEDIO;20/11/2024;Grifo;0.00;SIN RIESGO;20/10/2025;Grifo;0.00;SIN RIESGO;10/02/2026;Grifo;15.29;;MEDIO;12/11/2020;SIN RIESGO;05/04/2021;MEDIO;09/11/2022;MEDIO;21/03/2023;20/11/2024;SIN RIESGO;Grifo
6;80803;2564;4.687869;-75.818672;ALCALA;DISPERSA;80803;110576;113563;22372;SOLO DESINFECCION;Solo desinfección;No;HIGUERON, LA UNION, SAN FELIPE , LA ESTRELLA , DINDE BAJO;5;NORTE CARTAGO;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #5);EMPRESA DE SERVICIOS PUPLICOS;;;263;1052;23.26;;10/02/2026;Grifo;72.19;ALTO;12/11/2020;Sin Dato;0.00;SIN RIESGO;08/02/2021;Sin Dato;93.43;INVIABLE SANITARIAMENTE;09/11/2022;Sin Dato;17.14;MEDIO;06/02/2023;Sin Dato;30.66;MEDIO;20/11/2024;Grifo;25.45;MEDIO;20/11/2025;Grifo;23.26;MEDIO;10/02/2026;Grifo;37.45;;ALTO;12/11/2020;SIN RIESGO;08/02/2021;INVIABLE SANITARIAMENTE;09/11/2022;MEDIO;06/02/2023;20/11/2024;MEDIO;Grifo
8;87903;175;4.656344;-75.716806;ALCALA;DISPERSA;87903;110591;110925;22372;SOLO DESINFECCION;Solo desinfección;No;LA CUCHILLA PARTE ALTA;1;NORTE CARTAGO;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #7);EMPRESA DE SERVICIOS PUPLICOS;;;43;172;0.00;SIN RIESGO;10/02/2026;Grifo;0.00;SIN RIESGO;12/11/2020;Sin Dato;0.00;SIN RIESGO;05/04/2021;Sin Dato;25.15;MEDIO;09/11/2022;Sin Dato;35.09;MEDIO;21/03/2023;Sin Dato;43.80;ALTO;20/11/2024;Grifo;26.09;MEDIO;20/11/2025;Grifo;0.00;SIN RIESGO;10/02/2026;Grifo;18.59;;SIN RIESGO;12/11/2020;SIN RIESGO;05/04/2021;MEDIO;09/11/2022;MEDIO;21/03/2023;20/11/2024;MEDIO;Grifo
9;110500;177;4.657989;-75.727492;ALCALA;DISPERSA;110500;110580;112333;22372;SOLO DESINFECCION;Solo desinfección;No;LA CUCHILLA PARTE BAJA;1;NORTE CARTAGO;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #8);EMPRESA DE SERVICIOS PUPLICOS;;;35;140;0.00;SIN RIESGO;22/04/2026;Grifo;7.02;BAJO;10/03/2020;Sin Dato;74.77;ALTO;05/04/2021;Sin Dato;89.05;INVIABLE SANITARIAMENTE;09/11/2022;Sin Dato;0.00;SIN RIESGO;21/03/2023;Sin Dato;63.03;ALTO;16/10/2024;Grifo;25.45;MEDIO;20/11/2025;Grifo;0.00;SIN RIESGO;22/04/2026;Grifo;37.05;;BAJO;10/03/2020;ALTO;05/04/2021;INVIABLE SANITARIAMENTE;09/11/2022;SIN RIESGO;21/03/2023;16/10/2024;MEDIO;Grifo
5;109043;169;4.659181;-75.732256;ALCALA;DISPERSA;109043;107681;112319;22372;SOLO DESINFECCION;Solo desinfección;No;MARAVELEZ, EL CONGAL, SAN FELIPE, LA CANA, TRINCHERAS;5;NORTE CARTAGO;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #4);EMPRESA DE SERVICIOS PUPLICOS;;;119;476;0.00;SIN RIESGO;22/04/2026;Grifo;0.00;SIN RIESGO;12/11/2020;Sin Dato;0.00;SIN RIESGO;08/02/2021;Sin Dato;0.00;SIN RIESGO;09/08/2022;Sin Dato;17.54;MEDIO;21/03/2023;Sin Dato;0.00;SIN RIESGO;16/10/2024;Grifo;0.00;SIN RIESGO;20/10/2025;Grifo;0.00;SIN RIESGO;22/04/2026;Grifo;2.51;;SIN RIESGO;12/11/2020;SIN RIESGO;08/02/2021;SIN RIESGO;09/08/2022;MEDIO;21/03/2023;16/10/2024;SIN RIESGO;Grifo
13;102222;1122;4.100567;-76.084456;ANDALUCIA;DISPERSA;102222;113524;115551;;SOLO DESINFECCION;Solo desinfección;No;EL PLACER;1;CENTRO TULUA;ACUEDUCTO RURAL EL PLACER;AUTOGESTION;;;36;144;79.14;;24/03/2026;Grifo;6.94;BAJO;29/07/2020;Sin Dato;65.35;ALTO;22/02/2021;Sin Dato;68.35;ALTO;09/08/2022;Sin Dato;86.52;INVIABLE SANITARIAMENTE;15/05/2023;Sin Dato;80.29;INVIABLE SANITARIAMENTE;20/11/2024;Grifo;79.14;ALTO;26/03/2025;Grifo;79.14;ALTO;24/03/2026;Grifo;66.53;;BAJO;29/07/2020;ALTO;22/02/2021;ALTO;09/08/2022;INVIABLE SANITARIAMENTE;15/05/2023;20/11/2024;ALTO;Grifo
14;64871;13246;4.076389;-76.083861;ANDALUCIA;DISPERSA;64871;112855;109980;;NINGUNO;Ninguno;No;PARDO ALTO;1;CENTRO TULUA;ACUEDUCTO RURAL PARDO ALTO;AUTOGESTION;;;70;280;79.14;;24/03/2026;Grifo;;;;Sin Dato;86.61;INVIABLE SANITARIAMENTE;22/02/2021;Sin Dato;82.84;INVIABLE SANITARIAMENTE;09/08/2022;Sin Dato;;;;Sin Dato;;;;Sin Dato;79.14;ALTO;26/03/2025;Grifo;79.14;ALTO;24/03/2026;Grifo;81.93;;;;INVIABLE SANITARIAMENTE;22/02/2021;INVIABLE SANITARIAMENTE;09/08/2022;;;;ALTO;Grifo
11;61992;1121;4.105842;-76.091417;ANDALUCIA;DISPERSA;61992;113525;110003;;SOLO DESINFECCION;Solo desinfección;No;POTRERILLO;1;CENTRO TULUA;ACUEDUCTO POTRERILLO;AUTOGESTION;;;42;168;67.23;;18/02/2026;Grifo;65.32;ALTO;29/07/2020;Sin Dato;88.98;INVIABLE SANITARIAMENTE;22/02/2021;Sin Dato;66.86;ALTO;09/08/2022;Sin Dato;58.87;ALTO;14/03/2023;Sin Dato;58.39;ALTO;20/11/2024;Grifo;57.55;ALTO;26/03/2025;Grifo;67.23;ALTO;18/02/2026;Grifo;66.17;;ALTO;29/07/2020;INVIABLE SANITARIAMENTE;22/02/2021;ALTO;09/08/2022;ALTO;14/03/2023;20/11/2024;ALTO;Grifo
