CODIGO_ANTERIOR,MUNICIPIO,PERSONA_PRESTADORA,NOMBRE_SISTEMA,ARO,FECHA_VISITA_1_2,CONCEPTO_1_2,FUNCIONARIO_1_2,IRCA_1_2,OBSERVACION_1_2,COMPONENTE_AFECTADO,INTERVENCION_SUGERIDA,HALLAZGO_CLAVE,FECHA_MUESTREO_1_7,IRCA_1_7,CODIGO_LABORATORIO_1_7,RESULTADO_1_7,ESTADO_MUESTRA_1_7,PUNTO_MUESTREO_1_7,TIPO_ANALISIS_1_7,SOPORTE_SISA,TOTAL_VISITAS_1_2,TOTAL_MUESTREOS_1_7
110201,ALCALA,ASOCIACION DE USUARIOS DEL ACUEDUCTORURAL VEREDA EL EDEN (ASOCOAGUAS),ASOCIACION DE USUARIOS DEL ACUEDUCTORURAL VEREDA EL EDEN (ASOCOAGUAS),1,2026-06-09,DESFAVORABLE,SAIR HAIRTON IBARGUEN RENTERIA,68.22,"SE REALIZA RECORRIDO POR LAS UNIDADES QUE CONFORMAN QUE CONFORMAN EL SISTEMA DE ABASTO SE EVIDENCIA QUE NO SE ESTA REALIZANDO DESINFECCIÓN, POR LO TANTO NO SE PUEDE GARANTIZAR LA CALIDAD DEL AGUA SUMINISTRADA, ES NECESARIO PONER EN MARCHA NUEVAMENTE EL SISTEMA DE DESINFECCIÓN, DAR CUMPLIMIENTO A LOS ITEM´S VALORADOS NEGATIVAMENTE EN LA PRESENTE ACTA, SE RECOMIENDA PLAN DE ACCIÓN Y/O MEJOAMIENTO DE ACUERDO A LOS ITEMS VALORADOS NEGATIVAMENTE, PLAZO 30 DÍAS, GESTIONAR ANTE LA ADMINISTRACIÓN MUNICIPAL PARA ADQUIRIR DISPOSITIVOS INTRADOMICILIAROS Y LOGRAR LA COBERTURA DEL 100%. NOTA= DECRETO DEPARTAMENTAL 0294/2016 NO SE EVIDENCIA CRIADERO DE MOSQUITOS",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Protección sanitaria / fuente, Gestión administrativa",2026-02-02,94.57,20260202-6414-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
115502,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #1),SISTEMA #1,1,2026-05-12,FAVORABLE CON REQUERIMIENTOS,SAIR HAIRTON IBARGUEN RENTERIA,36.91,"DURANTE EL CORRIDO POR LAS UNIDADES QUE CONFORMAN EL SISTEMA, SE EVIDENCIA QUE EL PROCESO DE DESINFECCIÓN FUNCIONA SIN NOVEDAD, SE OBSERVA ADECUACIÓN DEL TECHO DE LA CASETA DE DESINFECCIÓN, EL SISTEMA NO CUENTA CON MEDICIÓN DEL TANQUE, NO SE REALIZA ANALISIS FISICOQUIMICO POR CUENTA PROPIA, ES NECESARIO CON BASE A ESTAS CARENCIAS REALIZAR PLAN DE ACCIÓN Y MEJORAMIENTO, CON EL FIN DE MEJORAR LA CALIFICACIÓN DE LAS INDICADORES EVALUADOS EN LA PRESENTE ACTA 30 DÍAS PARA ELABORAR EL PLAN. NOTA: DECRETO 0294/2016 NO SE EVIDENCIAN CRIADEROS DE MOSQUITOS EN INSTALACIONES",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Tanque / almacenamiento, Protección sanitaria / fuente",2026-04-22,62.01,20260422-7891-VIG,Aceptada,Cerrado,0003,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
91940,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #2),SISTEMA # 2 CONGAL-MARAVELEZ BAJO,1,2026-05-13,FAVORABLE CON REQUERIMIENTOS,SAIR HAIRTON IBARGUEN RENTERIA,12.71,"DURANTE LA VISITA POR EL SISTEMA SE EVIDENCIA EL ESTADO ACTUAL DE LAS UNIDADES QUE CONFORMAN EL SISTEMA, EVIDENCIANDO QUE EL PROCESO DE DESINFECCIÓN SE ENCUENTRA OPERANDO DE FORMA NORMAL, EN CUENTO A LA PRESENTE ACTA NO CUMPLE CON ITM´S COMO REALIZAR ENSAYO FISICOQUIMICO Y MB POR CUENTA PROPIA, FALTA EQUIPO DE MEDICIÓN DE TURBIEDAD Y PROCESO DE EVALUACIÓN Y CONTROL POR LO TANTO SE SOLICITA ELABORAR E IMPLEMENRAR PLAN DE ACCIÓN Y/ MEJORAMIENTO BASADO EN LOS ITEM´S NO CUMPLIDOS, TIEMPO ESTIMADO PARA ELABORACIÓN DE PLAN 30 DÍAS. NOTA: DECRETO 0294/2016 NO SE EVIDENCIAN CRIADEROS DE MOSQUITOS EN INTALACONES.",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Protección sanitaria / fuente, Gestión administrativa",2026-06-23,69.17,20260623-9021-VIG,Aceptada,Cerrado,0004,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
115517,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #3),SISTEMA # 3 BELGICA,1,2026-05-28,DESFAVORABLE,SAIR HAIRTON IBARGUEN RENTERIA,86.52,"DURANTE LA VISITA AL SISTEMA #3 SE EVIDENCIA QUE NO SE ESTA REALIZANDO DESINFECCION EN EL SISTEMA, SE INSTA A LA COOPERATIVA A REHABILITAR EL SISTEMA CON LA FINALIDAD DE GARANTIZAR AGUA DE CALIDAD, LA COOPERATIVA VIENE ADELANTANDO ACCIONES CON EL MINISTRO DE VIVIENDA CIUDAD Y TERRITORIO CON EL FIN DE GENERAR LOS RECURSOS PARA REALIZAR ADECUACIONES AL SISTEMA, ES NECESARIO PRESENTAR EVIDENCIA DE ESTOS TRAMITES ASIMISMO SE DEBERA ELABORAR PLAN DE ACCION Y/O CUMPLIMIENTO DE ACUERDO A LAS FALENCIAS DEL SISTEMA, ESTABLECIDOS EN LA PRESENTE ACTA, PLAZO DE 30 DIAS ELABORACIONES. NOTA: DECRETO 0294/2016 NO SE EVIDENCION CRIADEROS DE MOSQUITOS.",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Protección sanitaria / fuente, Gestión administrativa",2026-05-12,86.52,20260512-8279-VIG,Aceptada,Cerrado,0009,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
109043,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #4) FIME LA CAÑA,SISTEMA # 4 PZAPFIME LA CAÑA,1,2026-05-25,FAVORABLE,SAIR HAIRTON IBARGUEN RENTERIA,0.00,"DURANTE EL RECORRIDO POR LAS UNIDADES QUE CONFORMA EL SISTEMA DE ABASTO SE IDENTIFICA QUE LA FIME ESTA OPERANDO SIN NOVEDAD, SE REALIZAN MANTENIMIENTOS DIARIOS CON EL FIN DE GARANNTIZAR EL OPTIMO FUNCIONAMIENTO EL PROCESO DE DESINFECCIÓN ES ALIMENTADO CADA DOS DÍAS PUES ES LO QUE DURA LA SOLUCIÓN DE CLORO AL MOMENTO DE LA VISITA ESTE OPERANDO, LA COOPERATIVA NO CUENTA CON MEDIDOR DE TURBIEDAD, NI REALIZA ENSAYOS FISICO QUIMICOS Y MICROBIOLOGICOS POR CUENTA PROPIA, RAZÓN POR LA CUAL ES NECESARIO PRESENTAR PLAN DE ACCION EN RELACIÓN A ESTAS FALENCIAS PLAZO 30 DÍAS. NOTA: DECRETO 0294/2016 NO SE EVIDENCIAN CRIADEROS DE MOSQUITOS",Desinfección,Desinfección / cloración,"cloro, desinfeccion, desinfección. También menciona: Protección sanitaria / fuente, Operación y mantenimiento",2026-04-22,0.00,20260422-7889-VIG,Aceptada,Cerrado,0014,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
87903,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #7),COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #7),1,2026-05-26,FAVORABLE CON REQUERIMIENTOS,SAIR HAIRTON IBARGUEN RENTERIA,13.97,"DURANTE LA VISITA AL SISTEMA DE ABASTO #7 DE LA COOPERATIVA SE EVIDENCIA QUE NO CUENTA CON PTAP, EL SISTEMA DE DESINFECCIÓN OPERA SIN NOVEDAD, NO TIENE EQUIPO DE MEDICIÓN DE TURBIEDAD NI REALIZA ENSAYO FISICOQUIMICO Y MICROBIOLOGICO POR CUENTA PROPIA, UNA DE LAS TAPAS DEL TQNQUE DE ALMACENAMIENTO PRESENTA GRIETAS LO CUAL PUEDE LLEGAR A CONVERTIRDE EN UN FACTOR DE RIESGO DE CONTAMINACIÓN DEL AGUA ALMACENADA, DE ACUERDO A LAS FALENCIAS EVIDENCIADOS EN LA PRESENTE ACTA SE NECESITA ELABORAR UN PLAN DE ACCIÓN Y/O MEJORA PLAZO 30 DÍAS NOTA: DECRETO 0294/2016 NO SE EVIDENCIAN CRIADEROS DE MOSQUITOS",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Tratamiento / filtración, Tanque / almacenamiento",2026-05-12,29.78,20260512-8283-VIG,Aceptada,Cerrado,0028,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
110500,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #8),COOPERATIVA MARAVELEZ ALCALA SISTEM # 8,1,2026-05-27,FAVORABLE CON REQUERIMIENTOS,SAIR HAIRTON IBARGUEN RENTERIA,30.23,"SE REALIZA VISITA AL SISTEMA DE ABASTO #8 DE LA COOPERATIVA, EVIDENCIADO QUE SE ESTA REALIZANDO EL PROCESO DE DESINFECCION SIN NOVEDAD, LA SOLUCION DE CLORO DURA 2 DIAS APROX Y VUELVE A REHABILITARSE, EL TANQUE DE ALMACENAMIENTO PRESENTA DETERIORO EXTREMO EVIDENCIADO CRECIMIENTO DE MUSGO, ASIMISMO EN EL ENCERCAMIENTO PERIMETRAL, NO SE TIENE EQUIPO DE TURBIEDAD, SE HACE NECESARIO ELABORAR PLAN DE ACCION Y/O MEJORA RELACIONADO CON LAS FALENCIAS REPORTADAS EN LA PRESENTA ACTA 30 DIAS PARA ELABORAR Y PRESENTAR. NOTA DECRECTO 0294/2016. NO SE EVIDENCIA CRIADEROS DE MOSQUITOS.",Desinfección,Desinfección / cloración,"cloro, desinfeccion, desinfección. También menciona: Tanque / almacenamiento, Protección sanitaria / fuente",2026-05-12,65.24,20260512-8286-VIG,Aceptada,Cerrado,0031,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
110576,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP - SISTEMA # 5,SISTEMA # 5,1,2026-05-14,FAVORABLE CON REQUERIMIENTOS,SAIR HAIRTON IBARGUEN RENTERIA,31.74,"DURANTE EL RECORRIDO POR LAS UNIDADES QUE CONFORMAN EL SISTEMA #5 SE EVIDENCIA QUE EN LAS BOCATOMAS EXISTEN GRAN CANTIDAD DE MATERIAL DE ARRASTRE, EL SISTEMA CUENTA CON PROCESO DE DESINFECCION FUNCIONAL Y OPERANDO, EN GENERAL LAS UNIDADES SE ENCUENTRAN FUNCIONALES PERO ES NECESARIO REALIZAR MANTENIMIENTOS PREVENTIVOS, EN RELACION A LA PRESENTE ACTA EL SISTEMA FALTA EQUIPO DE MEDICION TUBIEDAD, PROCESO DE EVALUACION Y ENSAYOS FISICOS QUIMICOS Y M.B POR CUENTA PROPIA, POR LO TANTO ES NECESARIO REALIZAR PLAN DE ACCION Y/0 MEJORAMIENTO CON BASE A LOS ITEMS VALORADOS NEGATIVAMENTE, 30 DIAS PARA ELABORAR PLAN. NOTA DECRETO DEPARTAMENTAL 0294-2016 NO SE EVIDENCIAS CIADEROS DE MOSQUITOS",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Captación / bocatoma, Operación y mantenimiento",2026-05-12,24.56,20260512-8280-VIG,Aceptada,Cerrado,0018,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
111747,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP- SISTEMA # 6 DINDE PARTE ALTA,SISTEMA # 6 DINDE PARTE ALTA,1,2026-05-15,FAVORABLE,SAIR HAIRTON IBARGUEN RENTERIA,0.00,"SE REALIZA EL CORRIDO POR EL SISTEMA #6 EVIDENCIANDOSE AL MOMENTO DE LA VISITA SE ESTA REALIZANDO DESINFECCIÓN AL AGUA QUE SE SUMINISTRA, EL TANQUE DE ALMACENAMIENTO SE EVIDENCIA EN BUEN ESTADO, EN RELACIÓN A LA PRESENTE ACTA SE EVIDENCIA QUE NO SE REALIAN ENSAYOS FISICOQUIMICOS Y MB, FALTA MEDIDOR DE TURBIEDAD Y PROTOCOLO DE EVACUACIÓN, ES NECESARO ELABORAR PLAN DE ACCIÓN DE ACUENRDO A ESTAS FALENCIAS, PLAZO 30 DÍAS, CON EL FIN DE MEJORAR LA CALIFICACIÓN DE LOS INDICADORES DE IRCA, IRABA Y BPS. NOTA: DECRETO DEPARAMENTAL 0294/2016, NO SE EVIDENCIAN CRIADEROS DE MOSQUITOS.",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Tanque / almacenamiento, Protección sanitaria / fuente",2026-05-12,65.24,20260512-8281-VIG,Aceptada,Cerrado,0022,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
61992,ANDALUCÍA,ACUEDUCTO POTRERILLO,ACUEDUCTO POTRERILLO,2,2026-05-13,DESFAVORABLE,WILLIAM ALBERTO CARLOSAMA JIMENEZ,67.22,"ACUEDUCTO CON JUNTA DE ORGANIZACION EN PROCESO SE APORBACION POR CAMARA DE COMERCIO, EN CUANTO AL TRATAMIENTO DEL AGUA SE TOMA BOCATOMA ARTESANAL, AL IGUAL QUE EL DESARENADOR Y TANQUE CON CARETA DE CLORACION, NO SE REALIZA NINGUN TRTAMIENTO, SE RECOMIENDA INICIAR PROCESO DE CLORACION DE FORMA INMEDIATA TENIENDO EN CUENTA LA CALIDAD DEL AGUA CERTIFICAR OPERARIO EN COMPETENCIAS LABORALES |",Desinfección,Desinfección / cloración,"cloracion, cloración. También menciona: Tratamiento / filtración, Captación / bocatoma",2026-02-18,67.23,20260218-6790-VIG,Aceptada,Cerrado,76036-1,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
