ACTIVIDAD,Actividad_Resumen,CODIGO_LLAVE,CODIGO_SISA_ORIGINAL,CODIGO_PROGRAMADO_CRUCE,TIPO_CRUCE_MPR,PUNTAJE_CRUCE_MPR,MUNICIPIO,LOCALIDADES_ABASTECIDAS,NOMBRE_SISTEMA,PERSONA_PRESTADORA,NOMBRE_ARO,FUNCIONARIO,FECHA_ACTIVIDAD,ACTA,CONSECUTIVO VISITA,ESTADO,PROGRAMADO,CODIGO_PROGRAMADO_ORIGINAL,FUNCIONARIO_PROGRAMADO,ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,LOCALIDAD_PROGRAMADA,COINCIDE_FUNCIONARIO_PROGRAMADO
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,113622,113622,113622,CODIGO,1.0,CAICEDONIA, SAN GERARDO,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN GERARDO DE CAICEDONIA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN GERARDO DE CAICEDONIA,Aro Centro Tuluà,WILLIAM ALBERTO CARLOSAMA JIMENEZ,2026-04-22,WAC22042026,136,ABIERTO,SI,113622,WILLIAM ALBERTO CARLOSAMA JIMENEZ,TULUA,CAICEDONIA,SAN GERARDO,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,60116,60116,60116,CODIGO,1.0,BOLÍVAR,LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-04,DM-0404226-2,102,ABIERTO,SI,60116,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,LA TULIA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,58644,58644,58644,CODIGO,1.0,SAN PEDRO, MONTERREDONDO,ASOCIACION DE USUARIOS DEL ACUEDUCTO MONTERREDONDO ESP,ASOCIACION DE USUARIOS DEL ACUEDUCTO MONTERREDONDO ESP,Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-04-22,VP22042026-01,130,ABIERTO,SI,58644,VALERIA PATIÑO HERNANDEZ,TULUA,SAN PEDRO,MONTERREDONDO,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,15506,15506,15506,CODIGO,1.0,VERSALLES,VEREDA LA BALSORA,JUNTA ADMINISTRADORA DEL ACUEDUCTO LA BALSORA,JUNTA ADMINISTRADORA ACUEDUCTO RURAL VEREDA LA BALSORA           ,Aro Norte Cartago,ANA MILENA MENDEZ ARANA,2026-04-08,AMM080426,91,ABIERTO,SI,15506,ANA MILENA MENDEZ ARANA,CARTAGO,VERSALLES,LA BALSORA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,111988,111988,111988,CODIGO,1.0,BOLÍVAR,EL BOSQUE,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL BOSQUE # 1,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL BOSQUE # 1,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-24,DM-24042026,118,ABIERTO,SI,111988,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,EL BOSQUE,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,64871,64871,64871,CODIGO,1.0,ANDALUCÍA, PARDO ALTO,ACUEDUCTO RURAL PARDO ALTO,ACUEDUCTO RURAL PARDO ALTO,Aro Centro Tuluà,WILLIAM ALBERTO CARLOSAMA JIMENEZ,2026-04-06,W060426,111,ABIERTO,SI,64871,WILLIAM ALBERTO CARLOSAMA JIMENEZ,TULUA,ANDALUCIA,PARDO ALTO,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,151783,151783,151783,CODIGO,1.0,YOTOCO,BUENOS AIRES ,ACUEDUCTO RURAL EL SOBACO ,ACUEDUCTO RURAL EL SOBACO ,Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-04-07,VPH07042026,153,ABIERTO,SI,151783,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,EL SOBACO,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,151783,151783,151783,CODIGO,1.0,YOTOCO,BUENOS AIRES ,ACUEDUCTO RURAL EL SOBACO ,ACUEDUCTO RURAL EL SOBACO ,Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-04-07,VPH07042026,110,ABIERTO,SI,151783,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,EL SOBACO,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,32188,32188,32188,CODIGO,1.0,LA CUMBRE,CORREGIMIENTO BITACO,SUANABIT,ASOCIACION DE USUARIOS ANTIGUO ACUEDUCTO BITACO - SUANABIT,Aro Sur Cali,MAURICIO ALZATE DIAZ,2026-05-22,MPRCUMBRE02,141,ABIERTO,SI,32188,MAURICIO ALZATE DIAZ,CALI,LA CUMBRE,BITACO - ZONA DE ALTO RIESGO,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,28230,105134,28230,TEXTO,0.75,DAGUA,KM 28 AMBICHINTE,ECASP. ESP. - KM 28 AMBICHINTE,ASOCIACION EMPRESA COMUNITARIA ACUEDUCTO BORRERO AYERBE - ECASP. ESP. - KM 28 AMBICHINTE,Aro Sur Cali,DIEGO FERNANDO HOYOS TABORDA,2026-04-27,MPRBAKM26,116,ABIERTO,SI,28230,DIEGO FERNANDO HOYOS TABORDA,CALI,DAGUA,BORRERO AYERBE (KM 26),SI
