ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,PROGRAMADOS,CON_CODIGO_VALIDO,CON_FUNCIONARIO,EJECUTADOS_13,EJECUTADOS_14,EJECUTADOS_15,COMPLETOS_13_14,SIN_EJECUCION,PENDIENTE_14,PENDIENTE_15,ALERTAS,COINCIDE_13,COINCIDE_14,AVANCE_13_PCT,AVANCE_14_PCT,AVANCE_CICLO_13_14_PCT
,,3,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0
CALI,DAGUA,4,4,4,1,4,0,1,0,0,1,3,1,0,25.0,100.0,25.0
CALI,EL CERRITO,5,4,5,5,0,0,0,0,5,0,0,4,0,100.0,0.0,0.0
CALI,FLORIDA,2,2,2,0,1,0,0,1,0,0,1,0,0,0.0,50.0,0.0
CALI,GINEBRA,4,3,4,1,0,0,0,3,1,0,0,1,0,25.0,0.0,0.0
CALI,GUACARI,2,2,2,1,2,0,1,0,0,1,1,1,0,50.0,100.0,50.0
CALI,LA CUMBRE,3,3,3,1,0,0,0,2,1,0,0,1,0,33.3,0.0,0.0
CALI,PRADERA,3,3,3,0,2,0,0,1,0,0,2,0,0,0.0,66.7,0.0
CALI,VIJES,2,2,2,0,2,0,0,0,0,0,2,0,0,0.0,100.0,0.0
CARTAGO,ALCALA,2,2,2,2,0,0,0,0,2,0,0,2,0,100.0,0.0,0.0
CARTAGO,ANSERMANUEVO,2,2,2,2,2,0,2,0,0,2,0,2,2,100.0,100.0,100.0
CARTAGO,ARGELIA,2,2,2,2,1,0,1,0,1,1,0,2,1,100.0,50.0,50.0
CARTAGO,EL AGUILA,1,1,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,0.0
CARTAGO,EL CAIRO,1,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
CARTAGO,EL DOVIO,2,2,2,2,0,0,0,0,2,0,0,2,0,100.0,0.0,0.0
CARTAGO,LA UNION,1,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
CARTAGO,LA VICTORIA,2,2,2,1,0,0,0,1,1,0,0,1,0,50.0,0.0,0.0
CARTAGO,OBANDO,2,2,2,1,1,0,1,1,0,1,0,1,0,50.0,50.0,50.0
CARTAGO,ROLDANILLO,1,1,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,0.0
CARTAGO,TORO,1,1,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,0.0
CARTAGO,ULLOA,2,2,2,2,0,0,0,0,2,0,0,2,0,100.0,0.0,0.0
CARTAGO,VERSALLES,1,1,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,0.0
TULUA,ANDALUCIA,1,1,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,0.0
TULUA,BOLIVAR,3,3,3,3,3,0,3,0,0,3,0,3,0,100.0,100.0,100.0
TULUA,BUGALAGRANDE,2,2,2,2,0,0,0,0,2,0,0,2,0,100.0,0.0,0.0
TULUA,CAICEDONIA,3,3,3,2,0,0,0,1,2,0,0,2,0,66.7,0.0,0.0
TULUA,CALIMA,3,2,3,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0
TULUA,RESTREPO,2,2,2,2,0,0,0,0,2,0,0,2,0,100.0,0.0,0.0
TULUA,RIOFRIO,2,2,2,2,0,0,0,0,2,0,0,2,0,100.0,0.0,0.0
TULUA,SAN PEDRO,1,1,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,0.0
TULUA,SEVILLA,2,2,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0
TULUA,TRUJILLO,3,3,3,2,0,0,0,1,2,0,0,2,0,66.7,0.0,0.0
TULUA,YOTOCO,4,4,4,4,4,0,4,0,0,4,0,4,0,100.0,100.0,100.0
TULUA,ZARZAL,1,1,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,0.0
