ID,ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,LOCALIDAD_PROGRAMADA,CODIGO_LLAVE,CODIGO_VALIDO,ejecuto_13,fecha_13,funcionario_13,acta_13,registros_13,ejecuto_14,fecha_14,funcionario_14,acta_14,registros_14,ejecuto_15,fecha_15,funcionario_15,acta_15,registros_15,DIAS_13_A_14,ESTADO_MPR,PROGRAMADO
1,CARTAGO,ALCALA,(S1) CONGAL - MARAVELEZ PARTE ALTA,115502,SI,SI,2026-04-07,SAIR HAIRTON IBARGUEN RENTERIA,SHIR07042026,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
2,CARTAGO,ALCALA,(S5) HIGUERON-LA UNION-SAN FELIPE-LA ESTRELLA,80803,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
3,TULUA,ANDALUCIA,PARDO ALTO,113527,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
4,CARTAGO,ANSERMANUEVO,LA CABAÑA.,80702,SI,SI,2026-04-04,SAIR HAIRTON IBARGUEN RENTERIA,SHIR04042026,1,SI,2026-04-06,SAIR HAIRTON IBARGUEN RENTERIA,0027,1,NO,,,,0,2.0,PENDIENTE 1.5 RESOLUCIÓN,SI
5,CARTAGO,ANSERMANUEVO,LA ESPERANZA,97410,SI,SI,2026-03-11,EDWARD RAUL JAIMES VERA,ERJ11032026-1,1,SI,2026-04-06,EDWARD RAUL JAIMES VERA,0012,2,NO,,,,0,26.0,PENDIENTE 1.5 RESOLUCIÓN,SI
6,CARTAGO,ARGELIA,ACUEDUCTO RURAL VEREDA LA MARINA,25332,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
7,CARTAGO,ARGELIA,"LAS BRISAS, EL RAIZAL, LA AURORA, CAJONES, LA PAZ",91938,SI,SI,2026-04-22,EDWARD RAUL JAIMES VERA,ERJV220426-01,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
8,TULUA,BOLIVAR,LA HERRADURA,59619,SI,SI,2026-04-02,DIANA GIMENA MARTINEZ GONZALEZ,DM020426,1,SI,2026-04-21,NATALIA RAIGOSA MEDINA,0542,1,NO,,,,0,19.0,PENDIENTE 1.5 RESOLUCIÓN,SI
9,TULUA,BOLIVAR,EL BOSQUE,111988,SI,SI,2026-04-24,DIANA GIMENA MARTINEZ GONZALEZ,DM-24042026,1,SI,2026-04-21,CARLOS IVAN ERAZO GUERRERO,0541,1,NO,,,,0,-3.0,PENDIENTE 1.5 RESOLUCIÓN,SI
10,TULUA,BOLIVAR,LA TULIA,60116,SI,SI,2026-04-04,DIANA GIMENA MARTINEZ GONZALEZ,DM-0404226-2,1,SI,2026-04-21,CARLOS IVAN ERAZO GUERRERO,0539,2,NO,,,,0,17.0,PENDIENTE 1.5 RESOLUCIÓN,SI
11,TULUA,BUGALAGRANDE,CEILÁN,60151,SI,SI,2026-04-06,WILLIAM ALBERTO CARLOSAMA JIMENEZ,W06042026,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
12,TULUA,BUGALAGRANDE,EL PORVENIR,124804,SI,SI,2026-04-21,WILLIAM ALBERTO CARLOSAMA JIMENEZ,WAC210426,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
13,TULUA,CAICEDONIA,EL SALADO,127559,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
14,TULUA,CAICEDONIA,LAS DELICIAS,58636,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
15,TULUA,CAICEDONIA,SAN GERARDO,113622,SI,SI,2026-04-22,WILLIAM ALBERTO CARLOSAMA JIMENEZ,WAC22042026,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
16,TULUA,CALIMA,LA PRIMAVERA,59613,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
17,TULUA,CALIMA,LA GAVIOTA BAJO,122665,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
18,CALI,DAGUA,BORRERO AYERBE (KM 26),28230,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
