ID,ARO,MUNICIPIO,LOCALIDAD,CODIGO ANTERIOR
1,CARTAGO,ALCALA,(S1) CONGAL - MARAVELEZ PARTE ALTA,115502
2,CARTAGO,ALCALA,(S5) HIGUERON-LA UNION-SAN FELIPE-LA ESTRELLA,80803
3,TULUA,ANDALUCÍA,PARDO ALTO,113527
4,CARTAGO,ANSERMANUEVO,LA CABAÑA.,80702
5,CARTAGO,ANSERMANUEVO,LA ESPERANZA,97410
6,CARTAGO,ARGELIA,ACUEDUCTO RURAL VEREDA LA MARINA ,25332
7,CARTAGO,ARGELIA,"LAS BRISAS, EL RAIZAL, LA AURORA, CAJONES, LA PAZ",91938
8,TULUA,BOLIVAR,LA HERRADURA,59619
9,TULUA,BOLIVAR,EL BOSQUE,111988
10,TULUA,BOLIVAR,LA TULIA,60116
11,TULUA,BUGALAGRANDE,CEILÁN,60151
12,TULUA,BUGALAGRANDE,EL PORVENIR,124804
13,TULUA,CAICEDONIA,EL SALADO,127559
14,TULUA,CAICEDONIA,LAS DELICIAS,58636
15,TULUA,CAICEDONIA,SAN GERARDO,113622
16,TULUA,CALIMA,LA PRIMAVERA,59613
17,TULUA,CALIMA,LA GAVIOTA BAJO,122665
18,CALI,DAGUA,BORRERO AYERBE (KM 26),28230
19,CALI,DAGUA,CHIPRE,46017
20,CALI,DAGUA,LAS DELICIAS,34631
21,CARTAGO,EL AGUILA,EL NARANJO,144306
22,CARTAGO,EL CAIRO,SALMELIA,114537
23,CALI,DAGUA,"LA MARÍA  430 (LA CUMBRE), EL PIÑAL 665 (DAGUA).",37556
24,CALI,EL CERRITO,REGADEROS ALBECIA - CORREGIMIENTO AUJI,152043
25,CARTAGO,EL DOVIO,MONTE AZUL,68462
26,CARTAGO,EL DOVIO,EL DIAMANTE Sector El Filo,68866
27,CALI,EL CERRITO,EL CARRIZAL,34209
28,CALI,EL CERRITO,CAMPOALEGRE,41579
29,CALI,EL CERRITO,PARCELACION MIRADOR DE VENECIA,
30,CALI,FLORIDA,EL PEDREGAL 1,36852
31,CALI,GINEBRA,LOS MEDIOS ,67724
32,CALI,GINEBRA,LA FLORESTA,6844
33,CALI,GINEBRA,PARCELACION PARAISO ESCONDIDO,
34,CALI,GUACARÍ,PUENTE ROJO,59620
35,CALI,GUACARÍ,LA MAGDALENA,59615
36,CALI,LA CUMBRE,BITACO - ZONA DE ALTO RIESGO,32188
37,CALI,LA CUMBRE,SAN JOSÉ Y AGUA CLARA,43206
38,CARTAGO,LA UNION,EL AJIZAL -TAMBORAL – LA CHICA – LA AGUADA,87883
39,CARTAGO,LA VICTORIA,LA SIBERIA,97356
40,CARTAGO,LA VICTORIA,MIRAVALLES,88298
41,CARTAGO,OBANDO,VILLA RODAS,14638
42,CARTAGO,OBANDO,VILLARODAS 1,88218
43,CALI,PRADERA,POTRERITO,34629
44,CALI,PRADERA,EL RECREO ,33117
45,TULUA,RESTREPO,ACUAPALTRES,112090
46,TULUA,RESTREPO,ALTO DEL OSO LA ESPERANZA,116231
47,TULUA,RIOFRIO,CALABAZAS,61928
48,TULUA,RIOFRIO,LOS ALPES,66187
49,CARTAGO,ROLDANILLO,LA SOLEDAD,60383
50,TULUA,SAN PEDRO,MONTERREDONDO,58644
51,TULUA,SEVILLA,EL VENADO,58792
52,TULUA,SEVILLA,ALTO RECREO,115587
53,CARTAGO,TORO,LA QUIEBRA,88219
54,TULUA,TRUJILLO,LA DIAMANTINA,65487
55,TULUA,TRUJILLO,CEDRALES,62248
56,TULUA,TRUJILLO,ANDINÁPOLIS,61999
57,CARTAGO,ULLOA,"URBANO, BERLIN",86250
58,CARTAGO,ULLOA,SISTEMA # 2 - BERLIN ,15191
59,CARTAGO,VERSALLES,LA BALSORA ,15506
60,CALI,VIJES,MONTERREY ALTOS DE LA FRESNEDA JACA 13,135187
61,CALI,VIJES,VIDAL,33506
62,TULUA,YOTOCO,LA BOHEMIA - CORREGIMIENTO PUENTE TIERRA,108425
63,TULUA,YOTOCO,EL BOSQUE,115075
64,TULUA,YOTOCO,BUENOS AIRES,136356
65,TULUA,ZARZAL,GUASIMAL ALIZAL,122659
66,CALI,LA CUMBRE,ACUAVALLE LA CUMBRE (Prioritaria),31843
67,CALI,FLORIDA,ACUAVALLE FLORIDA (Prioritaria),36332
68,CALI,PRADERA,ACUAVALLE PRADERA,30210
69,CALI,EL CERRITO,ACUAVALLE EL CERRITO,36321
70,CALI,GINEBRA,ACUAVALLE GINEBRA,70675
71,TULUA,YOTOCO,EL SOBACO,13517
72,TULUA,CALIMA,PARCELACION AGUA DULCE,
73,CARTAGO,ARGELIA,,
74,,,,
75,,,,
