CODIGO_SISTEMA,MUNICIPIO,PERSONA_PRESTADORA,SISTEMA_DISTRIBUCION,CLASIFICACION_URBANO_RURAL,ARO,TIPO_SISTEMA,TIPO_DISPOSITIVO_AJUSTADO,LATITUD,LONGITUD,MUESTRAS,ANIOS,IRCA_PROMEDIO,IRCA_MAXIMO,NIVEL_RIESGO,VALIDACION_SISTEMA,PARAMETROS_NO_ACEPTABLES,TOTAL_NO_ACEPTABLES
80697,ALCALA,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-ALCALÁ,ACUAVALLE S.A. E.S.P- ALCALÁ,Urbano,Norte Cartago,CABECERA MUNICIPAL,Grifo,4.672503,-75.77195,147,"2020, 2021, 2022, 2023, 2024, 2025, 2026",1.4117687074829932,23.26,MEDIO,EXISTENTE,3,39
110201,ALCALA,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA EL EDEN,ACUEDUCTO EL EDEN,Rural,Norte Cartago,DISPERSA,Grifo,4.695786,-75.83319,16,"2020, 2021, 2022, 2023, 2024, 2025, 2026",57.069375,94.57,INVIABLE SANITARIAMENTE,EXISTENTE,6,69
115502,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP,COOPERATIVA MARAVELEZ ALCALA- SISTEMA #1,Rural,Norte Cartago,DISPERSA,Grifo,4.672931,-75.70801,23,"2020, 2021, 2022, 2023, 2024, 2025, 2026",33.146521739130435,80.81,INVIABLE SANITARIAMENTE,EXISTENTE,6,57
91940,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP,COOPERATIVA MARAVELEZ ALCALA- SISTEMA #2,Rural,Norte Cartago,CENTRO POBLADO,Grifo,4.666264,-75.72291,19,"2020, 2021, 2022, 2023, 2024, 2025, 2026",19.69736842105263,94.57,INVIABLE SANITARIAMENTE,EXISTENTE,6,25
115517,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP,COOPERATIVA MARAVELEZ ALCALA- SISTEMA #3,Rural,Norte Cartago,CENTRO POBLADO,Grifo,4.693836,-75.78505,15,"2020, 2021, 2022, 2023, 2024",24.062,88.0,INVIABLE SANITARIAMENTE,EXISTENTE,4,29
109043,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP,COOPERATIVA MARAVELEZ ALCALA- SISTEMA #4,Rural,Norte Cartago,DISPERSA,Grifo,4.659181,-75.73226,20,"2020, 2021, 2022, 2023, 2024, 2025, 2026",6.683,32.56,MEDIO,EXISTENTE,3,13
80803,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP,COOPERATIVA MARAVELEZ ALCALA- SISTEMA #5,Rural,Norte Cartago,DISPERSA,Grifo,4.687869,-75.81867,20,"2020, 2021, 2022, 2023, 2024, 2025, 2026",30.519,93.43,INVIABLE SANITARIAMENTE,EXISTENTE,7,55
111747,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP,COOPERATIVA MARAVELEZ ALCALA- SISTEMA #6,Rural,Norte Cartago,DISPERSA,Grifo,4.713136,-75.85354,18,"2020, 2021, 2022, 2023, 2024, 2025, 2026",24.287777777777777,86.52,INVIABLE SANITARIAMENTE,EXISTENTE,5,40
87903,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP,COOPERATIVA MARAVELEZ ALCALA- SISTEMA #7,Rural,Norte Cartago,DISPERSA,Grifo,4.656344,-75.71681,18,"2020, 2021, 2022, 2023, 2024, 2025, 2026",21.466666666666665,80.81,INVIABLE SANITARIAMENTE,EXISTENTE,6,36
110500,ALCALA,COOPERATIVA MARAVELEZ ALCALA ESP,COOPERATIVA MARAVELEZ ALCALA- SISTEMA #8,Rural,Norte Cartago,DISPERSA,Grifo,4.657989,-75.72749,17,"2020, 2021, 2022, 2023, 2024, 2025, 2026",34.42823529411765,89.93,INVIABLE SANITARIAMENTE,EXISTENTE,6,44
