PARAMETRO,PARAMETRO_BASE_VISUAL,GRUPO_PARAMETRO,GRUPO_VISUAL,TOTAL_ANALISIS,CON_RESULTADO,ACEPTABLES,NO_ACEPTABLES,SIN_DIAGNOSTICO,MUNICIPIOS,SISTEMAS,MUESTRAS,RESULTADO_PROMEDIO,RESULTADO_MAXIMO,VALOR_MAXIMO_PERMISIBLE,UNIDAD,NORMA_REFERENCIA,PORC_NO_ACEPTABLE
CLORO RESIDUAL LIBRE,Cloro Residual Libre In-situ,BASICO_OPERATIVO,BASICO_OPERATIVO,14531,14531,9894,4637,0,33,662,14531,0.8833101644759399,8.0,0.3 - 2.0,mg/L,Resolución 2115 de 2007,31.91
CLORO RESIDUAL LIBRE,Cloro Residual Libre,BASICO_OPERATIVO,BASICO_OPERATIVO,13908,13908,9385,4523,0,33,659,13908,0.8798763301696813,18.0,0.3 - 2.0,mg/L,Resolución 2115 de 2007,32.52
E. COLI,E. coli,MICROBIOLOGICO,MICROBIOLOGICO,14831,14831,10577,4254,0,33,671,14831,111.06165376576081,2419.2,0,UFC/100 cm3,Resolución 2115 de 2007,28.68
TURBIEDAD,Turbiedad,BASICO_OPERATIVO,BASICO_OPERATIVO,12511,12511,8982,3529,0,33,662,12511,4.036357045799699,168.0,2,UNT,Resolución 2115 de 2007,28.21
TURBIEDAD,Turbiedad In-situ,BASICO_OPERATIVO,BASICO_OPERATIVO,10594,10594,7403,3191,0,33,646,10594,4.455856900132163,168.0,2,UNT,Resolución 2115 de 2007,30.12
COLOR APARENTE,Color Aparente,BASICO_OPERATIVO,BASICO_OPERATIVO,12255,12255,9880,2375,0,33,662,12255,13.03351937984496,500.0,15,UPC,Resolución 2115 de 2007,19.38
COLIFORMES TOTALES,Coliformes Totales,MICROBIOLOGICO,MICROBIOLOGICO,9897,9897,8762,1135,0,33,611,9897,218.1339496817196,2419.3,0,UFC/100 cm3,Resolución 2115 de 2007,11.47
PH,pH In-situ,BASICO_OPERATIVO,BASICO_OPERATIVO,14839,14839,14330,509,0,33,671,14839,7.53433317609008,9.75,6.5 - 9.0,unidades de pH,Resolución 2115 de 2007,3.43
PH,pH,BASICO_OPERATIVO,BASICO_OPERATIVO,14214,14214,13708,506,0,33,668,14214,7.5401611087660285,9.75,6.5 - 9.0,unidades de pH,Resolución 2115 de 2007,3.56
ALCALINIDAD,Alcalinidad Total,FISICOQUIMICO,FISICOQUIMICO,9754,9754,9613,141,0,33,660,9754,59.580483801517325,250.0,200,mg/L como CaCO3,Resolución 2115 de 2007,1.45
ALUMINIO,Aluminio,METALES_Y_ELEMENTOS,METALES_Y_ELEMENTOS,216,216,111,105,0,32,123,216,0.2432093518518519,1.0,0.2,mg/L como Al3+,Resolución 2115 de 2007,48.61
COLOR APARENTE,Color Aparente In-situ,BASICO_OPERATIVO,BASICO_OPERATIVO,573,573,485,88,0,32,225,573,12.043804537521813,300.0,15,UPC,Resolución 2115 de 2007,15.36
FOSFATOS,Fosfatos,FISICOQUIMICO,FISICOQUIMICO,9009,9009,8928,81,0,33,662,9009,0.1261492951492846,1.281,0.5,mg/L como PO4^3-,Resolución 2115 de 2007,0.9
NITRITOS,Nitritos,FISICOQUIMICO,FISICOQUIMICO,13135,13135,13062,73,0,33,667,13135,0.022190201751046374,29.3,0.1,mg/L como NO2-,Resolución 2115 de 2007,0.56
DUREZA,Dureza Total,FISICOQUIMICO,FISICOQUIMICO,10890,10890,10842,48,0,33,660,10890,80.62135720844812,455.0,300,mg/L como CaCO3,Resolución 2115 de 2007,0.44
