ARO,Anio,Tipo_servicio_codigo,Tipo_servicio_nombre,Codigo,Fecha_envio,Fecha_recepcion,Hora_recepcion,Fecha_resultados,Tipo,Entidad_que_remite,Muestras_recibidas,Muestras_rechazadas,Estado,Pagina_manual,Fila_archivo,Muestras_recibidas_num,Muestras_rechazadas_num,Clave_ARO_Codigo,Es_codigo_valido,Fecha_envio_dt,Fecha_recepcion_dt,Fecha_resultados_dt,Repeticiones
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251201-5697-VIG,01/12/2025,01/12/2025,2:40 PM,13/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,3.0,337,3,0,Cartago|20251201-5697-VIG,True,2025-12-01,2025-12-01,2025-12-13,2
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251201-5697-VIG,01/12/2025,01/12/2025,2:40 PM,13/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,353,3,0,Cartago|20251201-5697-VIG,True,2025-12-01,2025-12-01,2025-12-13,2
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260209-6574-VIG,09/02/2026,09/02/2026,2:40 PM,21/02/2026,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,2.0,224,3,0,Cartago|20260209-6574-VIG,True,2026-02-09,2026-02-09,2026-02-21,2
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260209-6574-VIG,09/02/2026,09/02/2026,2:40 PM,21/02/2026,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,3.0,239,3,0,Cartago|20260209-6574-VIG,True,2026-02-09,2026-02-09,2026-02-21,2
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260324-7353-VIG,24/03/2026,24/03/2026,3:10 PM,05/04/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,2.0,130,4,0,Cartago|20260324-7353-VIG,True,2026-03-24,2026-03-24,2026-04-05,2
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260324-7353-VIG,24/03/2026,24/03/2026,3:10 PM,05/04/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,nan,108,4,0,Cartago|20260324-7353-VIG,True,2026-03-24,2026-03-24,2026-04-05,2
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260324-7362-VIG,24/03/2026,24/03/2026,3:10 PM,05/04/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,2.0,129,4,0,Cartago|20260324-7362-VIG,True,2026-03-24,2026-03-24,2026-04-05,2
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260324-7362-VIG,24/03/2026,24/03/2026,3:10 PM,05/04/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,nan,110,4,0,Cartago|20260324-7362-VIG,True,2026-03-24,2026-03-24,2026-04-05,2
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260324-7363-VIG,24/03/2026,24/03/2026,3:10 PM,05/04/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,2.0,126,4,0,Cartago|20260324-7363-VIG,True,2026-03-24,2026-03-24,2026-04-05,2
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260324-7363-VIG,24/03/2026,24/03/2026,3:10 PM,05/04/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,nan,109,4,0,Cartago|20260324-7363-VIG,True,2026-03-24,2026-03-24,2026-04-05,2
Tulua,2026,VIG,VIGILANCIA RUTINARIA,20260316-7231-VIG,16/03/2026,16/03/2026,2:50 PM,28/03/2026,Agua,UESVALLE - ARO TULUÁ,4,0,Finalizada,2,226,4,0,Tulua|20260316-7231-VIG,True,2026-03-16,2026-03-16,2026-03-28,2
Tulua,2026,VIG,VIGILANCIA RUTINARIA,20260316-7231-VIG,16/03/2026,16/03/2026,2:50 PM,28/03/2026,Agua,UESVALLE - ARO TULUÁ,4,0,Finalizada,3,241,4,0,Tulua|20260316-7231-VIG,True,2026-03-16,2026-03-16,2026-03-28,2
Tulua,2026,VIG,VIGILANCIA RUTINARIA,20260420-7790-VIG,20/04/2026,20/04/2026,2:00 PM,02/05/2026,Agua,UESVALLE - ARO TULUÁ,3,0,Finalizada,1,112,3,0,Tulua|20260420-7790-VIG,True,2026-04-20,2026-04-20,2026-05-02,2
Tulua,2026,VIG,VIGILANCIA RUTINARIA,20260420-7790-VIG,20/04/2026,20/04/2026,2:00 PM,02/05/2026,Agua,UESVALLE - ARO TULUÁ,3,0,Finalizada,2,127,3,0,Tulua|20260420-7790-VIG,True,2026-04-20,2026-04-20,2026-05-02,2
