ID_RESULTADO,ANIO,ARO,CODIGO_MUESTRA,TIPO_CODIGO,TIPO_NOMBRE,CONSECUTIVO,FECHA_NOMBRE,FECHA_ENVIO,FECHA_RECEPCION,HORA_RECEPCION,FECHA_RESULTADOS,CLASE_MUESTRA,ENTIDAD_QUE_REMITE,MUESTRAS_RECIBIDAS,MUESTRAS_RECHAZADAS,ESTADO,DESCARGADO,ESTADO_DESCARGA,NOMBRE_PDF,RUTA_LOCAL,URL_LOCAL,EXISTE_PDF,LOTE_DESCARGA,ARCHIVO_CONTROL,RUTA_ARCHIVO_CONTROL,FUENTE_REGISTRO,ERROR,FECHA_ACTUALIZACION,DRIVE_FILE_ID,URL_DRIVE_VIEW,URL_DRIVE_PREVIEW,MATCH_DRIVE
20260407-7581-MR,2026,Cali,20260407-7581-MR,MR,MAPAS DE RIESGOS,,,07/04/2026,07/04/2026,2:20 PM,24/04/2026,Agua,UESVALLE - ARO CALI,5,0,Finalizada,SI,OK,20260407-7581-MR-CACG-001-07-04-2026-uesvallecali.pdf,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\PDF_Resultados\2026\Cali\20260407-7581-MR-CACG-001-07-04-2026-uesvallecali.pdf,file:///G:/.shortcut-targets-by-id/1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA/2026/Agua%20para%20consumo/Resultados_muestras/PDF_Resultados/2026/Cali/20260407-7581-MR-CACG-001-07-04-2026-uesvallecali.pdf,SI,Lote_20260526_2110,control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2110\control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,CONTROL_DESCARGA,,2026-05-27 02:06:56,1FDHRYuGPzmYmddCMTvOw57X-C22GlyQp,https://drive.google.com/file/d/1FDHRYuGPzmYmddCMTvOw57X-C22GlyQp/view?usp=drive_link,https://drive.google.com/file/d/1FDHRYuGPzmYmddCMTvOw57X-C22GlyQp/preview,SI_NOMBRE
20260407-7582-MR,2026,Cali,20260407-7582-MR,MR,MAPAS DE RIESGOS,,,07/04/2026,07/04/2026,2:20 PM,24/04/2026,Agua,UESVALLE - ARO CALI,3,0,Finalizada,SI,OK,20260407-7582-MR-CACG-002-07-04-2026-uesvallecali.pdf,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\PDF_Resultados\2026\Cali\20260407-7582-MR-CACG-002-07-04-2026-uesvallecali.pdf,file:///G:/.shortcut-targets-by-id/1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA/2026/Agua%20para%20consumo/Resultados_muestras/PDF_Resultados/2026/Cali/20260407-7582-MR-CACG-002-07-04-2026-uesvallecali.pdf,SI,Lote_20260526_2110,control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2110\control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,CONTROL_DESCARGA,,2026-05-27 02:06:56,1BqqIznV7bbaeeo3mQ9uQ-wKZ8-mhwuRW,https://drive.google.com/file/d/1BqqIznV7bbaeeo3mQ9uQ-wKZ8-mhwuRW/view?usp=drive_link,https://drive.google.com/file/d/1BqqIznV7bbaeeo3mQ9uQ-wKZ8-mhwuRW/preview,SI_NOMBRE
20260407-7583-MR,2026,Cali,20260407-7583-MR,MR,MAPAS DE RIESGOS,,,07/04/2026,07/04/2026,2:20 PM,24/04/2026,Agua,UESVALLE - ARO CALI,5,0,Finalizada,SI,OK,20260407-7583-MR-cacg-003-07-04-2026-uesvallecali.pdf,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\PDF_Resultados\2026\Cali\20260407-7583-MR-cacg-003-07-04-2026-uesvallecali.pdf,file:///G:/.shortcut-targets-by-id/1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA/2026/Agua%20para%20consumo/Resultados_muestras/PDF_Resultados/2026/Cali/20260407-7583-MR-cacg-003-07-04-2026-uesvallecali.pdf,SI,Lote_20260526_2110,control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2110\control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,CONTROL_DESCARGA,,2026-05-27 02:06:56,1nIOW70pW19yqUM2NdbeusUhMKCXOxtsf,https://drive.google.com/file/d/1nIOW70pW19yqUM2NdbeusUhMKCXOxtsf/view?usp=drive_link,https://drive.google.com/file/d/1nIOW70pW19yqUM2NdbeusUhMKCXOxtsf/preview,SI_NOMBRE
20260421-7842-MR,2026,Cali,20260421-7842-MR,MR,MAPAS DE RIESGOS,,,21/04/2026,21/04/2026,3:00 PM,07/05/2026,Agua,UESVALLE - ARO CALI,3,0,Finalizada,SI,OK,20260421-7842-MR-CACG-004-21-04-2026-uesvallecali.pdf,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\PDF_Resultados\2026\Cali\20260421-7842-MR-CACG-004-21-04-2026-uesvallecali.pdf,file:///G:/.shortcut-targets-by-id/1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA/2026/Agua%20para%20consumo/Resultados_muestras/PDF_Resultados/2026/Cali/20260421-7842-MR-CACG-004-21-04-2026-uesvallecali.pdf,SI,Lote_20260526_2110,control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2110\control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,CONTROL_DESCARGA,,2026-05-27 02:06:56,1taBMG1Qf8Y7Sio4hIJxzsI4I0zkGiNlq,https://drive.google.com/file/d/1taBMG1Qf8Y7Sio4hIJxzsI4I0zkGiNlq/view?usp=drive_link,https://drive.google.com/file/d/1taBMG1Qf8Y7Sio4hIJxzsI4I0zkGiNlq/preview,SI_NOMBRE
20260421-7864-MR,2026,Cali,20260421-7864-MR,MR,MAPAS DE RIESGOS,,,21/04/2026,21/04/2026,3:00 PM,07/05/2026,Agua,UESVALLE - ARO CALI,5,0,Finalizada,SI,OK,20260421-7864-MR-CACG-005-21-04-2026-uesvallecali.pdf,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\PDF_Resultados\2026\Cali\20260421-7864-MR-CACG-005-21-04-2026-uesvallecali.pdf,file:///G:/.shortcut-targets-by-id/1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA/2026/Agua%20para%20consumo/Resultados_muestras/PDF_Resultados/2026/Cali/20260421-7864-MR-CACG-005-21-04-2026-uesvallecali.pdf,SI,Lote_20260526_2110,control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2110\control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,CONTROL_DESCARGA,,2026-05-27 02:06:56,1c1nmP1dx7IR7ZQ-O6_m1vb8swRdtBZC5,https://drive.google.com/file/d/1c1nmP1dx7IR7ZQ-O6_m1vb8swRdtBZC5/view?usp=drive_link,https://drive.google.com/file/d/1c1nmP1dx7IR7ZQ-O6_m1vb8swRdtBZC5/preview,SI_NOMBRE
20260421-7884-MR,2026,Cali,20260421-7884-MR,MR,MAPAS DE RIESGOS,,,21/04/2026,21/04/2026,3:00 PM,07/05/2026,Agua,UESVALLE - ARO CALI,5,0,Finalizada,SI,OK,20260421-7884-MR-cacg-006-21-04-2026-uesvallecali.pdf,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\PDF_Resultados\2026\Cali\20260421-7884-MR-cacg-006-21-04-2026-uesvallecali.pdf,file:///G:/.shortcut-targets-by-id/1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA/2026/Agua%20para%20consumo/Resultados_muestras/PDF_Resultados/2026/Cali/20260421-7884-MR-cacg-006-21-04-2026-uesvallecali.pdf,SI,Lote_20260526_2110,control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2110\control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,CONTROL_DESCARGA,,2026-05-27 02:06:56,1Uk3siqvlRubmB7Wgy6tu4YrQnbab2q8X,https://drive.google.com/file/d/1Uk3siqvlRubmB7Wgy6tu4YrQnbab2q8X/view?usp=drive_link,https://drive.google.com/file/d/1Uk3siqvlRubmB7Wgy6tu4YrQnbab2q8X/preview,SI_NOMBRE
20260421-7887-MR,2026,Cali,20260421-7887-MR,MR,MAPAS DE RIESGOS,,,21/04/2026,21/04/2026,3:00 PM,07/05/2026,Agua,UESVALLE - ARO CALI,3,0,Finalizada,SI,OK,20260421-7887-MR-CACG-007-21-04-2026-uesvallecali.pdf,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\PDF_Resultados\2026\Cali\20260421-7887-MR-CACG-007-21-04-2026-uesvallecali.pdf,file:///G:/.shortcut-targets-by-id/1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA/2026/Agua%20para%20consumo/Resultados_muestras/PDF_Resultados/2026/Cali/20260421-7887-MR-CACG-007-21-04-2026-uesvallecali.pdf,SI,Lote_20260526_2110,control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2110\control_descarga_resultados_CONSOLIDADO_lote_20260526_2110.xlsx,CONTROL_DESCARGA,,2026-05-27 02:06:56,1PxOWJavPIeZGQGvbLZRG1P1qHNOX1bNZ,https://drive.google.com/file/d/1PxOWJavPIeZGQGvbLZRG1P1qHNOX1bNZ/view?usp=drive_link,https://drive.google.com/file/d/1PxOWJavPIeZGQGvbLZRG1P1qHNOX1bNZ/preview,SI_NOMBRE
20260427-7943-MR,2026,Cali,20260427-7943-MR,MR,MAPAS DE RIESGOS,,,27/04/2026,27/04/2026,4:45 PM,12/05/2026,Agua,UESVALLE - ARO CALI,5,0,Finalizada,SI,YA_EXISTE,20260427-7943-MR-cacg-008-27-04-2026-uesvallecali.pdf,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\PDF_Resultados\2026\Cali\20260427-7943-MR-cacg-008-27-04-2026-uesvallecali.pdf,file:///G:/.shortcut-targets-by-id/1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA/2026/Agua%20para%20consumo/Resultados_muestras/PDF_Resultados/2026/Cali/20260427-7943-MR-cacg-008-27-04-2026-uesvallecali.pdf,SI,Lote_20260527_0154,control_descarga_resultados_CONSOLIDADO_lote_20260527_0154.xlsx,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260527_0154\control_descarga_resultados_CONSOLIDADO_lote_20260527_0154.xlsx,CONTROL_DESCARGA,PDF existente; se omitió descarga para evitar duplicado.,2026-05-27 02:06:56,1Czg9kE7PRP-bNHC2q_AKfKcfKgmoFCNC,https://drive.google.com/file/d/1Czg9kE7PRP-bNHC2q_AKfKcfKgmoFCNC/view?usp=drive_link,https://drive.google.com/file/d/1Czg9kE7PRP-bNHC2q_AKfKcfKgmoFCNC/preview,SI_NOMBRE
20260427-7949-MR,2026,Cali,20260427-7949-MR,MR,MAPAS DE RIESGOS,,,27/04/2026,27/04/2026,4:45 PM,13/05/2026,Agua,UESVALLE - ARO CALI,5,0,Finalizada,SI,YA_EXISTE,20260427-7949-MR-CACG-009-27-04-2026-uesvallecali.pdf,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\PDF_Resultados\2026\Cali\20260427-7949-MR-CACG-009-27-04-2026-uesvallecali.pdf,file:///G:/.shortcut-targets-by-id/1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA/2026/Agua%20para%20consumo/Resultados_muestras/PDF_Resultados/2026/Cali/20260427-7949-MR-CACG-009-27-04-2026-uesvallecali.pdf,SI,Lote_20260527_0154,control_descarga_resultados_CONSOLIDADO_lote_20260527_0154.xlsx,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260527_0154\control_descarga_resultados_CONSOLIDADO_lote_20260527_0154.xlsx,CONTROL_DESCARGA,PDF existente; se omitió descarga para evitar duplicado.,2026-05-27 02:06:56,12UCN4uySb5tigVyXHL48bRDCi4Vzn2cC,https://drive.google.com/file/d/12UCN4uySb5tigVyXHL48bRDCi4Vzn2cC/view?usp=drive_link,https://drive.google.com/file/d/12UCN4uySb5tigVyXHL48bRDCi4Vzn2cC/preview,SI_NOMBRE
20260427-7970-MR,2026,Cali,20260427-7970-MR,MR,MAPAS DE RIESGOS,,,27/04/2026,27/04/2026,4:45 PM,13/05/2026,Agua,UESVALLE - ARO CALI,3,0,Finalizada,SI,YA_EXISTE,20260427-7970-MR-CACG-010-27-04-2026-uesvallecali.pdf,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\PDF_Resultados\2026\Cali\20260427-7970-MR-CACG-010-27-04-2026-uesvallecali.pdf,file:///G:/.shortcut-targets-by-id/1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA/2026/Agua%20para%20consumo/Resultados_muestras/PDF_Resultados/2026/Cali/20260427-7970-MR-CACG-010-27-04-2026-uesvallecali.pdf,SI,Lote_20260527_0154,control_descarga_resultados_CONSOLIDADO_lote_20260527_0154.xlsx,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260527_0154\control_descarga_resultados_CONSOLIDADO_lote_20260527_0154.xlsx,CONTROL_DESCARGA,PDF existente; se omitió descarga para evitar duplicado.,2026-05-27 02:06:56,1vkmqVrkAlCj5e_jaQQsk2U5OXRhuAGP1,https://drive.google.com/file/d/1vkmqVrkAlCj5e_jaQQsk2U5OXRhuAGP1/view?usp=drive_link,https://drive.google.com/file/d/1vkmqVrkAlCj5e_jaQQsk2U5OXRhuAGP1/preview,SI_NOMBRE
