ARO,Anio,Tipo_servicio_codigo,Tipo_servicio_nombre,Codigo,Fecha_envio,Fecha_recepcion,Hora_recepcion,Fecha_resultados,Tipo,Entidad_que_remite,Muestras_recibidas,Muestras_rechazadas,Estado,Pagina_manual,Fila_archivo,Muestras_recibidas_num,Muestras_rechazadas_num,Clave_ARO_Codigo,Es_codigo_valido,Fecha_envio_dt,Fecha_recepcion_dt,Fecha_resultados_dt,Es_duplicado_por_codigo
Cali,2026,VIG,VIGILANCIA RUTINARIA,20260420-7814-VIG,20/04/2026,20/04/2026,3:10 PM,02/05/2026,Agua,UESVALLE - ARO CALI,3,0,Finalizada,1,100,3,0,Cali|20260420-7814-VIG,True,2026-04-20,2026-04-20,2026-05-02,False
Cali,2025,VIG,VIGILANCIA RUTINARIA,20250521-2320-VIG,21/05/2025,21/05/2025,3:50 PM,01/06/2025,Agua,UESVALLE - ARO CALI,3,0,Finalizada,9,1000,3,0,Cali|20250521-2320-VIG,True,2025-05-21,2025-05-21,2025-06-01,False
Cali,2025,VIG,VIGILANCIA RUTINARIA,20250521-2330-VIG,21/05/2025,21/05/2025,3:50 PM,01/06/2025,Agua,UESVALLE - ARO CALI,3,0,Finalizada,9,1001,3,0,Cali|20250521-2330-VIG,True,2025-05-21,2025-05-21,2025-06-01,False
Cali,2025,VIG,VIGILANCIA RUTINARIA,20250521-2317-VIG,21/05/2025,21/05/2025,3:50 PM,01/06/2025,Agua,UESVALLE - ARO CALI,3,0,Finalizada,9,1002,3,0,Cali|20250521-2317-VIG,True,2025-05-21,2025-05-21,2025-06-01,False
Cali,2025,MR,MAPAS DE RIESGOS,20250520-2270-MR,20/05/2025,20/05/2025,4:30 PM,23/06/2025,Agua,UESVALLE - ARO CALI,3,0,Finalizada,9,1003,3,0,Cali|20250520-2270-MR,True,2025-05-20,2025-05-20,2025-06-23,False
Cali,2025,DSAN,DIAGNÓSTICO SANITARIO,20250520-2289-DSAN,20/05/2025,20/05/2025,4:30 PM,30/05/2025,Agua,UESVALLE - ARO CALI,1,0,Finalizada,9,1004,1,0,Cali|20250520-2289-DSAN,True,2025-05-20,2025-05-20,2025-05-30,False
Cali,2025,MR,MAPAS DE RIESGOS,20250520-2280-MR,20/05/2025,20/05/2025,4:30 PM,23/06/2025,Agua,UESVALLE - ARO CALI,3,0,Finalizada,9,1005,3,0,Cali|20250520-2280-MR,True,2025-05-20,2025-05-20,2025-06-23,False
Cali,2025,MR,MAPAS DE RIESGOS,20250520-2273-MR,20/05/2025,20/05/2025,4:30 PM,23/06/2025,Agua,UESVALLE - ARO CALI,3,0,Finalizada,9,1006,3,0,Cali|20250520-2273-MR,True,2025-05-20,2025-05-20,2025-06-23,False
Cali,2025,MR,MAPAS DE RIESGOS,20250520-2281-MR,20/05/2025,20/05/2025,4:30 PM,09/06/2025,Agua,UESVALLE - ARO CALI,2,0,Finalizada,9,1007,2,0,Cali|20250520-2281-MR,True,2025-05-20,2025-05-20,2025-06-09,False
Cali,2025,MR,MAPAS DE RIESGOS,20250520-2282-MR,20/05/2025,20/05/2025,4:30 PM,09/06/2025,Agua,UESVALLE - ARO CALI,2,0,Finalizada,9,1008,2,0,Cali|20250520-2282-MR,True,2025-05-20,2025-05-20,2025-06-09,False
