CODIGO_MUESTRA,TIPO_SERVICIO_FICHA,FECHA_TOMA_MUESTRA,NUMERO_ACTA,TIPO_MUESTRA,PUNTO_MUESTREO,LUGAR_TOMA_MUESTRA,DIRECCION,DEPARTAMENTO_PUNTO_MUESTREO,MUNICIPIO_PUNTO_MUESTREO,TIPO_LUGAR,CORREGIMIENTO_VEREDA,BARRIO,TIPO_FUENTE,NOMBRE_FUENTE,DEPARTAMENTO_ACUEDUCTO,MUNICIPIO,TIPO_ENTIDAD_PRESTADOR,PRESTADOR,TELEFONO_PRESTADOR,DIRECCION_PRESTADOR,ENTIDAD_REMITE_FICHA,MUESTRA_TOMADA_POR,OBSERVACIONES_FICHA,FECHA_FILTRO_RECEPCION_FICHA,ARO_FICHA,ARCHIVO_FICHA,LOTE_FICHA,RUTA_ARCHIVO_FICHA
20260119-6078-VIG,VIGILANCIA RUTINARIA,19/01/2026,OAR190126-001,Agua tratada,4309,GRIFO,ANTIGUO TANQUE ELEVADO CORR HOLGUIN,76 - VALLE DEL CAUCA,76403 - LA VICTORIA,RURAL,CORREGIMIENTO HOLGUIN,,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76403 - LA VICTORIA,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - LA VICTORIA,2202146,CLL 8 # 8-14,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,19/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260119-6080-VIG,VIGILANCIA RUTINARIA,19/01/2026,OAR190126-002,Agua tratada,4301,GRIFO,PLANTA DE TRATAMIENTO,76 - VALLE DEL CAUCA,76403 - LA VICTORIA,URBANO,,SANTA TERESA,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76403 - LA VICTORIA,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - LA VICTORIA,2202146,CLL 8 # 8-14,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,19/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260119-6082-VIG,VIGILANCIA RUTINARIA,19/01/2026,OAR190126-006,Agua tratada,1203,GRIFO,ESCUELA ELVIA PEÑA- CRA 5N CLL 10 Y 11,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,RURAL,UNIÓN DE VIVIENDA POPULAR,,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ROLDANILLO,2294881,CALLE 7 # 9-11,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,19/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260119-6085-VIG,,19/01/2026,OAR190126-005,Agua tratada,1202,GRIFO,JARDIN INFANTIL CRA 1 CLL 6 Y 7,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,URBANO,,B. SAN SEBASTIAN,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ROLDANILLO,2294881,CALLE 7 # 9-11,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,19/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260119-6086-VIG,VIGILANCIA RUTINARIA,19/01/2026,OAR190126-004,Agua tratada,1201,GRIFO,IE LIBARDO MADRID CRA 11 CLL 1B Y 2,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,URBANO,,SD,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ROLDANILLO,2294881,CALLE 7 # 9-11,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,19/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260119-6089-VIG,VIGILANCIA RUTINARIA,19/01/2026,OAR190126-003,Agua tratada,1222,GRIFO,CR 17 CLL 17,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,URBANO,,URB SAN ESTEBAN,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ROLDANILLO,2294881,CALLE 7 # 9-11,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,19/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260119-6090-VIG,VIGILANCIA RUTINARIA,19/01/2026,nr-05,Agua tratada,76036-11,grifo instalado punto fijo,paso ancho madre vieja,76 - VALLE DEL CAUCA,76036 - ANDALUCÍA,URBANO,,paso ancho MADRE VIEJA,RÍO,bugalagrande,76 - VALLE DEL CAUCA,76036 - ANDALUCÍA,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ANDALUCIA,2235235,CL 13 # 2-06,UESVALLE - ARO TULUÁ,natalia raigosa,La muestra de fisicoquímico y color aparente se toma en envase de vidrio de color ámbar de 1000ml. Representante legal Jorge Enrique Sánchez Cerón con CC 6.319.264,19/01/2026,Tuluá,muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv,20260526_2058,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2058\muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv
20260119-6091-VIG,VIGILANCIA RUTINARIA,19/01/2026,OAR190126-007,Agua tratada,1204,GRIFO,ANTIGUO TALLER DE OBRAS PUBLICAS CRA 7 CLL 13 Y 14,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,URBANO,,B. SAN NICOLAS,LAGO,EMBALSE SARA BRUT,76 - VALLE DEL CAUCA,76622 - ROLDANILLO,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ROLDANILLO,2294881,CALLE 7 # 9-11,UESVALLE - ARO CARTAGO,OSCAR ARMANDO RIOS,,19/01/2026,Cartago,muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv,20260526_1510,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_1510\muestras_fichas_CONSOLIDADO_lote_20260526_1510.csv
20260119-6092-VIG,VIGILANCIA RUTINARIA,19/01/2026,NR-04,Agua tratada,76036-8,GRIFO INSTALADO PUNTO FIJO,ZABALETAS,76 - VALLE DEL CAUCA,76036 - ANDALUCÍA,URBANO,,ZABALETAS,RÍO,BUGALAGRANDE,76 - VALLE DEL CAUCA,76036 - ANDALUCÍA,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ANDALUCIA,2235235,CL 13 # 2-06,UESVALLE - ARO TULUÁ,NATALIA RAIGOSA,La muestra de fisicoquímico y color aparente se toma en envase de vidrio de color ámbar de 1000ml. Representante legal Jorge Enrique Sánchez Cerón con CC 6.319.264,19/01/2026,Tuluá,muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv,20260526_2058,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2058\muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv
20260119-6094-VIG,VIGILANCIA RUTINARIA,19/01/2026,NR-03,Agua tratada,76036-9,GRIFO INSTALADO PUNTO FIJO,CRUCERO EL ORIENTE,76 - VALLE DEL CAUCA,76036 - ANDALUCÍA,URBANO,,CRUCERO EL ORIENTE,RÍO,BUGALAGRANDE,76 - VALLE DEL CAUCA,76036 - ANDALUCÍA,ACUEDUCTO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ANDALUCIA,2235235,CL 13 # 2-06,UESVALLE - ARO TULUÁ,NATALIA RAIGOSA,La muestra de fisicoquímico y color aparente se toma en envase de vidrio de color ámbar de 1000ml. Representante legal Jorge Enrique Sánchez Cerón con CC 6.319.264,19/01/2026,Tuluá,muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv,20260526_2058,G:\.shortcut-targets-by-id\1yROfpmz8yE8ttn9XJ1jioWMULcTpV8XA\2026\Agua para consumo\Resultados_muestras\Control_Descargas\Lote_20260526_2058\muestras_fichas_CONSOLIDADO_lote_20260526_2058.csv
