ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;CANDIDATOS_POR_CODIGO;CANDIDATOS_POR_NOMBRE;TIPO_CRUCE;ESTADO_CRUCE;ESTADO_GEORREFERENCIACION;OBSERVACION
1;276020000045;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE FRANCISCO DE PAULA SANTANDER;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
2;276020000053;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE MANUELA BELTRAN;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
3;276020000061;ALCALA;IE ARTURO GOMEZ JARAMILLO SEDE JOSE IGNACIO RENGIFO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
4;276020000088;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE SAN AGUSTIN;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
5;276020000100;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE SAN JUAN BOSCO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
6;276020000118;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE CRISTOBAL COLON;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
7;276020000151;ALCALA;I.E ARTURO GÓMEZ JARAMILLO SEDE NUEVA GRANADA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
8;276020000169;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE MANUEL MEJIA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
9;276020000193;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE ATANASIO GIRARDOT;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
10;276020000215;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE LA POLONIA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
11;276020000223;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE SIMON BOLIVAR;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
12;276020000231;ALCALA;I.E ARTURO GÓMEZ JARAMILLO SEDE SANTA TERESITA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
13;176020000172;ALCALA;I.E SAN JOSÉ SEDE MARÍA AUXILIADORA # 1;2;1;COD_DANE_DUPLICADO+NOMBRE_EXACTO;CRUCE_OK_CONTROLADO;GEORREFERENCIADA;
14;176020000172;ALCALA;I.E SAN JOSE SEDE MARIA AUXILIADORA BLOQUE 2;2;1;COD_DANE_DUPLICADO+NOMBRE_EXACTO;CRUCE_OK_CONTROLADO;GEORREFERENCIADA;
15;176020000032;ALCALA;I.E SAN JOSÉ SEDE PRINCIPAL;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
16;176020000181;ALCALA;I.E ARTURO GOMEZ JARAMILLO SANTO TOMÁS DE AQUINO BLOQUE 1;2;1;COD_DANE_DUPLICADO+NOMBRE_EXACTO;CRUCE_OK_CONTROLADO;GEORREFERENCIADA;
17;176020000181;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE SANTO TOMAS DE AQUINO BLOQUE 2;2;1;COD_DANE_DUPLICADO+NOMBRE_EXACTO;CRUCE_OK_CONTROLADO;GEORREFERENCIADA;
18;476020000249;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE PRINCIPAL;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
19;276036000207;ANDALUCÍA;I.E. AGRICOLA CAMPOALEGRE SEDE JOSE MARIA CORDOBA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
20;276036000274;ANDALUCÍA;I.E. AGRICOLA CAMPOALEGRE SEDE SANTA MATILDE;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
21;276036000037;ANDALUCÍA;I.E. AGRICOLA CAMPOALEGRE SEDE AGRICOLA CAMPOALEGRE;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
22;276036000070;ANDALUCÍA;I.E. AGRICOLA COMPOALEGRE SEDE CUSTODIO GARCIA ROVIRA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
23;276036000126;ANDALUCÍA;I.E. AGRICOLA CAMPOALEGRE SEDE VICENTE H. CRUZ;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
24;276036000142;ANDALUCÍA;I.E. AGRICOLA CAMPOALEGRE SEDE  ANTONIO JOSE DE SUCRE;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
25;276036000151;ANDALUCÍA;I.E. AGRICOLA CAMPOALEGRE SEDE MARCO FIDEL SUAREZ;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
26;276036000169;ANDALUCÍA;I.E. AGRICOLA CAMPOALEGRE SEDE PRIMITIVO CRESPO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
27;276036000193;ANDALUCÍA;I.E. AGRICOLA CAMPOALEGRE SEDE SAN FRANCISCO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
28;276036000223;ANDALUCÍA;I.E AGRICOLA CAMPO ALEGRE SEDE JOSE ANTONIO ANZOATEGUI;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
29;276036000282;ANDALUCÍA;I.E. AGRICOLA CAMPOALEGRE SEDE ISABEL ARAGON;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
30;276041000088;ANSERMANUEVO;I.E JORGE ISAACS SEDE CARTAGENA DE INDIAS;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
31;276041000363;ANSERMANUEVO;I.E SANTA INES SEDE PRIMARIA BLOQUE 3;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
32;276041000371;ANSERMANUEVO;I.E JORGE ISAAC SEDE JORGE ISAAC;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
33;376041000031;ANSERMANUEVO;I.E JORGE ISAAC SEDE NUESTRA SEÑORA DE FATIMA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
34;276041000851;ANSERMANUEVO;I.E JORGE ISAACS SEDE ONCE DE NOVIEMBRE;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
