ID_MAESTRO;CODIGO_SISTEMA;MUNICIPIO;AMBITO;TIPO_SISTEMA;ARO;PERSONA_PRESTADORA;LOCALIDADES_ABASTECIDAS;SUSCRIPTORES;POBLACION;TIPO_SISTEMA_TRATAMIENTO;ALGUN_TIPO_TRATAMIENTO;ESTADO_MAESTRO;LATITUD;LONGITUD;VALIDACION_SISTEMA
ACUEDUCTO_0002;115502;ALCALA;Rural;DISPERSA;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #1);CONGAL , MARAVELEZ PARTE ALTA;199.0;796.0;Solo desinfección;0;ACTIVO;4.672931;-75.70801;EXISTENTE
ACUEDUCTO_0003;91940;ALCALA;Rural;CENTRO POBLADO;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #2);CONGAL, MARAVELEZ PARTE BAJA, LA POLONIA , LA CAPILLA;103.0;412.0;Solo desinfección;0;ACTIVO;4.666264;-75.72291;EXISTENTE
ACUEDUCTO_0004;115517;ALCALA;Rural;CENTRO POBLADO;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #3);(PARTE ALTA) BELGICA , LA FLORESTA , SAN FELIPE , LOS SAUCES , PLAYAS VERDES;482.0;1928.0;Filtración Compacta;1;ACTIVO;4.693836;-75.78505;EXISTENTE
ACUEDUCTO_0005;109043;ALCALA;Rural;DISPERSA;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #4);MARAVELEZ, EL CONGAL, SAN FELIPE, LA CAÑA, TRINCHERAS;119.0;476.0;Solo desinfección;0;ACTIVO;4.659181;-75.73226;EXISTENTE
ACUEDUCTO_0006;80803;ALCALA;Rural;DISPERSA;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #5);HIGUERON, LA UNION, SAN FELIPE , LA ESTRELLA , DINDE BAJO;263.0;1052.0;Solo desinfección;0;ACTIVO;4.687869;-75.81867;EXISTENTE
ACUEDUCTO_0007;111747;ALCALA;Rural;DISPERSA;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #6);EL DINDE (PARTE ALTA) FUENTE Q BUENAVISTA;54.0;216.0;Solo desinfección;0;ACTIVO;4.713136;-75.85354;EXISTENTE
ACUEDUCTO_0008;87903;ALCALA;Rural;DISPERSA;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #7);LA CUCHILLA PARTE ALTA;43.0;172.0;Solo desinfección;0;ACTIVO;4.656344;-75.71681;EXISTENTE
ACUEDUCTO_0009;110500;ALCALA;Rural;DISPERSA;Norte Cartago;ADMINISTRACION COOPERATIVA MARAVELEZ - ALCALA E.S.P.(SISTEMA #8);LA CUCHILLA PARTE BAJA;35.0;140.0;Solo desinfección;0;ACTIVO;4.657989;-75.72749;EXISTENTE
ACUEDUCTO_0001;110201;ALCALA;Rural;DISPERSA;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTORURAL VEREDA EL EDEN (ASOCOAGUAS);EL EDEN;60.0;240.0;FD+Desinfección;1;ACTIVO;4.695786;-75.83319;EXISTENTE
ACUEDUCTO_0010;80697;ALCALA;Urbano;CABECERA MUNICIPAL;Norte Cartago;SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-ALCALÁ;URBANO;2940.0;11760.0;Convencional;1;ACTIVO;4.672503;-75.77195;EXISTENTE
