CODIGO_SISA_ACUEDUCTO;NOMBRE_ACUEDUCTO;MUNICIPIOS;SEDES_TOTAL;ESTUDIANTES_TOTAL;SEDES_ALTO_INVIABLE;ESTUDIANTES_ALTO_INVIABLE;SEDES_CON_BRECHA;PRIORIDAD_MAXIMA;PRIORIDAD_PROMEDIO
3178;ASOCIACIÓN COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO DE QUEBRADA GRANDE;LA UNION;6;80;6;80;1;72.67;69.52
309;ADMINISTRACIÓN COOPERATIVA ULLOA E.S.P - SISTEMA #2 BERLÍN - MOCTEZUMA;ULLOA;5;222;5;222;0;59.71;55.91
3461;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTOS DEL ROBLE SISTEMA # 2;ANSERMANUEVO;5;34;5;34;0;68.44;67.03
3508;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO LA PALMA;ARGELIA;4;31;4;31;0;69.31;68.63
1116;ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA;BOLIVAR;3;432;3;432;2;64.65;63.89
2153;ASOCIACION AGUAS DE GALICIA;BUGALAGRANDE;3;330;3;330;0;62.74;61.36
3272;ASOCIACION DE USUARIOS AGUA ALBANIA ESP;YOTOCO;3;78;3;78;1;74.29;72.28
2082;ACUEDUCTO AGUACOLORADAS;SEVILLA;3;53;3;53;0;72.12;70.46
2562;ADMINISTRACIÓN COOPERATIVA ULLOA E.S.P - SISTEMA #1 CHAPINERO;ULLOA;3;32;3;32;0;57.04;55.47
2154;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTOS DEL ROBLE SISTEMA # 1 SAN AGUSTIN;ANSERMANUEVO;3;23;3;23;0;69.05;68.64
359;ASOJUMACHAGUA;GUACARÍ;3;23;3;23;1;62.41;59.44
44;ASOCIACIÓN CÍVICA JUNTA ADMINISTRADORA DEL ACUEDUCTO CGTO SAN FRANCISCO;TORO;2;307;2;307;0;77.29;76.31
3670;ASORETIRO;LA CUMBRE;2;197;2;197;0;63.25;59.52
349;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO DEL CORREGIMIENTO LA SELVA - ASUACLAS;GINEBRA;2;125;2;125;0;65.64;64.1
1922;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE VILLA RODAS # 1;OBANDO;2;99;2;99;2;76.21;75.29
2215;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO ALBAN AGUALBAN;EL CAIRO;2;73;2;73;1;62.42;58.72
141;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO CARBONERO;VIJES;2;62;2;62;0;64.08;61.79
2625;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO DE SAN ISIDRO;OBANDO;2;59;2;59;1;59.89;59.3
11893;ACUEDUCTO RURAL DE BETANIA;BOLIVAR;2;58;2;58;1;60.62;59.26
352;JUNTA ADMINISTRADORA ACUEDUCTO CORREGIMIENTO JUNTAS;GINEBRA;2;56;2;56;0;63.76;61.63
1482;JUNTA ADMINISTRADORA COMUNITARIA DEL ACUEDUCTO DEL CORREGIMIENTO EL PORVENIR JACA NO. 16;VIJES;2;27;2;27;0;75.63;73.5
SIN CODIGO SISA;FRIBOVALLE;PRADERA;2;23;2;23;0;61.24;59.68
SIN CODIGO SISA;LA CARBONERA;PRADERA;2;21;2;21;0;50.39;50.28
1953;ASOCIACIÓN ADMINISTRADORA DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO LA FLORIDA;VERSALLES;2;19;2;19;0;69.54;69.15
2151;ASOCIACION DE USUARIOS ACUEDUCTO DE FRONTINO, QUIEBRA Y CRUCERO;CAICEDONIA;2;16;2;16;0;55.3;55.0
2611;JUNTA DE ACCION COMUNAL VEREDA EL GUAYABO - SAN LUIS - EL SALADO;EL AGUILA;2;9;2;9;0;54.33;53.57
899;ACUEDUCTO RURAL VEREDA EL PIE;ROLDANILLO;2;5;2;5;2;55.91;52.88
14230;ACUEDUCTO RURAL ALTO ZABALETAS;RESTREPO;1;263;1;263;0;77.94;77.94
1282;JUNTA ADMINISTRADORA ACUEDUCTO RURAL VEREDA LA BALSORA;VERSALLES;1;221;1;221;1;75.86;75.86
507;ASOCIACION DE USUARIOS ACUEDUCTO PORTUGAL DE PIEDRAS ACUAPORT;RIOFRIO;1;193;1;193;0;63.35;63.35
505;ACUEDUCTO RURAL LOS ESTRECHOS;RIOFRIO;1;156;1;156;0;62.77;62.77
144;JUNTA ADMINISTRADORA COMUNITARIA DEL ACUEDUCTO # 12 DEL CORREGIMIENTO LA FRESNEDA;VIJES;1;145;1;145;0;80.53;80.53
123;LOMITAS;PRADERA;2;224;1;140;0;62.48;45.3
