MUNICIPIO;SEDES_TOTAL;ESTUDIANTES_TOTAL;SEDES_ALTO_INVIABLE;ESTUDIANTES_MEDIO_MAS;ESTUDIANTES_ALTO_INVIABLE;SEDES_GEORREFERENCIADAS;SEDES_CON_BRECHA;PRIORIDAD_PROMEDIO;SIN RIESGO;BAJO;MEDIO;ALTO;INVIABLE SANITARIAMENTE;SIN DATO;GRUPO_RUTINARIO;GRUPO_PREVENTIVO;GRUPO_PRIORITARIO;GRUPO_BRECHA INFORMACION;PORC_SEDES_ALTO_INVIABLE;PORC_SEDES_CON_BRECHA
ANSERMANUEVO;32;1855;16;291;129;32;5;45.8;10;0;1;2;14;5;10;1;16;5;50.0;15.62
YOTOCO;24;2065;13;523;312;23;1;47.96;7;1;3;4;9;0;8;3;13;0;54.17;4.17
EL AGUILA;34;1153;13;168;168;33;10;37.09;11;0;0;11;2;10;11;0;13;10;38.24;29.41
BOLIVAR;43;1376;12;916;541;29;28;37.53;13;0;7;8;4;11;13;7;12;11;27.91;65.12
RIOFRIO;36;2075;12;527;507;32;12;38.78;11;5;2;7;5;6;16;2;12;6;33.33;33.33
BUGALAGRANDE;30;1514;11;506;498;27;6;35.36;15;0;1;10;1;3;15;1;11;3;36.67;20.0
ULLOA;14;880;11;287;287;14;0;49.1;3;0;0;10;1;0;3;0;11;0;78.57;0.0
EL DOVIO;27;1649;11;168;168;27;9;42.13;7;0;0;4;7;9;7;0;11;9;40.74;33.33
VIJES;20;1639;10;417;323;20;2;45.09;7;0;3;6;4;0;7;3;10;0;50.0;10.0
GINEBRA;27;2227;10;283;248;27;1;35.42;15;0;2;8;2;0;15;2;10;0;37.04;3.7
PRADERA;54;5301;10;240;240;34;22;23.15;40;2;0;9;1;2;42;0;10;2;18.52;40.74
TRUJILLO;35;3082;10;155;141;33;16;36.6;15;2;1;5;5;7;17;1;10;7;28.57;45.71
SEVILLA;38;860;10;434;131;34;14;40.18;5;0;11;6;4;12;5;11;10;12;26.32;36.84
RESTREPO;26;2715;9;435;409;24;2;34.69;14;1;2;5;4;0;15;2;9;0;34.62;7.69
CALIMA;21;1750;9;339;261;18;4;41.9;9;0;2;3;6;1;9;2;9;1;42.86;19.05
OBANDO;20;1260;8;200;200;16;9;42.36;7;0;0;3;5;5;7;0;8;5;40.0;45.0
DAGUA;61;4921;8;233;159;59;11;25.87;40;0;4;7;1;9;40;4;8;9;13.11;18.03
LA UNION;26;3406;8;260;91;24;8;38.86;10;0;2;1;7;6;10;2;8;6;30.77;30.77
TORO;22;1875;7;414;414;22;6;37.33;10;0;0;2;5;5;10;0;7;5;31.82;27.27
VERSALLES;22;910;7;286;286;22;10;39.29;7;0;0;0;7;8;7;0;7;8;31.82;45.45
CAICEDONIA;16;718;6;290;104;15;3;40.46;4;1;3;4;2;2;5;3;6;2;37.5;18.75
SAN PEDRO;25;1646;5;130;130;24;6;31.96;14;1;0;1;4;5;15;0;5;5;20.0;24.0
EL CAIRO;29;768;5;106;106;26;19;34.78;6;0;0;4;1;18;6;0;5;18;17.24;65.52
LA CUMBRE;26;1882;4;260;217;26;4;27.05;16;0;2;3;1;4;16;2;4;4;15.38;15.38
FLORIDA;89;5938;4;171;120;44;58;19.04;71;0;2;3;1;12;71;2;4;12;4.49;65.17
ARGELIA;19;686;4;31;31;17;8;32.49;9;0;0;0;4;6;9;0;4;6;21.05;42.11
ANDALUCÍA;11;320;3;51;51;11;0;27.78;8;0;0;3;0;0;8;0;3;0;27.27;0.0
GUACARÍ;24;3281;3;286;23;21;3;27.69;16;0;5;3;0;0;16;5;3;0;12.5;12.5
ROLDANILLO;42;4224;3;519;16;34;13;24.22;28;0;5;3;0;6;28;5;3;6;7.14;30.95
EL CERRITO;32;6439;2;25;25;30;3;21.13;27;2;0;2;0;1;29;0;2;1;6.25;9.38
ALCALA;18;2475;2;58;18;18;0;29.05;10;0;6;2;0;0;10;6;2;0;11.11;0.0
LA VICTORIA;15;1409;0;19;0;15;1;20.16;13;0;2;0;0;0;13;2;0;0;0.0;6.67
ZARZAL;19;3707;0;0;0;16;7;20.9;19;0;0;0;0;0;19;0;0;0;0.0;36.84
