ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;ZONA_IRCA;DIRECCION_IRCA;NOMBRE_ABREVIADO_IRCA;TELEFONO_IRCA;ESTUDIANTES_ACTUAL;ESTUDIANTES_IRCAS;ESTUDIANTES_SEDESUESVALLE;ESTUDIANTES_MEN_REFERENCIA;FUENTE_MATRICULA_FINAL;ESTADO_COMPLEMENTO_MATRICULA;REQUIERE_VALIDACION_MATRICULA;CONECTADA_ACUEDUCTO;NOMBRE_ACUEDUCTO;IRCA_ORIGINAL;NIVEL_RIESGO_IRCA;CODIGO_SISA_ACUEDUCTO;TRATAMIENTO_EN_ESCUELA;FUENTE_ABASTO;CALIFICACION_BLOQUE_AGUA;CONCEPTO_SANITARIO;FECHA_VISITA;TIPO_CRUCE;ESTADO_CRUCE;ESTADO_GEORREFERENCIACION;OBSERVACION_CRUCE;ID_SEDESUESVALLE;INSTITUCION_INS;SEDE_INS;ESTADO_SEDE;NATURALEZA;JORNADA;NIVEL_EDUCATIVO;DIRECCION_MAPA;LONGITUD;LATITUD;LONGITUD_SEDESUESVALLE;LATITUD_SEDESUESVALLE;LONGITUD_MEN;LATITUD_MEN;FUENTE_COORDENADA;ESTADO_COORDENADA;BENEFICIARIOS_PAE_2025_1SI;TOTAL_GENERAL_INS;MEN_ANIO;MEN_ESTABLECIMIENTO;MEN_SEDE;MEN_ZONA;MEN_DIRECCION;MEN_METODO_CRUCE;MEN_SCORE_CRUCE;GRUPO_SEGUIMIENTO;RIESGO_IRCA_AGRUPADO;BRECHAS_INFORMACION;TIENE_BRECHA_INFORMACION;CALIDAD_DATO_SEDE;INDICE_PRIORIDAD_SANITARIA_ESCOLAR;NIVEL_PRIORIDAD_ANALITICA;ACCION_SUGERIDA;SCORE_PRIORIDAD;NIVEL_PRIORIDAD
1;276100000631;BOLIVAR;ESCUELA N. 47 LA CARMELITA;RURAL;VDA CARTAGUITO;;3216376721;4;4;6;9;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;NO;SIN DATO;SD;SIN DATO;SIN DATO;FILTRO;NACIMIENTO;10.5;DESFAVORABLE;2025-06-03;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;119;INSTITUCION EDUCATIVA BETANIA;LA CARMELITA;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN MEDIA;VDA CARTAGUITO;-76.38327591;4.447803079;-76.38327591;4.447803079;-76.38;4.45;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;6;2.019;IE BETANIA;LA CARMELITA;RURAL;VDA CARTAGUITO;COINCIDENCIA_NOMBRE_FUERTE;0.93;BRECHA INFORMACION;Sin dato / información incompleta;SIN_DATO_IRCA;SI;BAJA;37.27;MEDIA;Gestionar actualización de la clasificación IRCA del sistema asociado.;0.42;BAJA
2;276100000232;BOLIVAR;ESCUELA FRANCISCO DE PAULA SANTANDER N. 18;RURAL;VDA CABAÑAS BAJAS;;3136485145;11;11;0;7;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;SIN DATO;RIESGO ALTO;ALTO;11681;ACUEDUCTO RURAL;NACIMIENTO;22.5;FAVORABLE CON REQUERIMIENTOS;2025-06-03;SIN_COINCIDENCIA;PENDIENTE;GEORREFERENCIADA;;;;;;;;;;-76.3;4.48;;;-76.3;4.48;MEN_SEDES;COMPLEMENTADA_CON_MEN;0;0;2.019;IE BETANIA;FRANCISCO DE PAULA SANTANDER;RURAL;VDA CABAÑAS BAJAS;COINCIDENCIA_NOMBRE_FUERTE;0.93;PRIORITARIO;Alto e inviable;CRUCE_PENDIENTE;SI;MEDIA;57.79;ALTA;Programar seguimiento operativo y verificar condiciones del sistema abastecedor.;3.4;BAJA
3;276100000089;BOLIVAR;ESCUELA STA MONICA N. 33;RURAL;VDA RIO DOVIO;;3178536384;10;10;5;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;NO;SIN DATO;SD;SIN DATO;SIN DATO;FILTRO;NACIMIENTO;24.5;FAVORABLE CON REQUERIMIENTOS;2025-06-03;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;116;INSTITUCION EDUCATIVA BETANIA;SANTA MONICA;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN MEDIA;VDA RIO DOVIO;-76.3648576;4.454649978;-76.3648576;4.454649978;;;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;5;;;;;;SIN_COINCIDENCIA_FUERTE;0.611;BRECHA INFORMACION;Sin dato / información incompleta;SIN_DATO_IRCA;SI;BAJA;35.21;MEDIA;Gestionar actualización de la clasificación IRCA del sistema asociado.;0.55;BAJA
4;276100000542;BOLIVAR;ESCUELA RAFAEL NUÑEZ N. 27;RURAL;VDA BUENOS AIRES;;3238023916;9;9;0;12;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;;RIESGO ALTO;ALTO;SIN DATO;NACIMIENTO;NACIMIENTO;22.5;FAVORABLE CON REQUERIMIENTOS;2025-06-18;SIN_COINCIDENCIA;PENDIENTE;GEORREFERENCIADA;;;;;;;;;;-76.34;4.39;;;-76.34;4.39;MEN_SEDES;COMPLEMENTADA_CON_MEN;0;0;2.019;IE NARANJAL;RAFAEL NUÑEZ;RURAL;VDA BUENOS AIRES;COINCIDENCIA_NOMBRE_FUERTE;0.93;PRIORITARIO;Alto e inviable;CRUCE_PENDIENTE;SI;MEDIA;57.3;ALTA;Programar seguimiento operativo y verificar condiciones del sistema abastecedor.;3.15;BAJA
5;;BOLIVAR;I.E. BETANIA SEDE SAN AUGUSTIN;RURAL;VDA LAS CABAÑAS CGTO BETANIA;;3238023916;6;6;4;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;NO;SIN DATO;SD;SIN DATO;SIN DATO;NO REGISTRA;NACIMIENTO;15.5;FAVORABLE CON REQUERIMIENTOS;2025-06-03;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;GEORREFERENCIADA;;121;INSTITUCION EDUCATIVA BETANIA;SAN AGUSTIN;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN MEDIA;VD LA CABAÑAS ALTAS;-76.3648595472;4.3636816971;-76.3648595472;4.3636816971;;;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;4;;;;;;POSIBLE_COINCIDENCIA_REVISAR;0.846;BRECHA INFORMACION;Sin dato / información incompleta;SIN_DATO_IRCA;SI;BAJA;33.98;BAJA;Gestionar actualización de la clasificación IRCA del sistema asociado.;0.44;BAJA
6;276113000444;BUGALAGRANDE;IE CEILAN SEDE JOSE JOAQUIN CASAS (I.D);RURAL;VDA CAMPOALEGRE;JOSE JOAQUIN CASAS (I.D);3105863144;9;9;11;16;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE CAMPO ALEGRE DE CEYLAN;RIESGO ALTO;ALTO;10452;;NACIMIENTO;23;FAVORABLE CON REQUERIMIENTOS;2026-03-26;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;169;INSTITUCION EDUCATIVA CEILAN;JOSE JOAQUIN CASAS;ACTIVA;OFICIAL;UNICA;EDUCACIÓN BÁSICA PRIMARIA;VDA CAMPO ALEGRE;-76.041565;4.13651;-76.041565;4.13651;-76.04;4.14;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;11;2.019;IE  CEILAN;JOSE JOAQUIN CASAS;RURAL;VDA CAMPO ALEGRE;COINCIDENCIA_NOMBRE_FUERTE;0.98;PRIORITARIO;Alto e inviable;SIN_BRECHAS;NO;ALTA;55.3;ALTA;Programar seguimiento operativo y verificar condiciones del sistema abastecedor.;3.15;BAJA
7;276863000128;VERSALLES;I.E LA INMACULADA SEDE SANTO TOMAS DE AQUINO;RURAL;CORREGIMIENTO EL VERGEL;SANTO TOMAS DE AQUINO;No Registra;10;10;10;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ACUEDUCTO RURAL EL VERGEL;SD;SIN DATO;SD;ACUEDUCTO RURAL;NACIMIENTO;SD;SIN CONCEPTO;;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;891;INSTITUCION EDUCATIVA LA INMACULADA;SANTO TOMÁS DE AQUINO;ACTIVA;OFICIAL;COMPLETA;EDUCACIÓN MEDIA;VEREDA EL VERGEL;-76.27919494;4.610151313;-76.27919494;4.610151313;;;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;10;;;;;;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;BRECHA INFORMACION;Sin dato / información incompleta;SIN_DATO_IRCA;SI;BAJA;31.61;BAJA;Gestionar actualización de la clasificación IRCA del sistema asociado.;0.52;BAJA
8;376041000031;ANSERMANUEVO;I.E JORGE ISAAC SEDE NUESTRA SEÑORA DE FATIMA;RURAL;VEREDA LA DIVISA;NUESTRA SEÑORA DE FATIMA;3128356783;10;10;0;18;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ASOCIACIÓN GESTIÓN COMUNITARIA DE AGUA DE LA COMUNIDAD VEREDA LA DIVISA;INVIABLE SANITARIAMENTE;INVIABLE SANITARIAMENTE;530;ACUEDUCTO RURAL;NACIMIENTO AGUA BONITA;22/30;FAVORABLE CON REQUERIMIENTOS;2025-11-13;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;48;;;ACTIVA;ORGANIZACIÓN CON FINES DE LUCRO;MAÑANA;EDUCACIÓN MEDIA;CLL 5 CRA 6 ESQ.;-75.9299971963;4.83145039855;-75.9299971963;4.83145039855;-76.11;4.83;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;2;0;2.019;IE JORGE ISAACS;NUESTRA SEÑORA DE FATIMA;RURAL;VDA. LA DIVISA;COINCIDENCIA_NOMBRE_FUERTE;0.941;PRIORITARIO;Alto e inviable;SIN_BRECHAS;NO;ALTA;69.31;ALTA;Priorizar revisión técnica, validación en campo y articulación con sector educativo.;4.37;MEDIA
9;276563000576;PRADERA;I.E. MARCO FIDEL SUAREZ SEDE SAN ANTONIO;RURAL;CORREGIMIENTO SAN ANTONIO;SAN ANTONIO;3113015917;10;10;10;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;SAN ANTONIO;INVIABLE SANITARIAMENTE;INVIABLE SANITARIAMENTE;;ACUEDUCTO RURAL - FILTRO EKOFIL;NACIMIENTO AGUA DULCE;15/30;DESFAVORABLE;2017-08-17;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;618;INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ;SAN ANTONIO;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN BÁSICA PRIMARIA;VDA SAN ANTONIO;-76.1871532339;3.40340795592;-76.1871532339;3.40340795592;;;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;10;;;;;;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;PRIORITARIO;Alto e inviable;SIN_BRECHAS;NO;ALTA;73.51;ALTA;Priorizar revisión técnica, validación en campo y articulación con sector educativo.;5.0;MEDIA
10;276606000095;RESTREPO;I.E. TEODORO MUNERA HINCAPIE SEDE SIMON BOLIVAR;RURAL;VDA AGUA LINDA;SIMON BOLIVAR;3136569884;6;6;7;5;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA DEL ACUEDUCTO AGUALINDA;SIN RIESGO;SIN RIESGO;3400;FILTRO EKOFIL;NACIMIENTO AGUALINDA;26.5;FAVORABLE CON REQUERIMIENTOS;2025-08-15;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;634;INSTITUCION EDUCATIVA TEODORO MUNERA HINCAPIE;SIMON BOLIVAR;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN BÁSICA PRIMARIA;VDA AGUA LINDA;-76.501102;3.826796;-76.501102;3.826796;-76.5;3.83;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;7;2.019;I.E. TEODORO MUNERA HINCAPIE;SIMON BOLIVAR;RURAL;VEREDA AGUALINDA;COINCIDENCIA_NOMBRE_FUERTE;0.98;RUTINARIO;Sin riesgo y bajo;SIN_BRECHAS;NO;ALTA;13.08;BAJA;Mantener seguimiento rutinario con control territorial rural.;0.0;BAJA
