ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;ZONA_IRCA;DIRECCION_IRCA;NOMBRE_ABREVIADO_IRCA;TELEFONO_IRCA;ESTUDIANTES_ACTUAL;ESTUDIANTES_IRCAS;ESTUDIANTES_SEDESUESVALLE;ESTUDIANTES_MEN_REFERENCIA;FUENTE_MATRICULA_FINAL;ESTADO_COMPLEMENTO_MATRICULA;REQUIERE_VALIDACION_MATRICULA;CONECTADA_ACUEDUCTO;NOMBRE_ACUEDUCTO;IRCA_ORIGINAL;NIVEL_RIESGO_IRCA;CODIGO_SISA_ACUEDUCTO;TRATAMIENTO_EN_ESCUELA;FUENTE_ABASTO;CALIFICACION_BLOQUE_AGUA;CONCEPTO_SANITARIO;FECHA_VISITA;TIPO_CRUCE;ESTADO_CRUCE;ESTADO_GEORREFERENCIACION;OBSERVACION_CRUCE;ID_SEDESUESVALLE;INSTITUCION_INS;SEDE_INS;ESTADO_SEDE;NATURALEZA;JORNADA;NIVEL_EDUCATIVO;DIRECCION_MAPA;LONGITUD;LATITUD;LONGITUD_SEDESUESVALLE;LATITUD_SEDESUESVALLE;LONGITUD_MEN;LATITUD_MEN;FUENTE_COORDENADA;ESTADO_COORDENADA;BENEFICIARIOS_PAE_2025_1SI;TOTAL_GENERAL_INS;MEN_ANIO;MEN_ESTABLECIMIENTO;MEN_SEDE;MEN_ZONA;MEN_DIRECCION;MEN_METODO_CRUCE;MEN_SCORE_CRUCE;GRUPO_SEGUIMIENTO;RIESGO_IRCA_AGRUPADO;BRECHAS_INFORMACION;TIENE_BRECHA_INFORMACION;CALIDAD_DATO_SEDE;INDICE_PRIORIDAD_SANITARIA_ESCOLAR;NIVEL_PRIORIDAD_ANALITICA;ACCION_SUGERIDA;SCORE_PRIORIDAD;NIVEL_PRIORIDAD
74;;ARGELIA;I.E SANTIAGO GUTIERREZ ANGEL SEDE CRISTOBAL COLON-FUNDACION PRODESARROLLO COMUNITARIO;RURAL;VEREDA LA AURORA;CRISTOBAL COLON-FUNDACION PRODESARROLLO COMUNITARIO;3153279111;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;COOPERATIVA SAN ROQUE LAS BRISAS RAIZAL LA AURORA -SISTEMA # 2;SIN RIESGO;SIN RIESGO;3511;ACUEDUCTO RURAL;Q. LOS CHORROS - Q. ALTO TIGRE;26/30;FAVORABLE CON REQUERIMIENTOS;2026-01-29;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;;87;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA";SI;BAJA;12.2;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
80;;ARGELIA;I.E GILBERTO ALZATE AVENDAÑO SEDE MANUEL MEJIA VELEZ;URBANO;CALLE 3 # 1  - 27;MANUEL MEJIA VELEZ;3113858488;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;64;PLANTA ACUAVALLE S.A ESP;Q, EL DIAMANTE;No Registra;NO REGISTRA;;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;;85;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA";SI;BAJA;8.6;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
85;276828000387;BOLIVAR;UNIDAD EDUCATIVA RODRIGO LLOREDA CAICEDO;RURAL;CGTO CERRO AZUL;;3162793452;113;113;0;120;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ASOCIACION DE USUARIOS DE ABASTO CORREGIMIENTO CERRO AZUL Y LAS VEREDAS SIRIA Y LA SOLEDAD;SIN RIESGO;SIN RIESGO;200;ACUEDUCTO RURAL;RIO CALAMAR;26.0;FAVORABLE CON REQUERIMIENTOS;2025-04-07;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;0.0;0.0;SIN_COORDENADA;SIN_COORDENADA;0;0;2.019;IE RODRIGO LLOREDA CAICEDO;RODRIGO LLOREDA;RURAL;CORREG CERROAZUL;COINCIDENCIA_NOMBRE_FUERTE;0.93;RUTINARIO;Sin riesgo y bajo;"SIN_COORDENADA; CRUCE_PENDIENTE";SI;MEDIA;22.66;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
87;276828000166;BOLIVAR;CENTRO EDUCATIVO CENT DOC ANTONIO NARIÑO N. 16;RURAL;VDA LA SOLEDAD;;3238023916;3;3;0;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ASOCIACION DE USUARIOS DE ABASTO CORREGIMIENTO CERRO AZUL Y LAS VEREDAS SIRIA Y LA SOLEDAD;SIN RIESGO;SIN RIESGO;200;ACUEDUCTO RURAL;QUEBRADA;24.5;FAVORABLE CON REQUERIMIENTOS;2025-04-07;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;RUTINARIO;Sin riesgo y bajo;"SIN_COORDENADA; CRUCE_PENDIENTE";SI;MEDIA;13.56;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
90;;BOLIVAR;I.E RODRIGO LLOREDA CAICEDO SEDE DIEGO FALLON;RURAL;CGTO CRISTALES;;3162793452;35;35;0;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ACUEDUCTO RURAL CRISTALES;SD;SIN DATO;S.D;ACUEDUCTO RURAL;S.D;22.5;FAVORABLE CON REQUERIMIENTOS;2025-06-09;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;;126;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;BRECHA INFORMACION;Sin dato / información incompleta;"SIN_DATO_IRCA; SIN_COORDENADA";SI;BAJA;38.43;MEDIA;Gestionar actualización de la clasificación IRCA del sistema asociado.;0.82;BAJA
91;276828000182;BOLIVAR;ESCUELA JOSE ANTONIO GALAN N. 18;RURAL;VDA MORABITO;;3162793452;8;8;0;18;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ACUEDUCTO RURAL MORAVITO;SD;SIN DATO;S.D;ACUEDUCTO RURAL;S.D;22.5;FAVORABLE CON REQUERIMIENTOS;2025-06-09;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;0.0;0.0;SIN_COORDENADA;SIN_COORDENADA;0;0;2.019;IE RODRIGO LLOREDA CAICEDO;JOSE ANTONIO GALAN;RURAL;VER MORAVITO;COINCIDENCIA_NOMBRE_FUERTE;0.93;BRECHA INFORMACION;Sin dato / información incompleta;"SIN_DATO_IRCA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;34.66;BAJA;Gestionar actualización de la clasificación IRCA del sistema asociado.;0.5;BAJA
93;276100000364;BOLIVAR;ESCUELA SAN JUAN BOSCO N. 7;RURAL;CGTO NARANJAL;;3164964964;50;50;0;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ASOCIACION DE USUARIOS ACUEDCUTO DE NARANJAL;RIESGO MEDIO;MEDIO;2168;ACUEDUCTO RURAL;QUEBRADA SANTA BARBARA;25.5;FAVORABLE CON REQUERIMIENTOS;2025-04-10;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.65;PREVENTIVO;Medio;"SIN_COORDENADA; CRUCE_PENDIENTE";SI;MEDIA;42.47;MEDIA;Mantener seguimiento preventivo por matrícula significativa.;3.59;BAJA
98;;BOLIVAR;I.E LA TULIA SEDE PRINCIPAL;RURAL;CGTO LA TULIA;;3178815835;149;149;0;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA;RIESGO ALTO;ALTO;1116;ACUEDUCTO RURAL;QUEBRADA LA TESALIA;26.0;FAVORABLE CON REQUERIMIENTOS;2025-05-14;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;;102;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.681;PRIORITARIO;Alto e inviable;SIN_COORDENADA;SI;MEDIA;64.65;ALTA;Programar seguimiento operativo y verificar condiciones del sistema abastecedor.;6.85;ALTA
101;276828000204;BOLIVAR;ESCUELA JOSE MARIA CORDOBA N. 20;RURAL;VEREDA DOS QUEBRADAS;;3162793452;8;8;0;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ACUEDUTO RURAL DE DOS QUEBRDAS;SD;SIN DATO;S.D;ACUEDUCTO RURAL;S.D;26.5;FAVORABLE CON REQUERIMIENTOS;2025-06-18;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;BRECHA INFORMACION;Sin dato / información incompleta;"SIN_DATO_IRCA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;34.66;BAJA;Gestionar actualización de la clasificación IRCA del sistema asociado.;0.5;BAJA
103;276100000704;BOLIVAR;INSTITUCION EDUCATIVA BETANIA;RURAL;CGTO BETANIA;;3136485145;33;33;0;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ACUEDUCTO RURAL DE BETANIA;RIESGO ALTO;ALTO;11893;ACUEDUCTO RURAL;QUBRADA LA QUERELLA;23.0;FAVORABLE CON REQUERIMIENTOS;2025-05-20;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.421;PRIORITARIO;Alto e inviable;"SIN_COORDENADA; CRUCE_PENDIENTE";SI;MEDIA;60.62;ALTA;Programar seguimiento operativo y verificar condiciones del sistema abastecedor.;4.82;MEDIA
