ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;NIVEL_RIESGO_IRCA;ESTUDIANTES_IRCAS;ESTUDIANTES_SEDESUESVALLE;ESTUDIANTES_MEN_REFERENCIA;ESTUDIANTES_ACTUAL_FINAL;FUENTE_MATRICULA_FINAL;ESTADO_COMPLEMENTO_MATRICULA;REQUIERE_VALIDACION_MATRICULA;MEN_METODO_CRUCE;MEN_SCORE_CRUCE
1;276100000631;BOLIVAR;ESCUELA N. 47 LA CARMELITA;SIN DATO;4;6;9;4;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
2;276100000232;BOLIVAR;ESCUELA FRANCISCO DE PAULA SANTANDER N. 18;ALTO;11;0;7;11;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
3;276100000089;BOLIVAR;ESCUELA STA MONICA N. 33;SIN DATO;10;5;0;10;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SIN_COINCIDENCIA_FUERTE;0.611
4;276100000542;BOLIVAR;ESCUELA RAFAEL NUÑEZ N. 27;ALTO;9;0;12;9;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
5;;BOLIVAR;I.E. BETANIA SEDE SAN AUGUSTIN;SIN DATO;6;4;0;6;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;POSIBLE_COINCIDENCIA_REVISAR;0.846
6;276113000444;BUGALAGRANDE;IE CEILAN SEDE JOSE JOAQUIN CASAS (I.D);ALTO;9;11;16;9;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.98
7;276863000128;VERSALLES;I.E LA INMACULADA SEDE SANTO TOMAS DE AQUINO;SIN DATO;10;10;0;10;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
8;376041000031;ANSERMANUEVO;I.E JORGE ISAAC SEDE NUESTRA SEÑORA DE FATIMA;INVIABLE SANITARIAMENTE;10;0;18;10;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.941
9;276563000576;PRADERA;I.E. MARCO FIDEL SUAREZ SEDE SAN ANTONIO;INVIABLE SANITARIAMENTE;10;10;0;10;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
10;276606000095;RESTREPO;I.E. TEODORO MUNERA HINCAPIE SEDE SIMON BOLIVAR;SIN RIESGO;6;7;5;6;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.98
