ID_SEDE_IRCA;COD_DANE;MUNICIPIO_BASE;NOMBRE_SEDE_BASE;MEN_COINCIDE;MEN_METODO_CRUCE;MEN_SCORE_CRUCE;MEN_ANIO;MEN_ESTABLECIMIENTO;MEN_SEDE;MEN_TOTAL_MATRICULA;MEN_LATITUD;MEN_LONGITUD;MEN_COORDENADA_VALIDA;USO_COORDENADA_MEN;USO_MATRICULA_MEN
1;276100000631;BOLIVAR;ESCUELA N. 47 LA CARMELITA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE BETANIA;LA CARMELITA;9;4.45;-76.38;SI;NO;NO
2;276100000232;BOLIVAR;ESCUELA FRANCISCO DE PAULA SANTANDER N. 18;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE BETANIA;FRANCISCO DE PAULA SANTANDER;7;4.48;-76.3;SI;SI;NO
3;276100000089;BOLIVAR;ESCUELA STA MONICA N. 33;NO;SIN_COINCIDENCIA_FUERTE;0.611;;;;0;;;NO;NO;NO
4;276100000542;BOLIVAR;ESCUELA RAFAEL NUÑEZ N. 27;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE NARANJAL;RAFAEL NUÑEZ;12;4.39;-76.34;SI;SI;NO
5;;BOLIVAR;I.E. BETANIA SEDE SAN AUGUSTIN;NO;POSIBLE_COINCIDENCIA_REVISAR;0.846;;;;0;;;NO;NO;NO
6;276113000444;BUGALAGRANDE;IE CEILAN SEDE JOSE JOAQUIN CASAS (I.D);SI;COINCIDENCIA_NOMBRE_FUERTE;0.98;2.019;IE  CEILAN;JOSE JOAQUIN CASAS;16;4.14;-76.04;SI;NO;NO
7;276863000128;VERSALLES;I.E LA INMACULADA SEDE SANTO TOMAS DE AQUINO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
8;376041000031;ANSERMANUEVO;I.E JORGE ISAAC SEDE NUESTRA SEÑORA DE FATIMA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.941;2.019;IE JORGE ISAACS;NUESTRA SEÑORA DE FATIMA;18;4.83;-76.11;SI;NO;NO
9;276563000576;PRADERA;I.E. MARCO FIDEL SUAREZ SEDE SAN ANTONIO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
10;276606000095;RESTREPO;I.E. TEODORO MUNERA HINCAPIE SEDE SIMON BOLIVAR;SI;COINCIDENCIA_NOMBRE_FUERTE;0.98;2.019;I.E. TEODORO MUNERA HINCAPIE;SIMON BOLIVAR;5;3.83;-76.5;SI;NO;NO
11;276233000481;DAGUA;I.E. GUILLERMO VALENCIA SEDE PRINCIPAL;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE GUILLERMO VALENCIA;GUILLERMO VALENCIA;85;3.68;-76.66;SI;SI;NO
12;276233000634;DAGUA;I.E. GUILLERMO VALENCIA SEDE JORGE ELIECER GAITAN;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
13;276233000260;DAGUA;I.E. SANTA TERESITA DEL NIÑO JESUS SEDE PRINCIPAL;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE SANTA TERESITA DEL NIÑO JESUS;SANTA TERESITA DEL NIÑO JESUS;434;3.55;-76.65;SI;SI;NO
14;;DAGUA;I.E. SANTA TERESITA DEL NIÑO JESUS SEDE ALTERNA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE SANTA TERESITA DEL NIÑO JESUS;SANTA TERESITA DEL NIÑO JESUS;434;3.55;-76.65;SI;SI;NO
15;276041000240;ANSERMANUEVO;I.E JORGE ISAAC SEDE ATANASIO GIRARDOT;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE JORGE ISAACS;ATANASIO GIRARDOT;4;4.84;-76.06;SI;NO;NO
16;276246000196;EL CAIRO;INSTITUCION EDUCATIVA LA PRESENTACION SEDE CRISTOBAL COLON;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
17;276246000099;EL CAIRO;I.E LA PRESENTACION SEDE SAN JUAN BOSCO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
18;276243000721;EL AGUILA;I.E EL AGUILA SEDE SAGRADA FAMILIA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE EL AGUILA;SAGRADA FAMILIA;9;4.92;-76.03;SI;NO;NO
19;276497000365;OBANDO;I.E SAN JOSE SEDE GABRIELA MISTRAL;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
20;276403000162;LA VICTORIA;IE NUESTRA SEÑORA DE LA PAZ SEDE ELPIDIA LEMOS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.98;;;;0;;;NO;NO;NO
21;276890000083;YOTOCO;I.E. GABRIELA MISTRAL SEDE JOSE MARIA CORDOBA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
22;276890000113;YOTOCO;I.E. SAN JUAN BOSCO SEDE CRISTOBAL COLON;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
23;276497000217;OBANDO;I.E MARIA ANALIA ORTIZ HORMANZA SEDE MERCEDDES OBREGON;NO;POSIBLE_COINCIDENCIA_REVISAR;0.889;;;;0;;;NO;NO;NO
24;276670000279;SAN PEDRO;I.E. JULIO CAICEDO TELLEZ SEDE ANTONIO NARIÑO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
25;276823000184;TORO;I.E TECNICA AGROPECUARIA TORO SEDE CAMILO TORRES;SI;COINCIDENCIA_NOMBRE_FUERTE;0.933;2.019;IE  TECNICA AGROPECUARIA TORO;CAMILO TORRES;15;4.7;-76.07;SI;NO;NO
26;276113000274;BUGALAGRANDE;I.E. MARIANO GONZALEZ SEDE JUAN JOSE RENDON;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE MARIANO GONZALEZ;MARIANO GONZALEZ;56;4.17;-76.06;SI;NO;NO
27;276243000276;EL AGUILA;I.E JUSTINIANO ECHAVARRIA SEDE MERCEDES ABREGO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE JUSTINIANO ECHAVARRIA;MERCEDES ABREGO;22;5.0;-76.05;SI;NO;NO
28;276890000199;YOTOCO;I.E. GABRIELA MISTRAL SEDE MANUELA BELTRAL;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE GABRIELA MISTRAL;GABRIELA MISTRAL;331;3.88;-76.45;SI;NO;NO
29;276020000053;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE MANUELA BELTRAN;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.932;;;;0;;;NO;NO;NO
30;276020000100;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE SAN JUAN BOSCO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
31;276020000169;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE MANUEL MEJIA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
32;276020000223;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE SIMON BOLIVAR;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
33;476020000249;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE PRINCIPAL;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE ARTURO GOMEZ JARAMILLO;ARTURO GOMEZ JARAMILLO;695;4.67;-75.78;SI;NO;NO
34;276563000321;PRADERA;I.E. MERCEDES ABREGO SEDE JORGE ELIECER GAITAN;SI;COINCIDENCIA_NOMBRE_FUERTE;0.98;2.019;I.E. MERCEDES ABREGO;JORGE ELIECER GAITAN;15;3.43;-76.17;SI;NO;NO
