ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;FECHA_VISITA;VALIDACION
7;276863000128;VERSALLES;I.E LA INMACULADA SEDE SANTO TOMAS DE AQUINO;;FECHA VACÍA O NO INTERPRETABLE
31;276020000169;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE MANUEL MEJIA;2026-10-28;FECHA POSTERIOR AL CORTE
44;276233000189;DAGUA;I.E. CRISTOBAL COLON SEDE SAN ANTONIO;;FECHA VACÍA O NO INTERPRETABLE
46;276863000080;VERSALLES;I.E CARLOS HOLGUIN SARDI SEDE SAN ROQUE;;FECHA VACÍA O NO INTERPRETABLE
121;276248000100;EL CERRITO;I.E. HERNANDO BORRERO CUADROS SEDE MANUELA BELTRAN;;FECHA VACÍA O NO INTERPRETABLE
127;276041000371;ANSERMANUEVO;I.E JORGE ISAAC SEDE JORGE ISAAC;;FECHA VACÍA O NO INTERPRETABLE
134;276736000437;SEVILLA;IE SANTA TERESITA SEDE LA MAGDALENA;;FECHA VACÍA O NO INTERPRETABLE
157;276736000151;SEVILLA;I.E. JORGE ELIECER GAITAN SEDE SANTA ANA;;FECHA VACÍA O NO INTERPRETABLE
170;;ARGELIA;I.E GILBERTO ALZATE AVENDAÑO SEDE MANUEL MEJIA VELEZ;;FECHA VACÍA O NO INTERPRETABLE
180;276233000111;DAGUA;I.E. SAN PEDRO CLAVER SEDE GENERAL CARLOS ALBAN;;FECHA VACÍA O NO INTERPRETABLE
184;;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO SEDE FRANCISCO JOSE DE CALDAS-FUNDACION PRODESARROLLO COMUNITARIO;;FECHA VACÍA O NO INTERPRETABLE
314;276606000338;RESTREPO;I.E. JOSE ACEVEDO Y GOMEZ SEDE GUILLERMO LEON VALENCIA;2026-06-18;FECHA POSTERIOR AL CORTE
363;276041000061;ANSERMANUEVO;I.E EL PLACER SEDE CAMILO TORRES;;FECHA VACÍA O NO INTERPRETABLE
394;276823000290;TORO;I.E NUESTRA SEÑORA DE LA CONSOLACIÓN SEDE BOYACA;;FECHA VACÍA O NO INTERPRETABLE
395;276823000508;TORO;I.E AGROPECUARIA TORO SEDE CARLOTA RENGIFO;;FECHA VACÍA O NO INTERPRETABLE
433;276622000461;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO SEDE GABRIELA MISTRAL;;FECHA VACÍA O NO INTERPRETABLE
441;276863800001;VERSALLES;I.E LA INMACULADA SEDE LIBARDO DE JESUS GOMEZ CARDONA;;FECHA VACÍA O NO INTERPRETABLE
