PERIODO_NORMALIZADO,PERIODO_ORDEN,ACTIVIDADES,CODIGO,CODIGO_ACTIVIDAD,ARO,TIPO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
Enero - Junio,2,Actividades Administrativas,12.1,12.1,CALI,CONTRATISTA,2026,8,4,1,156.0,128.0,28.0,28.0,0.0,0.8205128205128205,0.8205128205128205,Cumplido
Enero - Junio,2,Actividades Administrativas,12.1,12.1,CALI,PLANTA,2026,2,1,1,18.0,8.0,10.0,10.0,0.0,0.4444444444444444,0.4444444444444444,Bajo
Enero - Junio,2,Actividades Administrativas,12.1,12.1,CARTAGO,CONTRATISTA,2026,4,2,1,78.0,49.0,29.0,29.0,0.0,0.6282051282051282,0.6282051282051282,Medio
Enero - Junio,2,Actividades Administrativas,12.1,12.1,CARTAGO,PLANTA,2026,4,2,1,36.0,36.0,0.0,13.0,13.0,1.0,1.0,Cumplido
Enero - Junio,2,Actividades Administrativas,12.1,12.1,TULUA,CONTRATISTA,2026,6,3,1,116.0,96.0,20.0,20.0,0.0,0.8275862068965517,0.8275862068965517,Cumplido
Enero - Junio,2,Actividades Administrativas,12.1,12.1,TULUA,PLANTA,2026,2,1,1,30.0,19.0,11.0,11.0,0.0,0.6333333333333333,0.6333333333333333,Medio
Enero - Junio,2,Actividades Administrativas,12.3,12.3,CALI,CONTRATISTA,2026,4,4,1,88.0,64.0,24.0,24.0,0.0,0.7272727272727273,0.7272727272727273,Medio
Enero - Junio,2,Actividades Administrativas,12.3,12.3,CALI,PLANTA,2026,1,1,1,23.0,16.0,7.0,7.0,0.0,0.6956521739130435,0.6956521739130435,Medio
Enero - Junio,2,Actividades Administrativas,12.3,12.3,CARTAGO,CONTRATISTA,2026,2,2,1,44.0,32.0,12.0,12.0,0.0,0.7272727272727273,0.7272727272727273,Medio
Enero - Junio,2,Actividades Administrativas,12.3,12.3,CARTAGO,PLANTA,2026,2,2,1,46.0,33.0,13.0,13.0,0.0,0.717391304347826,0.717391304347826,Medio
Enero - Junio,2,Actividades Administrativas,12.3,12.3,TULUA,CONTRATISTA,2026,3,3,1,66.0,48.0,18.0,18.0,0.0,0.7272727272727273,0.7272727272727273,Medio
Enero - Junio,2,Actividades Administrativas,12.3,12.3,TULUA,PLANTA,2026,1,1,1,26.0,16.0,10.0,10.0,0.0,0.6153846153846154,0.6153846153846154,Medio
Enero - Junio,2,Actividades Administrativas,12.4,12.4,CALI,CONTRATISTA,2026,4,4,1,24.0,20.0,4.0,4.0,0.0,0.8333333333333334,0.8333333333333334,Cumplido
Enero - Junio,2,Actividades Administrativas,12.4,12.4,CALI,PLANTA,2026,1,1,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Junio,2,Actividades Administrativas,12.4,12.4,CARTAGO,CONTRATISTA,2026,2,2,1,10.0,10.0,0.0,1.0,1.0,1.0,1.0,Cumplido
Enero - Junio,2,Actividades Administrativas,12.4,12.4,CARTAGO,PLANTA,2026,2,2,1,12.0,20.0,-8.0,1.0,9.0,1.6666666666666667,1.0,Supera meta
Enero - Junio,2,Actividades Administrativas,12.4,12.4,TULUA,CONTRATISTA,2026,3,3,1,18.0,15.0,3.0,3.0,0.0,0.8333333333333334,0.8333333333333334,Cumplido
Enero - Junio,2,Actividades Administrativas,12.4,12.4,TULUA,PLANTA,2026,1,1,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Junio,2,Actividades Administrativas,12.5,12.5,CALI,CONTRATISTA,2026,4,4,1,24.0,20.0,4.0,4.0,0.0,0.8333333333333334,0.8333333333333334,Cumplido
Enero - Junio,2,Actividades Administrativas,12.5,12.5,CALI,PLANTA,2026,1,1,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Junio,2,Actividades Administrativas,12.5,12.5,CARTAGO,CONTRATISTA,2026,2,2,1,12.0,8.0,4.0,4.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Junio,2,Actividades Administrativas,12.5,12.5,CARTAGO,PLANTA,2026,2,2,1,12.0,8.0,4.0,4.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Junio,2,Actividades Administrativas,12.5,12.5,TULUA,CONTRATISTA,2026,3,3,1,18.0,15.0,3.0,3.0,0.0,0.8333333333333334,0.8333333333333334,Cumplido
Enero - Junio,2,Actividades Administrativas,12.5,12.5,TULUA,PLANTA,2026,1,1,1,6.0,2.0,4.0,4.0,0.0,0.3333333333333333,0.3333333333333333,Bajo
Enero - Junio,2,Actividades Administrativas,12.6,12.6,CALI,CONTRATISTA,2026,4,4,1,12.0,12.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Actividades Administrativas,12.6,12.6,CALI,PLANTA,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Actividades Administrativas,12.6,12.6,CARTAGO,CONTRATISTA,2026,2,2,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Junio,2,Actividades Administrativas,12.6,12.6,CARTAGO,PLANTA,2026,2,2,1,2.0,5.0,-3.0,0.0,3.0,2.5,1.0,Supera meta
Enero - Junio,2,Actividades Administrativas,12.6,12.6,TULUA,CONTRATISTA,2026,3,3,1,7.0,9.0,-2.0,0.0,2.0,1.2857142857142858,1.0,Supera meta
