PERIODO_NORMALIZADO,PERIODO_ORDEN,MUNICIPIO_NORMALIZADO,ARO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
Enero - Junio,2,ALCALA,CARTAGO,2026,7,1,7,31.0,4.0,27.0,27.0,0.0,0.12903225806451613,0.12903225806451613,Crítico
Enero - Junio,2,ANDALUCIA,TULUA,2026,6,1,6,21.0,10.0,11.0,11.0,0.0,0.47619047619047616,0.47619047619047616,Bajo
Enero - Junio,2,ANSERMANUEVO,CARTAGO,2026,8,2,5,26.0,24.0,2.0,2.0,0.0,0.9230769230769231,0.9230769230769231,Cumplido
Enero - Junio,2,ARGELIA,CARTAGO,2026,5,1,5,8.0,7.0,1.0,1.0,0.0,0.875,0.875,Cumplido
Enero - Junio,2,BOLIVAR,TULUA,2026,6,1,6,57.0,27.0,30.0,30.0,0.0,0.47368421052631576,0.47368421052631576,Bajo
Enero - Junio,2,BUGALAGRANDE,TULUA,2026,4,1,4,37.0,28.0,9.0,9.0,0.0,0.7567567567567568,0.7567567567567568,Medio
Enero - Junio,2,CAICEDONIA,TULUA,2026,6,1,6,54.0,30.0,24.0,24.0,0.0,0.5555555555555556,0.5555555555555556,Bajo
Enero - Junio,2,CALIMA,TULUA,2026,7,1,7,50.0,39.0,11.0,12.0,1.0,0.78,0.78,Medio
Enero - Junio,2,DAGUA,CALI,2026,11,3,5,143.0,138.0,5.0,13.0,8.0,0.965034965034965,0.965034965034965,Cumplido
Enero - Junio,2,EL AGUILA,CARTAGO,2026,8,2,5,53.0,33.0,20.0,20.0,0.0,0.6226415094339622,0.6226415094339622,Medio
Enero - Junio,2,EL CAIRO,CARTAGO,2026,9,2,6,27.0,20.0,7.0,7.0,0.0,0.7407407407407407,0.7407407407407407,Medio
Enero - Junio,2,EL CERRITO,CALI,2026,6,2,5,35.0,37.0,-2.0,0.0,2.0,1.0571428571428572,1.0,Supera meta
Enero - Junio,2,EL DOVIO,CARTAGO,2026,9,2,9,58.0,41.0,17.0,19.0,2.0,0.7068965517241379,0.7068965517241379,Medio
Enero - Junio,2,FLORIDA,CALI,2026,6,1,6,17.0,7.0,10.0,11.0,1.0,0.4117647058823529,0.4117647058823529,Bajo
Enero - Junio,2,FLORIDA-PRADERA,CALI,2026,1,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,GINEBRA,CALI,2026,5,2,5,44.0,9.0,35.0,36.0,1.0,0.20454545454545456,0.20454545454545456,Crítico
Enero - Junio,2,GUACARI,CALI,2026,6,1,6,19.0,14.0,5.0,5.0,0.0,0.7368421052631579,0.7368421052631579,Medio
Enero - Junio,2,LA CUMBRE,CALI,2026,8,2,7,49.0,36.0,13.0,15.0,2.0,0.7346938775510204,0.7346938775510204,Medio
Enero - Junio,2,LA UNION,CARTAGO,2026,9,2,9,43.0,36.0,7.0,8.0,1.0,0.8372093023255814,0.8372093023255814,Cumplido
Enero - Junio,2,LA VICTORIA,CARTAGO,2026,8,3,5,17.0,8.0,9.0,9.0,0.0,0.47058823529411764,0.47058823529411764,Bajo
Enero - Junio,2,MESAS TECNICAS,CALI,2026,1,1,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,MESAS TECNICAS,CARTAGO,2026,2,2,1,8.0,5.0,3.0,3.0,0.0,0.625,0.625,Medio
