id_establecimiento,aro,municipio,establecimiento,ubicacion,direccion,estado_actual,fecha_estado,poblacion_actual,vigencia,fuente_estado,motivo_estado,reemplaza_a,reemplazado_por,prioridad_sanitaria,fecha_diagnostico,n_fotos
ATI-001,ARO Norte - Cartago,Ansermanuevo,Alcaldía Municipal de Ansermanuevo,Área urbana / Sin dato,,Activo - ocupado,2026-08-21,25,Vigente,Lista de chequeo UESVALLE 21/08,Último estado directo disponible.,ATI-002,,Baja,2026-08-21,0
ATI-002,ARO Norte - Cartago,Ansermanuevo,Parque Recreacional,Área urbana / Sin dato,,Trasladado / reubicado,2026-08-21,0,Histórico,Carpeta municipal Ansermanuevo,El seguimiento posterior se realiza en la Alcaldía Municipal.,,ATI-001,No concluyente,2026-08-12,0
ATI-003,ARO Centro - Tuluá,Caicedonia,Coliseo CIC - Caicedonia,Sin dirección documentada,,Activo - ocupado,2026-08-14,9,Vigente,Registro EIS UESVALLE,Último diagnóstico directo disponible.,,,Baja,2026-08-14,0
ATI-004,ARO Centro - Tuluá,Calima,CIC - Centro de Integración Ciudadana,CIC - Centro de Integración Ciudadana,,Activo - ocupado,2026-08-26,22,Vigente,PIC/Gobernación · fuente complementaria,Seguimiento complementario del CIC; diagnóstico sanitario directo se conserva separado.,,,Alta,2026-08-14,5
ATI-005,ARO Norte - Cartago,El Águila,Colegio Parroquial El Águila,Área urbana / Sin dato,,Activo - ocupado,2026-08-25,12,Vigente,PIC/Gobernación · fuente complementaria,Seguimiento complementario asociado al antiguo colegio/parroquia; alias de sitio de alta confianza.,,,Baja,2026-08-18,0
ATI-006,ARO Norte - Cartago,La Unión,Coliseo Angelino Garzón,Calle 12 #7-180,,Cerrado / desmontado,2026-08-31,0,Cerrado,PIC/Gobernación · fuente complementaria,El seguimiento reporta explícitamente 'No hay albergue' y 0 albergados.,,,Baja,2026-08-12,0
ATI-007,ARO Norte - Cartago,La Victoria,Coliseo CIC - Villa Mariana,Urbanización Villa Mariana,Barrio Villa Mariana,Activo - ocupado,2026-09-01,6,Vigente,Lista de chequeo UESVALLE 01/09,Nueva visita sanitaria directa al Coliseo CIC Villa Mariana.,,,Baja,2026-09-01,0
ATI-008,ARO Norte - Cartago,Obando,Caseta Comunal - Puerto Molina,Puerto Molina,,Sin verificar,2026-08-12,5,Vigente,Informe UESVALLE / carpeta municipal,No existe actualización posterior suficientemente específica para este sitio.,,,No concluyente,2026-08-12,0
ATI-009,ARO Norte - Cartago,Obando,Centro de Pensamiento Infantil,Área urbana / Sin dato,,Habilitado - sin ocupación,2026-08-12,0,Vigente,Registro EIS / carpeta municipal,Sitio habilitado sin ocupación documentada.,,,No concluyente,2026-08-12,0
ATI-010,ARO Centro - Tuluá,Restrepo,Vivienda acondicionada detrás del Coliseo Municipal,Detrás del Coliseo de Deportes Jairo Arturo Lazo,,Sin verificar,2026-08-19,,Vigente,Registro EIS UESVALLE,La última ficha no permite concluir con precisión la población/estado operacional actual.,,,Media,2026-08-19,0
