aro,fecha,municipio,establecimiento,ubicacion,direccion,poblacion_total,mujeres,hombres,ninos,ninas,agua_disponible,fuente_agua,sanitarios_separados,baterias_sanitarias,animales,felinos,caninos,otros_animales,agresiones_animales,area_preparacion_alimentos,area_limpia,rotulado,evita_contaminacion_cruzada,agua_general,excretas,residuos,alimentos_general,vectores_general,zoonosis_general,higiene,afectacion_desc,observaciones,fuente,tipo_fuente,locativo_estado,locativo_prioridad,locativo_nota,alimentos_estado,alimentos_prioridad,alimentos_nota,vectores_estado,vectores_prioridad,vectores_nota,prioridad_global,cobertura_lineas_pct,informacion_completa,id_establecimiento,id_visita
ARO Centro - Tuluá,2026-08-12,Zarzal,Primer piso Dirección Local de Salud,,Primer piso de la DLS,11,2,2,4,3,si,Acuavalle,,,No,0,0,0,,No,No Aplica,,,SI,,,Suministrados por un restaurante,,,,,,Registro de Estado Sanitario de Establecimientos.xlsx,Base EIS UESVALLE,Con información parcial,Media,Información locativa/sanitaria parcial; requiere verificación complementaria.,Con información parcial,Media,Información parcial de alimentos; requiere verificación complementaria.,Sin hallazgos relevantes,Baja,No se documentan animales domésticos; sin hallazgo vectorial reportado.,Media,100,Sí,ATI-018,ATIV-019
ARO Centro - Tuluá,2026-08-11,Calima,CIC - Centro de Integración Ciudadana,,funcionando en el CIC,22,,,3,2,Si,Acuavalle,,,No,0,0,0,No,Si,Si,Si,No,SI,SI,SI,SI,,,,,Cuenta con energia ´por medio de una planta electrica.,Registro de Estado Sanitario de Establecimientos.xlsx,Base EIS UESVALLE,Con información parcial,Media,Información locativa/sanitaria parcial; requiere verificación complementaria.,Hallazgo relevante,Alta,Se documenta condición desfavorable respecto a contaminación cruzada.,Sin hallazgos relevantes,Baja,Sin agresiones animales ni presencia de plagas/roedores documentada.,Alta,100,Sí,ATI-004,ATIV-004
ARO Centro - Tuluá,2026-08-13,Zarzal,Estadio Municipal de Zarzal,,Estadio Municipal,6,SD,SD,2,1,Si,Acuavalle,si,SD,No,0,0,0,No aplica,No,No Aplica,No Aplica,No Aplica,Si,Si,si,Si,Libre de plagas,Ninguno,,,Los alimentos son llevados ya preparados al albergue. Este albergue fue  traslado de la Secretaria de salud al estadio,Registro de Estado Sanitario de Establecimientos.xlsx,Base EIS UESVALLE,Sin hallazgos relevantes,Baja,Agua y saneamiento básico documentados como funcionales.,Sin preparación en sitio,Baja,Los alimentos se preparan fuera del alojamiento o no existe preparación en sitio.,Sin hallazgos relevantes,Baja,Sin agresiones animales ni presencia de plagas/roedores documentada.,Baja,100,Sí,ATI-017,ATIV-018
ARO Centro - Tuluá,2026-08-14,Yotoco,Coliseo Polideportivo Zawadski,,"CR 5 # 7-79
Polideportivo de la Institución Educativa Alfonso Zawadzky sede Alfonso Zawadzky",50,21,21,5,3,Si,Acuavalle,Si,3,No,0,0,0,No aplica,No,No aplica,No Aplica,No Aplica,Si,,,,,,,,Los alimentos son preparados en el centro vida y se entregan de inmediato en el albergue,Registro de Estado Sanitario de Establecimientos.xlsx,Base EIS UESVALLE,Sin hallazgos relevantes,Baja,Agua y saneamiento básico documentados como funcionales.,Sin preparación en sitio,Baja,Los alimentos se preparan fuera del alojamiento o no existe preparación en sitio.,Sin hallazgos relevantes,Baja,Sin agresiones animales ni presencia de plagas/roedores documentada.,Baja,100,Sí,ATI-016,ATIV-017
ARO Centro - Tuluá,2026-08-14,Caicedonia,Coliseo CIC - Caicedonia,,,9,2,3,3,1,si,Acuavalle,si,2,si,0,1,0,No,si,si,si,si,,,,,,,,,"Alberga a personas, la alimentación es suministrada por la alcaldía, desarrollo social, a través del ancianato. Funciona en el coliseo CIC, tiene agua potable y recolección de residuos",Registro de Estado Sanitario de Establecimientos.xlsx,Base EIS UESVALLE,Sin hallazgos relevantes,Baja,Agua y saneamiento básico documentados como funcionales.,Sin hallazgos relevantes,Baja,Área de preparación evaluada sin hallazgo crítico documentado.,Sin hallazgos relevantes,Baja,Sin agresiones animales ni presencia de plagas/roedores documentada.,Baja,100,Sí,ATI-003,ATIV-003
ARO Centro - Tuluá,2026-08-14,Calima,CIC - Centro de Integración Ciudadana,,CIC - Centro de Integración Ciudadana,50,18,21,6,5,si,Emcalima,si,6,No,0,0,0,No,si,si,si,si,,,,,,,,,Elementos de protección personal incompletos y  no se realiza lavado de manos,Registro de Estado Sanitario de Establecimientos.xlsx,Base EIS UESVALLE,Sin hallazgos relevantes,Baja,Agua y saneamiento básico documentados como funcionales.,Hallazgo relevante,Alta,Se documenta ausencia de lavado de manos durante el manejo/preparación.,Sin hallazgos relevantes,Baja,Sin agresiones animales ni presencia de plagas/roedores documentada.,Alta,100,Sí,ATI-004,ATIV-005
ARO Centro - Tuluá,2026-08-14,Sevilla,Alojamiento Temporal Municipal de Sevilla,,Alcaldía SSM,10,4,3,2,1,si,Acueducto municipal,si,12,si,0,1,0,no,no,No aplica,No aplica,No aplica,,,,,,,,,"El área de entrega de alimentos se encuentra improvisada con mesas, gradas, alimentos de consumo inmediato, entregados en recipientes desechables, no hay preparación de alimentos. La recolección de los residuos se hace a través de IDEAS S.A E.S.P",Registro de Estado Sanitario de Establecimientos.xlsx,Base EIS UESVALLE,Sin hallazgos relevantes,Baja,Agua y saneamiento básico documentados como funcionales.,Con observaciones,Media,Área de entrega de alimentos improvisada; requiere control higiénico.,Sin hallazgos relevantes,Baja,Sin agresiones animales ni presencia de plagas/roedores documentada.,Media,100,Sí,ATI-014,ATIV-015
ARO Centro - Tuluá,2026-08-12,Riofrío,I.E. Nemesio Rodríguez Escobar - Sede Principal (Fenicia),,Cra 3 No. 9-54,16,6,4,2,4,si,Acuafenicia,si,sin dato,si,1,3,0,no,no,no aplica,,,,,,,,,,,,Registro de Estado Sanitario de Establecimientos.xlsx,Base EIS UESVALLE,Sin hallazgos relevantes,Baja,Agua y saneamiento básico documentados como funcionales.,Con información parcial,Media,Información parcial de alimentos; requiere verificación complementaria.,Con observaciones,Media,Se documentan 4 animales en el alojamiento; requiere vigilancia zoonótica.,Media,100,Sí,ATI-011,ATIV-012
ARO Centro - Tuluá,2026-08-19,Restrepo,Vivienda acondicionada detrás del Coliseo Municipal,,Detrás del Coliseo de Deportes Jairo Arturo Lazo,,,,5,9,si,acueducto,si,5,si,0,6,0,no,no,no aplica,,,,,,,,,,,,Registro de Estado Sanitario de Establecimientos.xlsx,Base EIS UESVALLE,Sin hallazgos relevantes,Baja,Agua y saneamiento básico documentados como funcionales.,Con información parcial,Media,Información parcial de alimentos; requiere verificación complementaria.,Con observaciones,Media,Se documentan 6 animales en el alojamiento; requiere vigilancia zoonótica.,Media,100,Sí,ATI-010,ATIV-011
ARO Norte - Cartago,2026-08-12,La Victoria,Coliseo CIC - Villa Mariana,,Barrio Villa Mariand,16,5,3,4,4,si,Acuavalle,si,4,si,0,1,1,no,no,,,,,,,,,,,,Los alimentos son preparados y suministrados por la Alcaldía a través de restaurante en recipientes de icopor,Registro de Estado Sanitario de Establecimientos.xlsx,Base EIS UESVALLE,Sin hallazgos relevantes,Baja,Agua y saneamiento básico documentados como funcionales.,Sin preparación en sitio,Baja,Los alimentos se preparan fuera del alojamiento o no existe preparación en sitio.,Sin hallazgos relevantes,Baja,Sin agresiones animales ni presencia de plagas/roedores documentada.,Baja,100,Sí,ATI-007,ATIV-008
