aro,fecha,nombre,municipio,ubicacion,direccion,acta,nivel_fuente,danos,suspension,riesgo_colapso,riesgo_cerramiento,senalizacion,vias_seguras,grietas,bovedas_bloques,bovedas_abiertas,exposicion_restos,mov_suelo,fugas,agua,residuos_dispersion,residuos_gestion,salud_publica,restriccion,observaciones,fuente_principal,tipo_fuente,flag_exposicion_restos,flag_bovedas_abiertas,flag_riesgo_colapso,flag_restriccion,flag_salud_publica,prioridad_sanitaria,completitud_pct,n_fotos
ARO Sur - Cali,2026-08-14,CEMENTERIO CIVIL IGLESIA UNION MISIONERA EVANGELICA COLOMBIANA,Florida,B/ LA ESPERANZA,CARRERA 25 CALLE 10 ESQUINA,005023,Sin afectación,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Baja,100,0
ARO Sur - Cali,2026-08-13,CEMENTERIO COMUNITARIO SAN JOSE PAVAS,La Cumbre,LA CUMBRE,CALLE 4 CARRERA 12 VIA RESTREPO,1382026.0,Moderada,SI,SI,SI,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,Sí,No,Media,100,3
ARO Sur - Cali,2026-08-14,CEMENTERIO CRISTO RESUCITADO,Vijes,V/ SAN ISIDRO,VIA PANORAMA VIJES,003605,Moderada,SI,SI,NO,NO,NO,SI,SI,SI,NO,SI,NO,NO,SI,NO,SI,SI,SI,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,Sí,No,No,Sí,Sí,Alta,100,3
ARO Sur - Cali,2026-08-14,CEMENTERIO CRISTO REY,Guacari,SALIDA A GUACARI,CARRERA 4 # 1 -16,16402.0,Moderada,SI,SI,NO,NO,NO,NO,SI,SI,SI,SI,NO,NO,SI,NO,SI,SI,SI,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,Sí,Sí,No,Sí,Sí,Alta,100,1
ARO Sur - Cali,2026-08-14,CEMENTERIO SAN ANTONIO DE PAUDA,Florida,B/ LA ESPERANZA,CARREA 25 # 10 - 05,3100.0,Sin afectación,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Baja,100,0
ARO Sur - Cali,2026-08-14,CEMENTERIO SAN PEDRO APOSTOL SANTA ELENA,El Cerrito,SANTA ELENA,CALLE 2A SUR # 6B,005068,Sin afectación,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Baja,100,2
ARO Sur - Cali,2026-08-14,CEMENTERIO SAGRADO CORAZÓN DE JESUS,El Cerrito,EL PLACER,CALLE 1 CARRERA 10,005067,Sin afectación,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Baja,100,0
ARO Sur - Cali,2026-08-14,CEMENTERIO CENTRAL,El Cerrito,BARRIO SAN RAFAEL,CARRERA 14 CALLE 11 ESQUINA,005069,Leve,NO,NO,SI,NO,SI,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,,SI,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,Sí,No,Media,91,0
ARO Sur - Cali,2026-08-14,CEMENTERIO COMUNITARIO DE PAZ BITACO,La Cumbre,BITACO,VEREDA RINCON SANTO,03228,Grave,,,SI,,,SI,,SI,,,,,,NO,,,,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,No,No,Alta,18,0
ARO Sur - Cali,2026-08-14,CEMENTARIO LOMITAS,La Cumbre,LOMITAS,LOMITAS,03293,Grave,,,,,NO,,,SI,SI,SI,,,,NO,,,,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,Sí,Sí,No,No,No,Crítica,27,0
