municipio,cementerios,cementerios_alta_critica,cementerios_restriccion,ati_sitios,ati_alta_critica,ati_no_concluyente,poblacion_documentada,fotos_cementerios,fotos_ati
Alcalá,1,1,1,0,0,0,0,0,0
Ansermanuevo,1,0,0,2,0,1,25,4,0
Bolívar,1,0,0,0,0,0,0,0,0
Caicedonia,1,1,1,1,0,0,9,0,0
Calima,1,1,0,1,1,0,50,4,5
Dagua,8,2,1,0,0,0,0,1,0
El Cerrito,4,0,1,0,0,0,0,3,0
El Dovio,1,1,1,0,0,0,0,0,0
El Águila,1,0,0,1,0,0,9,3,0
Florida,3,0,0,0,0,0,0,0,0
Ginebra,3,1,1,0,0,0,0,1,0
Guacari,1,1,1,0,0,0,0,1,0
La Cumbre,5,3,1,0,0,0,0,3,0
La Unión,1,1,0,1,0,0,40,6,5
La Victoria,1,1,1,1,0,0,16,0,2
Obando,1,1,1,2,0,2,5,2,0
Pradera,1,0,0,0,0,0,0,0,0
Restrepo,1,1,1,1,0,0,0,4,10
Riofrío,2,0,0,1,0,0,16,0,0
Roldanillo,2,2,2,2,1,0,32,0,0
Sevilla,1,1,0,1,0,0,10,0,0
Toro,1,0,1,0,0,0,0,3,0
Ulloa,1,1,1,0,0,0,0,0,0
Versalles,1,1,1,1,0,0,11,7,3
Vijes,1,1,1,0,0,0,0,3,0
Yotoco,4,2,2,1,0,0,50,14,2
Zarzal,1,1,0,2,0,0,17,2,7
