anio,fecha_agresion,fecha_primera_visita,mes,codigo_dane,municipio,area_operativa,especie,sector,provocado,condicion_vacunacion,seguimiento_3_visitas,estado_animal,eventos
2026,,2026-01-05,,76318,GUACARI,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,2 VISITAS,NO OBSERVABLE,1
2026,,2026-01-06,,76869,VIJES,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,,2026-01-08,,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,,2026-01-09,,76377,LA CUMBRE,ARO SUR CALI,OTRO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,,2026-01-09,,76869,VIJES,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,CALLEJERO,1
2026,,2026-06-16,,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,,2026-07-22,,76275,FLORIDA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2006-05-31,2026-06-01,5,76036,ANDALUCIA,ARO CENTRO TULUA,FELINO,URBANO,SI,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-01-25,2026-01-28,1,76122,CAICEDONIA,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,CALLEJERO,1
2026,2025-11-04,2026-01-08,11,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,URBANO,NO,VACUNADO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-11-17,2026-01-20,11,76400,LA UNION,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-11-18,2026-01-23,11,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,OBSERVADO SANO,1
2026,2025-11-21,2026-01-20,11,76400,LA UNION,ARO NORTE CARTAGO,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-11-21,2026-01-23,11,76622,ROLDANILLO,ARO NORTE CARTAGO,FELINO,RURAL,SI,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025-11-22,2026-01-23,11,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025-11-23,2026-01-23,11,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-11-23,2026-01-23,11,76622,ROLDANILLO,ARO NORTE CARTAGO,OTRO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
