codigo_dane,municipio,poblacion_perros_2025,poblacion_gatos_2025,poblacion_total_animales_2025,meta_80_total_animales,vacunados_caninos_archivo,vacunados_felinos_archivo,vacunados_total_archivo,avance_canino_pct,avance_felino_pct,avance_total_pct,brecha_meta_80,agresiones_2026,agresiones_total_archivo,agresiones_por_1000_animales,agresiones_canino,agresiones_felino,eventos_con_3_visitas,eventos_cumple_3_visitas_10_dias,cumplimiento_seguimiento_pct,cobertura_oficial_2025_pct,area_operativa
76020,ALCALÁ,2704,2066,4770,3816,0,0,0,0.0,0.0,0.0,3816,70,70,14.68,53,17,2,2,2.86,82.6,ARO NORTE CARTAGO
76036,ANDALUCÍA,2971,1839,4810,3848,0,0,0,0.0,0.0,0.0,3848,67,77,13.93,54,11,22,13,19.4,82.3,ARO CENTRO TULUA
76041,ANSERMANUEVO,2392,1574,3966,3173,0,0,0,0.0,0.0,0.0,3173,55,56,13.87,44,10,26,9,16.36,78.8,ARO NORTE CARTAGO
76054,ARGELIA,1198,575,1773,1419,0,0,0,0.0,0.0,0.0,1419,30,33,16.92,26,4,15,10,33.33,84.8,ARO NORTE CARTAGO
76100,BOLÍVAR,2114,1335,3449,2760,0,0,0,0.0,0.0,0.0,2760,31,33,8.99,28,3,0,0,0.0,87.0,ARO CENTRO TULUA
76111,GUADALAJARA DE BUGA,12829,6695,19524,15620,0,0,0,0.0,0.0,0.0,15620,0,0,0.0,0,0,0,0,0.0,14.8,SIN DATO
76113,BUGALAGRANDE,3086,1665,4751,3801,0,0,0,0.0,0.0,0.0,3801,59,62,12.42,55,4,0,0,0.0,77.4,ARO CENTRO TULUA
76122,CAICEDONIA,3914,2381,6295,5036,0,0,0,0.0,0.0,0.0,5036,132,139,20.97,114,18,1,0,0.0,73.0,ARO CENTRO TULUA
76126,CALIMA,1946,1097,3043,2435,0,0,0,0.0,0.0,0.0,2435,88,101,28.92,82,6,0,0,0.0,90.5,ARO CENTRO TULUA
76130,CANDELARIA,9973,5311,15284,12228,0,0,0,0.0,0.0,0.0,12228,0,0,0.0,0,0,0,0,0.0,80.6,SIN DATO
76147,CARTAGO,14352,8304,22656,18125,0,0,0,0.0,0.0,0.0,18125,0,0,0.0,0,0,0,0,0.0,68.8,SIN DATO
