anio,fecha,mes,codigo_dane,municipio,area_operativa,especie,sexo,condicion,grupo_edad,esterilizado,vacuna,lote,vacunaciones
2026,2026-06-04,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,PRIMERA VEZ,1 A 2 AÑOS,NO,RABICAN,RAC261,1
2026,2026-06-04,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,REVACUNADO,11 AÑOS O MÁS,SI,RABICAN,RAC261,1
2026,2026-06-04,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,PRIMERA VEZ,7 A 10 AÑOS,NO,RABICAN,RAC261,1
2026,2026-06-04,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,REVACUNADO,1 A 2 AÑOS,SI,RABICAN,RAC261,1
2026,2026-06-04,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,REVACUNADO,3 A 6 AÑOS,NO,RABICAN,RAC261,2
2026,2026-06-04,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,REVACUNADO,3 A 6 AÑOS,SI,RABICAN,RAC261,1
2026,2026-06-04,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,REVACUNADO,7 A 10 AÑOS,SI,RABICAN,RAC261,1
2026,2026-06-04,6,76233,DAGUA,ARO SUR CALI,FELINO,HEMBRA,REVACUNADO,11 AÑOS O MÁS,NO,RABICAN,RAC261,1
2026,2026-06-04,6,76233,DAGUA,ARO SUR CALI,FELINO,MACHO,REVACUNADO,7 A 10 AÑOS,NO,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,PRIMERA VEZ,1 A 2 AÑOS,NO,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,PRIMERA VEZ,1 A 2 AÑOS,SI,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,PRIMERA VEZ,3 A 6 AÑOS,SI,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,PRIMERA VEZ,MENOR DE 1 AÑO,NO,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,REVACUNADO,1 A 2 AÑOS,NO,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,REVACUNADO,11 AÑOS O MÁS,SI,RABICAN,RAC261,3
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,REVACUNADO,3 A 6 AÑOS,NO,RABICAN,RAC261,2
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,REVACUNADO,3 A 6 AÑOS,SI,RABICAN,RAC261,7
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,REVACUNADO,7 A 10 AÑOS,NO,RABICAN,RAC261,3
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,HEMBRA,REVACUNADO,7 A 10 AÑOS,SI,RABICAN,RAC261,3
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,PRIMERA VEZ,1 A 2 AÑOS,NO,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,REVACUNADO,1 A 2 AÑOS,NO,RABICAN,RAC261,6
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,REVACUNADO,1 A 2 AÑOS,SI,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,REVACUNADO,11 AÑOS O MÁS,SI,RABICAN,RAC261,2
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,REVACUNADO,3 A 6 AÑOS,NO,RABICAN,RAC261,5
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,REVACUNADO,3 A 6 AÑOS,SI,RABICAN,RAC261,4
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,REVACUNADO,7 A 10 AÑOS,NO,RABICAN,RAC261,2
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,CANINO,MACHO,REVACUNADO,7 A 10 AÑOS,SI,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,FELINO,HEMBRA,PRIMERA VEZ,3 A 6 AÑOS,SI,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,FELINO,HEMBRA,PRIMERA VEZ,7 A 10 AÑOS,NO,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,FELINO,HEMBRA,PRIMERA VEZ,MENOR DE 1 AÑO,SI,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,FELINO,HEMBRA,REVACUNADO,11 AÑOS O MÁS,SI,RABICAN,RAC261,1
2026,2026-06-05,6,76233,DAGUA,ARO SUR CALI,FELINO,HEMBRA,REVACUNADO,3 A 6 AÑOS,NO,RABICAN,RAC261,1
