anio,mes,codigo_dane,municipio,especie,sexo,condicion,esterilizado,grupo_edad,vacuna,lote,area_operativa,vacunaciones
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,1 A 2 AÑOS,RABICAN,RAC261,ARO SUR CALI,15
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,1 A 2 AÑOS,RABICAN,RAC263,ARO SUR CALI,4
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,11 AÑOS O MÁS,RABICAN,RAC261,ARO SUR CALI,3
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,3 A 6 AÑOS,RABICAN,RAC261,ARO SUR CALI,11
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,3 A 6 AÑOS,RABICAN,RAC262,ARO SUR CALI,1
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,3 A 6 AÑOS,RABICAN,RAC263,ARO SUR CALI,3
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,3 A 6 AÑOS,RABICAN,RAC265,ARO SUR CALI,1
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,7 A 10 AÑOS,RABICAN,RAC261,ARO SUR CALI,4
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,7 A 10 AÑOS,RABICAN,RAC263,ARO SUR CALI,2
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,MENOR DE 1 AÑO,RABICAN,RAC261,ARO SUR CALI,26
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,MENOR DE 1 AÑO,RABICAN,RAC263,ARO SUR CALI,3
2026,6,76233,DAGUA,CANINO,HEMBRA,PRIMERA VEZ,NO,MENOR DE 1 AÑO,RABICAN,RAC265,ARO SUR CALI,1
