anio,fecha_visita,mes,codigo_dane,municipio,area_operativa,especie,categoria_visitas,seguimiento_3_visitas,estado_animal,numero_visita,dentro_10_dias,visitas
2026,2026-01-05,1,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1,NO,1
2026,2026-01-05,1,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,3 O MÁS VISITAS,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,SIN CLASIFICAR,1,SI,1
2026,2026-01-05,1,76036,ANDALUCIA,ARO CENTRO TULUA,FELINO,2 VISITAS,2 VISITAS,CALLEJERO,1,NO,1
2026,2026-01-05,1,76036,ANDALUCIA,ARO CENTRO TULUA,OTRO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1,NO,1
2026,2026-01-05,1,76054,ARGELIA,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,OBSERVADO SANO,1,NO,1
2026,2026-01-05,1,76054,ARGELIA,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,OBSERVADO SANO,2,NO,1
2026,2026-01-05,1,76126,CALIMA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1,NO,8
2026,2026-01-05,1,76126,CALIMA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1,SI,4
2026,2026-01-05,1,76318,GUACARI,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1,SI,4
2026,2026-01-05,1,76318,GUACARI,ARO SUR CALI,CANINO,2 VISITAS,2 VISITAS,CON SIGNOS REPORTADOS,1,SI,1
2026,2026-01-05,1,76318,GUACARI,ARO SUR CALI,CANINO,2 VISITAS,2 VISITAS,NO OBSERVABLE,1,NO,1
2026,2026-01-05,1,76318,GUACARI,ARO SUR CALI,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1,NO,1
2026,2026-01-05,1,76318,GUACARI,ARO SUR CALI,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1,SI,1
2026,2026-01-05,1,76318,GUACARI,ARO SUR CALI,CANINO,3 O MÁS VISITAS,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,SIN CLASIFICAR,1,NO,2
2026,2026-01-05,1,76318,GUACARI,ARO SUR CALI,CANINO,3 O MÁS VISITAS,CUMPLE,SIN CLASIFICAR,1,SI,1
2026,2026-01-05,1,76318,GUACARI,ARO SUR CALI,FELINO,2 VISITAS,2 VISITAS,NO OBSERVABLE,1,NO,1
2026,2026-01-05,1,76318,GUACARI,ARO SUR CALI,FELINO,2 VISITAS,2 VISITAS,NO OBSERVABLE,1,SI,1
2026,2026-01-05,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1,SI,1
2026,2026-01-05,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1,NO,1
2026,2026-01-05,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,2 VISITAS,2 VISITAS,NO OBSERVABLE,1,SI,1
2026,2026-01-05,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,NO OBSERVABLE,1,SI,1
2026,2026-01-05,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,NO OBSERVABLE,1,SI,1
2026,2026-01-05,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,OBSERVADO SANO,1,SI,1
2026,2026-01-05,1,76497,OBANDO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVADO,1,NO,1
2026,2026-01-05,1,76497,OBANDO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1,NO,1
2026,2026-01-05,1,76497,OBANDO,ARO NORTE CARTAGO,CANINO,2 VISITAS,2 VISITAS,OBSERVADO SANO,1,SI,1
2026,2026-01-05,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVADO,1,NO,1
2026,2026-01-05,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,OBSERVADO SANO,1,NO,1
