anio,anio_visita,mes,codigo_dane,municipio,numero_visita,dentro_10_dias,area_operativa,visitas
2026,2026,1,76020,ALCALA,1,NO,ARO NORTE CARTAGO,1
2026,2026,1,76020,ALCALA,1,SI,ARO NORTE CARTAGO,6
2026,2026,1,76020,ALCALA,2,SI,ARO NORTE CARTAGO,2
2026,2026,1,76036,ANDALUCIA,1,NO,ARO CENTRO TULUA,10
2026,2026,1,76036,ANDALUCIA,1,SI,ARO CENTRO TULUA,9
2026,2026,1,76036,ANDALUCIA,2,NO,ARO CENTRO TULUA,4
2026,2026,1,76036,ANDALUCIA,2,SI,ARO CENTRO TULUA,3
2026,2026,1,76036,ANDALUCIA,3,NO,ARO CENTRO TULUA,1
2026,2026,1,76036,ANDALUCIA,3,SI,ARO CENTRO TULUA,1
2026,2026,1,76041,ANSERMANUEVO,1,NO,ARO NORTE CARTAGO,3
2026,2026,1,76041,ANSERMANUEVO,1,SI,ARO NORTE CARTAGO,12
2026,2026,1,76041,ANSERMANUEVO,2,NO,ARO NORTE CARTAGO,6
2026,2026,1,76041,ANSERMANUEVO,2,SI,ARO NORTE CARTAGO,2
2026,2026,1,76041,ANSERMANUEVO,3,NO,ARO NORTE CARTAGO,6
2026,2026,1,76041,ANSERMANUEVO,3,SI,ARO NORTE CARTAGO,1
2026,2026,1,76054,ARGELIA,1,NO,ARO NORTE CARTAGO,3
2026,2026,1,76054,ARGELIA,1,SI,ARO NORTE CARTAGO,2
2026,2026,1,76054,ARGELIA,2,NO,ARO NORTE CARTAGO,1
2026,2026,1,76054,ARGELIA,2,SI,ARO NORTE CARTAGO,1
2026,2026,1,76054,ARGELIA,3,NO,ARO NORTE CARTAGO,1
2026,2026,1,76054,ARGELIA,3,SI,ARO NORTE CARTAGO,1
2026,2026,1,76100,BOLIVAR,1,NO,ARO CENTRO TULUA,2
2026,2026,1,76100,BOLIVAR,1,SI,ARO CENTRO TULUA,7
2026,2026,1,76100,BOLIVAR,2,SI,ARO CENTRO TULUA,3
2026,2026,1,76113,BUGALAGRANDE,1,NO,ARO CENTRO TULUA,4
2026,2026,1,76113,BUGALAGRANDE,1,SI,ARO CENTRO TULUA,7
