anio_operativo,codigo_dane,municipio,area_operativa,vacunaciones_demo,caninos_demo,felinos_demo,avance_demo_pct,tipo_dato
2026,76020,ALCALÁ,ARO NORTE CARTAGO,572,355,217,12,SIMULADO
2026,76036,ANDALUCÍA,ARO CENTRO TULUA,3030,1879,1151,63,SIMULADO
2026,76041,ANSERMANUEVO,ARO NORTE CARTAGO,1269,787,482,32,SIMULADO
2026,76054,ARGELIA,ARO NORTE CARTAGO,1117,693,424,63,SIMULADO
2026,76100,BOLÍVAR,ARO CENTRO TULUA,1380,856,524,40,SIMULADO
2026,76111,GUADALAJARA DE BUGA,SIN DATO,10738,6658,4080,55,SIMULADO
2026,76113,BUGALAGRANDE,ARO CENTRO TULUA,3896,2416,1480,82,SIMULADO
2026,76122,CAICEDONIA,ARO CENTRO TULUA,5162,3200,1962,82,SIMULADO
2026,76126,CALIMA,ARO CENTRO TULUA,1217,755,462,40,SIMULADO
2026,76130,CANDELARIA,SIN DATO,12533,7770,4763,82,SIMULADO
2026,76147,CARTAGO,SIN DATO,14273,8849,5424,63,SIMULADO
2026,76233,DAGUA,ARO SUR CALI,1033,640,393,10.14,REAL
2026,76243,EL ÁGUILA,ARO NORTE CARTAGO,1128,699,429,48,SIMULADO
2026,76246,EL CAIRO,ARO NORTE CARTAGO,1634,1013,621,82,SIMULADO
2026,76248,EL CERRITO,ARO SUR CALI,3046,1889,1157,25,SIMULADO
2026,76250,EL DOVIO,ARO NORTE CARTAGO,1095,679,416,48,SIMULADO
2026,76275,FLORIDA,ARO SUR CALI,2120,1314,806,18,SIMULADO
2026,76306,GINEBRA,ARO SUR CALI,1262,782,480,32,SIMULADO
2026,76318,GUACARÍ,ARO SUR CALI,4330,2685,1645,55,SIMULADO
2026,76364,JAMUNDÍ,SIN DATO,5213,3232,1981,32,SIMULADO
2026,76377,LA CUMBRE,ARO SUR CALI,2866,1777,1089,63,SIMULADO
2026,76400,LA UNIÓN,ARO NORTE CARTAGO,1336,828,508,18,SIMULADO
2026,76403,LA VICTORIA,ARO NORTE CARTAGO,1344,833,511,48,SIMULADO
2026,76497,OBANDO,ARO NORTE CARTAGO,432,268,164,12,SIMULADO
2026,76520,PALMIRA,SIN DATO,15452,9580,5872,40,SIMULADO
2026,76563,PRADERA,ARO SUR CALI,8225,5100,3125,72,SIMULADO
2026,76606,RESTREPO,ARO CENTRO TULUA,1154,715,439,25,SIMULADO
2026,76616,RIOFRÍO,ARO CENTRO TULUA,1145,710,435,32,SIMULADO
2026,76622,ROLDANILLO,ARO NORTE CARTAGO,757,469,288,12,SIMULADO
2026,76670,SAN PEDRO,ARO CENTRO TULUA,3223,1998,1225,82,SIMULADO
2026,76736,SEVILLA,ARO CENTRO TULUA,4655,2886,1769,55,SIMULADO
2026,76823,TORO,ARO NORTE CARTAGO,1384,858,526,40,SIMULADO
2026,76828,TRUJILLO,ARO CENTRO TULUA,427,265,162,12,SIMULADO
2026,76834,TULUÁ,SIN DATO,27893,17294,10599,63,SIMULADO
2026,76845,ULLOA,ARO NORTE CARTAGO,1404,870,534,82,SIMULADO
2026,76863,VERSALLES,ARO NORTE CARTAGO,1400,868,532,72,SIMULADO
2026,76869,VIJES,ARO SUR CALI,1106,686,420,48,SIMULADO
2026,76890,YOTOCO,ARO CENTRO TULUA,3197,1982,1215,63,SIMULADO
2026,76892,YUMBO,SIN DATO,2460,1525,935,12,SIMULADO
2026,76895,ZARZAL,ARO CENTRO TULUA,3140,1947,1193,40,SIMULADO
