anio,mes,codigo_dane,municipio,area_operativa,latitud,longitud,fecha,especie,condicion,vacuna,lote,vacunaciones,tipo_dato
2026,2,76147,CARTAGO,SIN DATO,4.72840,-75.92770,2026-02-09,CANINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-01-1,2287,SIMULADO
2026,2,76147,CARTAGO,SIN DATO,4.72840,-75.92770,2026-02-09,CANINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-01-1,1076,SIMULADO
2026,2,76147,CARTAGO,SIN DATO,4.72840,-75.92770,2026-02-09,FELINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-01-1,989,SIMULADO
2026,2,76147,CARTAGO,SIN DATO,4.72840,-75.92770,2026-02-09,FELINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-01-1,1072,SIMULADO
2026,4,76147,CARTAGO,SIN DATO,4.75840,-75.92170,2026-04-16,CANINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-01-2,2046,SIMULADO
2026,4,76147,CARTAGO,SIN DATO,4.75840,-75.92170,2026-04-16,CANINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-01-2,963,SIMULADO
2026,4,76147,CARTAGO,SIN DATO,4.75840,-75.92170,2026-04-16,FELINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-01-2,885,SIMULADO
2026,4,76147,CARTAGO,SIN DATO,4.75840,-75.92170,2026-04-16,FELINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-01-2,959,SIMULADO
2026,6,76147,CARTAGO,SIN DATO,4.75240,-75.89470,2026-06-23,CANINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-01-3,1685,SIMULADO
2026,6,76147,CARTAGO,SIN DATO,4.75240,-75.89470,2026-06-23,CANINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-01-3,793,SIMULADO
2026,6,76147,CARTAGO,SIN DATO,4.75240,-75.89470,2026-06-23,FELINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-01-3,729,SIMULADO
2026,6,76147,CARTAGO,SIN DATO,4.75240,-75.89470,2026-06-23,FELINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-01-3,789,SIMULADO
2026,2,76622,ROLDANILLO,ARO NORTE CARTAGO,4.39530,-76.17060,2026-02-10,CANINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-02-1,122,SIMULADO
2026,2,76622,ROLDANILLO,ARO NORTE CARTAGO,4.39530,-76.17060,2026-02-10,CANINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-02-1,57,SIMULADO
2026,2,76622,ROLDANILLO,ARO NORTE CARTAGO,4.39530,-76.17060,2026-02-10,FELINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-02-1,52,SIMULADO
2026,2,76622,ROLDANILLO,ARO NORTE CARTAGO,4.39530,-76.17060,2026-02-10,FELINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-02-1,57,SIMULADO
2026,4,76622,ROLDANILLO,ARO NORTE CARTAGO,4.42530,-76.16460,2026-04-17,CANINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-02-2,108,SIMULADO
2026,4,76622,ROLDANILLO,ARO NORTE CARTAGO,4.42530,-76.16460,2026-04-17,CANINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-02-2,51,SIMULADO
2026,4,76622,ROLDANILLO,ARO NORTE CARTAGO,4.42530,-76.16460,2026-04-17,FELINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-02-2,47,SIMULADO
2026,4,76622,ROLDANILLO,ARO NORTE CARTAGO,4.42530,-76.16460,2026-04-17,FELINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-02-2,51,SIMULADO
2026,6,76622,ROLDANILLO,ARO NORTE CARTAGO,4.41930,-76.13760,2026-06-24,CANINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-02-3,89,SIMULADO
2026,6,76622,ROLDANILLO,ARO NORTE CARTAGO,4.41930,-76.13760,2026-06-24,CANINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-02-3,42,SIMULADO
2026,6,76622,ROLDANILLO,ARO NORTE CARTAGO,4.41930,-76.13760,2026-06-24,FELINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-02-3,39,SIMULADO
2026,6,76622,ROLDANILLO,ARO NORTE CARTAGO,4.41930,-76.13760,2026-06-24,FELINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-02-3,42,SIMULADO
2026,2,76834,TULUÁ,SIN DATO,4.06670,-76.21140,2026-02-11,CANINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-03-1,4468,SIMULADO
2026,2,76834,TULUÁ,SIN DATO,4.06670,-76.21140,2026-02-11,CANINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-03-1,2103,SIMULADO
2026,2,76834,TULUÁ,SIN DATO,4.06670,-76.21140,2026-02-11,FELINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-03-1,1933,SIMULADO
2026,2,76834,TULUÁ,SIN DATO,4.06670,-76.21140,2026-02-11,FELINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-03-1,2095,SIMULADO
2026,4,76834,TULUÁ,SIN DATO,4.09670,-76.20540,2026-04-18,CANINO,REVACUNADO,VACUNA DEMOSTRATIVA,DEMO-2026-03-2,3998,SIMULADO
2026,4,76834,TULUÁ,SIN DATO,4.09670,-76.20540,2026-04-18,CANINO,PRIMERA VEZ,VACUNA DEMOSTRATIVA,DEMO-2026-03-2,1882,SIMULADO
