codigo_dane,municipio,poblacion_humana_dane_2025,poblacion_perros_2025,poblacion_gatos_2025,poblacion_total_animales_2025,perros_vacunados_2025,gatos_vacunados_2025,total_vacunados_2025,cobertura_perros_2025_pct,cobertura_gatos_2025_pct,cobertura_total_2025_pct,meta_80_total_animales,vigencia_referencia,fuente
76020,ALCALÁ,14929,2704,2066,4770,2368,1571,3939,87.6,76.0,82.6,3816,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76036,ANDALUCÍA,23054,2971,1839,4810,2579,1382,3961,86.8,75.1,82.3,3848,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76041,ANSERMANUEVO,18399,2392,1574,3966,1611,1514,3125,67.3,96.2,78.8,3173,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76054,ARGELIA,5558,1198,575,1773,1032,471,1503,86.1,81.9,84.8,1419,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76100,BOLÍVAR,16496,2114,1335,3449,1807,1195,3002,85.5,89.5,87.0,2760,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76111,GUADALAJARA DE BUGA,133907,12829,6695,19524,1786,1109,2895,13.9,16.6,14.8,15620,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76113,BUGALAGRANDE,26208,3086,1665,4751,2282,1395,3677,73.9,83.8,77.4,3801,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76122,CAICEDONIA,29646,3914,2381,6295,2478,2115,4593,63.3,88.8,73.0,5036,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76126,CALIMA,19461,1946,1097,3043,1704,1050,2754,87.6,95.7,90.5,2435,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76130,CANDELARIA,94202,9973,5311,15284,8004,4322,12326,80.3,81.4,80.6,12228,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76147,CARTAGO,143522,14352,8304,22656,8878,6716,15594,61.9,80.9,68.8,18125,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76233,DAGUA,49864,6228,3959,10187,4905,3035,7940,78.8,76.7,77.9,8150,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76243,EL ÁGUILA,9185,1308,1042,2350,1104,819,1923,84.4,78.6,81.8,1880,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76246,EL CAIRO,7059,1221,772,1993,948,659,1607,77.6,85.4,80.6,1595,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76248,EL CERRITO,58042,8184,3998,12182,5396,3998,9394,65.9,100.0,77.1,9746,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76250,EL DOVIO,9246,1315,967,2282,1151,769,1920,87.5,79.5,84.1,1826,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76275,FLORIDA,58566,8017,3763,11780,6316,3763,10079,78.8,100.0,85.6,9424,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76306,GINEBRA,25186,2655,1290,3945,1662,1048,2710,62.6,81.2,68.7,3156,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76318,GUACARÍ,35614,4830,3042,7872,4608,2864,7472,95.4,94.1,94.9,6298,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
76364,JAMUNDÍ,181942,11635,4655,16290,7306,4105,11411,62.8,88.2,70.0,13032,2025,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PP/PAI/antirrabica-perros-gatos-depto-mun-2025.pdf
