ACTIVIDADES,CODIGO,CODIGO_ACTIVIDAD,ARO,TIPO,PERIODO_NORMALIZADO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
Actividades Administrativas,12.1,12.1,CALI,CONTRATISTA,Enero - Marzo,2026,8,4,1,66.0,19.0,47.0,47.0,0.0,0.2878787878787879,0.2878787878787879,Crítico
Actividades Administrativas,12.1,12.1,CALI,PLANTA,Enero - Marzo,2026,2,1,1,18.0,4.0,14.0,14.0,0.0,0.2222222222222222,0.2222222222222222,Crítico
Actividades Administrativas,12.1,12.1,CARTAGO,CONTRATISTA,Enero - Marzo,2026,4,2,1,30.0,31.0,-1.0,0.0,1.0,1.0333333333333334,1.0,Supera meta
Actividades Administrativas,12.1,12.1,CARTAGO,PLANTA,Enero - Marzo,2026,4,2,1,36.0,35.0,1.0,18.0,17.0,0.9722222222222222,0.9722222222222222,Cumplido
Actividades Administrativas,12.1,12.1,TULUA,CONTRATISTA,Enero - Marzo,2026,6,3,1,44.0,44.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Actividades Administrativas,12.1,12.1,TULUA,PLANTA,Enero - Marzo,2026,2,1,1,30.0,26.0,4.0,24.0,20.0,0.8666666666666667,0.8666666666666667,Cumplido
Actividades Administrativas,12.3,12.3,CALI,CONTRATISTA,Enero - Marzo,2026,4,4,1,52.0,19.0,33.0,33.0,0.0,0.36538461538461536,0.36538461538461536,Bajo
Actividades Administrativas,12.3,12.3,CALI,PLANTA,Enero - Marzo,2026,1,1,1,23.0,8.0,15.0,15.0,0.0,0.34782608695652173,0.34782608695652173,Bajo
Actividades Administrativas,12.3,12.3,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,2,1,20.0,22.0,-2.0,0.0,2.0,1.1,1.0,Supera meta
Actividades Administrativas,12.3,12.3,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,46.0,8.0,38.0,38.0,0.0,0.17391304347826086,0.17391304347826086,Crítico
Actividades Administrativas,12.3,12.3,TULUA,CONTRATISTA,Enero - Marzo,2026,3,3,1,30.0,31.0,-1.0,0.0,1.0,1.0333333333333334,1.0,Supera meta
Actividades Administrativas,12.3,12.3,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,26.0,11.0,15.0,15.0,0.0,0.4230769230769231,0.4230769230769231,Bajo
Actividades Administrativas,12.4,12.4,CALI,CONTRATISTA,Enero - Marzo,2026,4,4,1,15.0,2.0,13.0,13.0,0.0,0.13333333333333333,0.13333333333333333,Crítico
Actividades Administrativas,12.4,12.4,CALI,PLANTA,Enero - Marzo,2026,1,1,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Actividades Administrativas,12.4,12.4,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,2,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Actividades Administrativas,12.4,12.4,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,12.0,15.0,-3.0,6.0,9.0,1.25,1.0,Supera meta
Actividades Administrativas,12.4,12.4,TULUA,CONTRATISTA,Enero - Marzo,2026,3,3,1,9.0,11.0,-2.0,0.0,2.0,1.2222222222222223,1.0,Supera meta
Actividades Administrativas,12.4,12.4,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Actividades Administrativas,12.5,12.5,CALI,CONTRATISTA,Enero - Marzo,2026,4,4,1,15.0,2.0,13.0,13.0,0.0,0.13333333333333333,0.13333333333333333,Crítico
Actividades Administrativas,12.5,12.5,CALI,PLANTA,Enero - Marzo,2026,1,1,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Actividades Administrativas,12.5,12.5,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,2,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Actividades Administrativas,12.5,12.5,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,12.0,1.0,11.0,11.0,0.0,0.08333333333333333,0.08333333333333333,Crítico
Actividades Administrativas,12.5,12.5,TULUA,CONTRATISTA,Enero - Marzo,2026,3,3,1,9.0,9.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Actividades Administrativas,12.5,12.5,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,6.0,2.0,4.0,4.0,0.0,0.3333333333333333,0.3333333333333333,Bajo
Actividades Administrativas,12.6,12.6,CALI,CONTRATISTA,Enero - Marzo,2026,4,4,1,8.0,2.0,6.0,6.0,0.0,0.25,0.25,Crítico
Actividades Administrativas,12.6,12.6,CALI,PLANTA,Enero - Marzo,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Actividades Administrativas,12.6,12.6,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,2,1,4.0,4.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Actividades Administrativas,12.6,12.6,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,2.0,3.0,-1.0,1.0,2.0,1.5,1.0,Supera meta
Actividades Administrativas,12.6,12.6,TULUA,CONTRATISTA,Enero - Marzo,2026,3,3,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Actividades Administrativas,12.6,12.6,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,1.0,9.0,-8.0,0.0,8.0,9.0,1.0,Supera meta
Actividades Administrativas,12.7,12.7,CALI,PLANTA,Enero - Marzo,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Actividades Administrativas,12.7,12.7,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,2.0,1.0,1.0,1.0,0.0,0.5,0.5,Bajo
Actividades Administrativas,12.7,12.7,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Crítico
